date,Artificial Intelligence,ChatGPT,OpenAI,Machine Learning
2025-06-01,1,81,2,1
2025-06-08,1,86,2,1
2025-06-15,1,79,2,1
2025-06-22,1,82,2,1
2025-06-29,1,77,2,1
2025-07-06,1,77,2,1
2025-07-13,1,78,2,1
2025-07-20,1,83,3,1
2025-07-27,1,82,4,1
2025-08-03,1,90,13,1
2025-08-10,2,86,13,2
2025-08-17,2,87,9,2
2025-08-24,1,93,7,1
2025-08-31,1,90,8,2
2025-09-07,1,95,7,1
2025-09-14,1,100,7,1
2025-09-21,1,97,10,2
2025-09-28,2,92,10,2
2025-10-05,1,100,11,1
2025-10-12,1,94,10,1
2025-10-19,1,95,9,1
2025-10-26,1,93,8,1
2025-11-02,1,97,8,1
2025-11-09,1,98,7,1
2025-11-16,2,97,7,2
2025-11-23,2,84,7,2
2025-11-30,2,88,7,2
2025-12-07,1,84,7,1
2025-12-14,1,83,7,2
2025-12-21,1,65,4,1
2025-12-28,1,62,4,1
2026-01-04,1,75,4,1
2026-01-11,1,81,4,2
2026-01-18,1,80,5,2
2026-01-25,2,83,5,2
2026-02-01,2,86,5,2
2026-02-08,2,80,6,3
2026-02-15,2,76,6,3
2026-02-22,2,81,6,3
2026-03-01,2,87,7,2
2026-03-08,2,89,6,2
2026-03-15,2,80,6,3
2026-03-22,2,80,8,3
2026-03-29,2,76,8,3
2026-04-05,2,78,8,3
2026-04-12,2,79,7,3
2026-04-19,2,84,8,3
2026-04-26,2,80,8,3
2026-05-03,2,83,10,4
2026-05-10,2,84,14,4
2026-05-17,2,84,9,2
2026-05-24,1,78,4,1
2026-05-31,1,83,4,1
