source,text
news,"Adobe Stock: 5 Signs AI Is Topping, SaaS In Play (NASDAQ:ADBE)"
news,Adobe: It's Finally Time To Bottom Fish The Stock (Double Upgrade)
news,"I left Adobe behind and don't miss it, except for this one feature nobody can match"
news,How creative professionals are using Adobe Stock AI Studio to source images and videos: 7 ways to keep your creative momentum
news,"Figma Stock Is Down 85%, But Wall Street Thinks It’s Time for the Stock to Surge"
news,Bank of America Says AI Will Drag Down Adobe Stock
news,Adobe: Market Overreaction Creates A Highly Asymmetric Risk-Reward Opportunity
news,This Job Interview Scam Is a Ploy to Steal Your Google Credentials
news,IIT Kanpur receives Rs 10 crore alumni donation from Adobe India founder for new hostel block
news,"CISA Adds 4 Actively Exploited Adobe, Joomla, and Langflow Flaws to KEV"
youtube_video,Adobe illustrator tutorials - Adobe illustrator for beginners #graphicdesigntools #tutorial
youtube_video,Adobe Illustrator Training - Class 1 - Selection Tool Urdu / Hindi [Eng Sub]
youtube_video,Adobe Photoshop Tips 2025 - How to Create Mural Painting Effect #ducthangds
youtube_video,Use Adobe express to Edit Images in few min
youtube_video,Adobe Is Completely F*cked.
youtube_video,Adobe Illustrator for Beginners | FREE COURSE
youtube_video,Adobe Just DESTROYED AI Editing Tools..
youtube_video,Free Adobe Alternatives - Bye-Bye Adobe Fees
youtube_video,அடேய் Adobe 🤬 - Data திருடன் ☠  #firefly #photoshop #adobe #a2darmy
youtube_video,Experience Generative Fill with Adobe Firefly and Photoshop (beta) | Adobe
youtube_comment,What app?
youtube_comment,yep it works with the @ on Ai 2025
youtube_comment,Omg can I get a tutorial?
youtube_comment,greathing
youtube_comment,How to be more stronger
youtube_comment,❤
youtube_comment,Ye kis per bnaa rhe Yani konsi app or laptop per bana rhee !???
youtube_comment,Is it paid illustrator??
youtube_comment,How to do it in mac ?
youtube_comment,Ya kia hn
youtube_comment,Which app u r using
youtube_comment,How I learn this?
youtube_comment,Че че ты там нажимаешь?
youtube_comment,Ata kon app diye korcho
youtube_comment,i was today years old when i discovered the real use for tilde🤣🤣
youtube_comment,How do I pull this shape down?
youtube_comment,"With a Scandinavian keyboard, it's actually ""Ø""-button :D"
youtube_comment,I've been using Ai for 10+ years but didn't know such function exists.... incredible...!!!
youtube_comment,App name
youtube_comment,Object create krne k baad uska size chotta kaise krty ??
youtube_comment,"0:21   Photoshop or Illustrator?
1:55   Interface intro
2:51   Create New file
5:00   Selection Tool[Intro]
8:03   Selection Tool[working]
8:35   Zoom VS increase size
8:50   Zoom tool
9:46   Hand Tool
10:05  Resize objects
10:27  ScaleUp/Down
11:25  Move 
11:34  Rotate 
12:25  Copy 
12:55  Imp shortcut [Ctrl+D]
13:30  Practice session 
19:14  Fill/Stroke"
youtube_comment,Bhut shukriya mujy illustrator use nahe ata tha aj first class li bhut shukriya Jo bahir ja k nahe Sikh sakty AP jasy mentor un k Liye kafi help full hoty
youtube_comment,Inkscape complete tutorial😢❤ plzz sir
youtube_comment,Today is my first' class...I know I am too late 😢..but from today I start my journey ❤
youtube_comment,Today is my ist class
youtube_comment,thank you dear sir
youtube_comment,Lots of respect from Assam INDIA ❤❤❤
youtube_comment,"Assalam-o-Alaikum Sir,

I have a humble request. In Adobe Illustrator 2025, many new tools and features have been introduced. Could you please make a detailed video explaining these new tools and how to use them? It would be very helpful for learners like me.

I would be truly thankful to you. May Allah bless you. 🤲"
youtube_comment,"Assalam-o-Alaikum Sir Imran,

I learned Graphic Design from your channel about a year ago, and Alhamdulillah, today I am doing commercial graphic design work and conducting Graphic Design training seminars in different schools. Whatever I have achieved so far is because of the knowledge and guidance I received from you.

May Allah bless you with good health, endless happiness, and success in both this life and the Hereafter. Ameen. I hope you continue creating more informative and inspiring videos. Thank you so much for everything. ❤️"
youtube_comment,attendance 2026
youtube_comment,"I started from today but after learning this illustration how can I earn money?
What is the second step?"
youtube_comment,unable to recover from a kernel exception. the application must close. error code 3 adobe illustrator solution please
youtube_comment,"SHORTCUTS:

0. Maintain Proportion / Square -                      shift + drag
1. ZOOM IN/OUT -                                          (a) alt + scroll down/up
                                                                          (b) zoom tool / zoom tool + alt 
2. 45x Degree ROTATE -                                      shift + rotate
3. COPY -                                                               alt + drag
    STRAIGHT COPY -                                            alt + shift + drag
4. COPY LATEST SELECTION TOOL ACTION - ctrl + d
5. SELECT AS U WISH -                                        shift + select"
youtube_comment,sir bht acha
youtube_comment,I am watching know after 9 year 😅 may be it is valuable
youtube_comment,Bhut interesting class hai ❤
