source,text,sentiment,confidence
news,"Adobe Stock: 5 Signs AI Is Topping, SaaS In Play (NASDAQ:ADBE)",neutral,0.7227
news,Adobe: It's Finally Time To Bottom Fish The Stock (Double Upgrade),positive,0.479
news,"I left Adobe behind and don't miss it, except for this one feature nobody can match",neutral,0.9139
news,How creative professionals are using Adobe Stock AI Studio to source images and videos: 7 ways to keep your creative momentum,neutral,0.9025
news,"Figma Stock Is Down 85%, But Wall Street Thinks It’s Time for the Stock to Surge",negative,0.9333
news,Bank of America Says AI Will Drag Down Adobe Stock,negative,0.925
news,Adobe: Market Overreaction Creates A Highly Asymmetric Risk-Reward Opportunity,negative,0.7852
news,This Job Interview Scam Is a Ploy to Steal Your Google Credentials,neutral,0.6972
news,IIT Kanpur receives Rs 10 crore alumni donation from Adobe India founder for new hostel block,positive,0.6855
news,"CISA Adds 4 Actively Exploited Adobe, Joomla, and Langflow Flaws to KEV",neutral,0.9039
youtube_video,Adobe illustrator tutorials - Adobe illustrator for beginners #graphicdesigntools #tutorial,neutral,0.9357
youtube_video,Adobe Illustrator Training - Class 1 - Selection Tool Urdu / Hindi [Eng Sub],neutral,0.9402
youtube_video,Adobe Photoshop Tips 2025 - How to Create Mural Painting Effect #ducthangds,neutral,0.9121
youtube_video,Use Adobe express to Edit Images in few min,neutral,0.9406
youtube_video,Adobe Is Completely F*cked.,negative,0.6573
youtube_video,Adobe Illustrator for Beginners | FREE COURSE,neutral,0.9374
youtube_video,Adobe Just DESTROYED AI Editing Tools..,negative,0.6505
youtube_video,Free Adobe Alternatives - Bye-Bye Adobe Fees,neutral,0.9471
youtube_video,அடேய் Adobe 🤬 - Data திருடன் ☠  #firefly #photoshop #adobe #a2darmy,neutral,0.933
youtube_video,Experience Generative Fill with Adobe Firefly and Photoshop (beta) | Adobe,neutral,0.8817
youtube_comment,What app?,neutral,0.9182
youtube_comment,yep it works with the @ on Ai 2025,neutral,0.8318
youtube_comment,Omg can I get a tutorial?,neutral,0.9169
youtube_comment,greathing,neutral,0.7214
youtube_comment,How to be more stronger,neutral,0.8845
youtube_comment,❤,neutral,0.9052
youtube_comment,Ye kis per bnaa rhe Yani konsi app or laptop per bana rhee !???,neutral,0.9054
youtube_comment,Is it paid illustrator??,neutral,0.8731
youtube_comment,How to do it in mac ?,neutral,0.9378
youtube_comment,Ya kia hn,neutral,0.9003
youtube_comment,Which app u r using,neutral,0.9327
youtube_comment,How I learn this?,neutral,0.9165
youtube_comment,Че че ты там нажимаешь?,neutral,0.8395
youtube_comment,Ata kon app diye korcho,neutral,0.922
youtube_comment,i was today years old when i discovered the real use for tilde🤣🤣,neutral,0.9307
youtube_comment,How do I pull this shape down?,neutral,0.9098
youtube_comment,"With a Scandinavian keyboard, it's actually ""Ø""-button :D",neutral,0.9384
youtube_comment,I've been using Ai for 10+ years but didn't know such function exists.... incredible...!!!,neutral,0.7509
youtube_comment,App name,neutral,0.9249
youtube_comment,Object create krne k baad uska size chotta kaise krty ??,neutral,0.8833
youtube_comment,"0:21   Photoshop or Illustrator?
1:55   Interface intro
2:51   Create New file
5:00   Selection Tool[Intro]
8:03   Selection Tool[working]
8:35   Zoom VS increase size
8:50   Zoom tool
9:46   Hand Tool
10:05  Resize objects
10:27  ScaleUp/Down
11:25  Move 
11:34  Rotate 
12:25  Copy 
12:55  Imp shortcut [Ctrl+D]
13:30  Practice session 
19:14  Fill/Stroke",neutral,0.9214
