source,text,sentiment,confidence
news,Forgot something on that Amazon order? Now you can add it before it ships,neutral,0.9251
news,How to watch NBA Summer League games for free today,neutral,0.9395
news,Amazon: Why The Free Cash Flow Collapse Is The Reason To Buy,neutral,0.9105
news,Chic Anthropologie-Style Amazon Dresses to Wear This Summer,neutral,0.9393
news,People are skipping botox for these $20 jawline shapers on Amazon,neutral,0.8951
news,Go quick! Official Nintendo Switch 2 Camera now just $10 at GameStop (Reg. $55),neutral,0.9128
news,What to know about Amazon Canada’s new ‘Add to Delivery’ feature,neutral,0.878
news,"Storage keeps getting more expensive, but these new Amazon deals should lessen the blow - just in time for Back to School",positive,0.6824
youtube_video,Amazon Work from Home For July 2026 | 12th Pass Freshers Job | Amazon Remote Job Vacancy 2026,neutral,0.5072
youtube_video,‼️ One thing I will NOT be buying this Amazon Prime Day…. 😳 #primeday2025 #amazondeals,neutral,0.9363
youtube_video,എന്തുകൊണ്ട് ഒരിക്കലും ആമസോൺ കാടിനെ പരിവേഷണം ചെയ്യാൻ കഴിയില്ല?,neutral,0.8741
youtube_video,জঙ্গলের ভিতরে কেমন ছিল আমার দিনগুলো? বিষাক্ত ও ভয়ানক সব জীব! Anaconda in my room in Amazon jungle!,neutral,0.8949
youtube_video,Adarsh Baal Vidyalaya - Official Trailer | Prime Video India,neutral,0.9459
youtube_video,16 hallazgos de Amazon que hacen tu casa más ELEGANTE ✨,neutral,0.8254
youtube_video,TERRIBLE Amazon Products...,negative,0.5073
youtube_video,എന്തുകൊണ്ട് ഒരിക്കലും ആമസോൺ നദിയുടെ വീതി അളക്കാൻ കഴിയില്ല .,neutral,0.9138
youtube_video,₹10 Vs ₹1000 Amazon cool products Bengali mini blog #shorts😱,neutral,0.8808
youtube_video,Reality of Amazon Prime Day Sale 2026,neutral,0.9353
youtube_comment,"Why are you misleading people? This is a work-from-office role, not a work-from-home job. Please do proper research before creating content. Also, I'd suggest improving your English to make your content more credible.",neutral,0.8157
youtube_comment,Me delhi me rehta hu. Mene form bhara and within a minute rejection aa gaya... Samjh nahi aya..hua kya aur ye baat ek hafte pehle ka hai,neutral,0.9089
youtube_comment,Hlo ji I'm from Rajasthan sir Ganganagar can I apply for this job .. work from home real job need,neutral,0.8957
youtube_comment,Sir uttar pradesh me vacancy website me show nahi ho raha hai.,neutral,0.9296
youtube_comment,Bhai ya sub churan detay hai inse khud he kuch nahi ho pata hai,neutral,0.8997
youtube_comment,Work from home nahi hai,neutral,0.9119
youtube_comment,Sir work from home new 10 th,neutral,0.8673
youtube_comment,Link,neutral,0.8772
youtube_comment,"Starts at 2:56 
Thank me later 😊",neutral,0.9352
youtube_comment,Aapne ho jo job bataai hai unmse se koi bhi apply nhi hui,neutral,0.8844
youtube_comment,Bhai shaab ye job apply to hoti hee nhi hai,neutral,0.8844
youtube_comment,Please send link sir,neutral,0.9369
youtube_comment,koi vacancy nhi h maine deakha,neutral,0.8545
youtube_comment,Assam ke liye hai ya nahi???,neutral,0.872
youtube_comment,Real hai kya ye,neutral,0.9046
youtube_comment,Kyu maurkh bana rhe ho ye work from home hai?,neutral,0.8331
youtube_comment,From Pakistan gilgit baltistan ❤❤❤❤,neutral,0.9052
youtube_comment,Sir is job le liye english ana jruri hai Kya please ap bta do,neutral,0.8878
youtube_comment,Sir ye froad nahi n h,neutral,0.896
youtube_comment,❤❤❤❤,neutral,0.9052
youtube_comment,The power of christ can't u,neutral,0.8986
youtube_comment,Me watching 7 times and realizing it ended,neutral,0.9041
youtube_comment,What is that thing!?!,neutral,0.5329
youtube_comment,Aaj shopping karne se pehle meri bio dekh lena... baad mein yaad karoge. 👀🔥,neutral,0.929
youtube_comment,That is localized trama Gng stop,neutral,0.9437
youtube_comment,"It looks like if you try to scratch the back of your neck, you'll be sounding like the screaming chicken meme😭",negative,0.5147
youtube_comment,She did it for years that not good🤕,neutral,0.9175
youtube_comment,😮,neutral,0.9052
youtube_comment,THAT SHIT CUASED IT IT AINT SOLVING IT,neutral,0.6881
youtube_comment,Amazon disgusting dirty hell,neutral,0.8581
youtube_comment,Don't buy from Amazon...they are doing scam nowadays...they will send you wrong product and ask you to return and when you do return they will not refund your money saying you had sent wrong product....Be alert everyone!!!,negative,0.7677
youtube_comment,Jesus Christ bro I’m recoiling at the sight 💔,negative,0.5587
youtube_comment,"My Amazon favorites and don't touch it, don't touch it, they'll give you a fact. Soon it can be hurting, and it is, I bore my back hurt to my neck.Yeah dogs so much that😂",neutral,0.7086
youtube_comment,oh man i gotta get one of these for my neck,neutral,0.8804
youtube_comment,90% agree 80% hostile,neutral,0.8803
youtube_comment,"Shocked !!!!!
From when did amazon started scamming people. Amazon has started to make ordered items disappear from the order list of the customer. The item will neither be delivered nor you will get a refund. After the payment the item will not be seen in customers order list. And if you contact customer care, they will ask you yo wait for 48 hours and nothing will change. You chase them again and you get the same answer again. I ordered an item on 9th June, i didn’t receive the item and hence raised a complaint on 13th June. Then immediately the customer people who act innocent started saying there is an unauthorised activity. Thats it no update from then, they keep saying the same thing. Nothing has resolved. The customer care people will end the chat after this.",neutral,0.5751
youtube_comment,😮👀👄,neutral,0.9052
youtube_comment,"amazon 🛍️ 
🚁$180000000😢",neutral,0.9155
youtube_comment,amazon 🛍️,neutral,0.9383
youtube_comment,Damn please tell me thats fake😔😔✌,neutral,0.8555
youtube_comment,Dq aano explain cheythe😊,neutral,0.9161
youtube_comment,"നിങ്ങൾ 1000 വർഷം ഭാവിയിലേക്ക് സഞ്ചരിച്ചാൽ എന്ത് സംഭവിക്കും?  കണ്ടു നോക്കൂ, അടിപൊളിയാണ്.
https://youtu.be/qjIpX3JVJ2s?si=rk0bmi5quAYoGuuv",neutral,0.9197
youtube_comment,❤❤,neutral,0.9052
youtube_comment,Dq വിനു പുതിയ ഫിലിം ഒന്നുമില്ലേ ഇവിടെ വോയിസ്‌ കവർ കൊടുക്കുന്നു,neutral,0.8952
youtube_comment,Ethoke. Namude nattilum. Undayirunnu,neutral,0.9374
youtube_comment,Marathile  kaikaan pattumo,neutral,0.9278
youtube_comment,"ഇതിലൂടെ ഒക്കെ നടന്നു പോകാൻ തോന്നും പക്ഷെ പോയി കഴിഞ്ഞാൽ പിനെ ഒരു തിരിച്ചു വരവ് ഉണ്ടാവില്ല എന്ന് മാത്രം ജീവിതം വേണ്ട ജീവിതം അവസാനിപ്പിക്കണം എന്ന് ആഗ്രഹിക്കുന്നവർക്കൊക്കെ 
 ഈ കാട്ടിലൂടെയുള്ള യാത്ര നല്ല ഒരു ഓപ്ഷൻ ആണ്",neutral,0.8511
youtube_comment,മലയാളികളെ അവിടെ വിട്ടാൽ ഒരു വർഷം കൊണ്ട് ആമസോൺ പകുതി ഭാഗം ടീം ടീം 😂🎉,neutral,0.8802
youtube_comment,ഇനിയും പോകുമ്പോൾ വിളിക്കണം കേട്ടോ 😂❤,neutral,0.8931
