source,text
news,"IT stocks snap two-day fall as Anthropic CEO lists risks for AI companies; Coforge, TechM lead gains"
news,NSA Chief Says Mythos Breached ‘Almost All’ Classified Systems In Hours
news,U.S. scientist John Jumper to leave Google DeepMind for Anthropic
news,Trump tells Axios he no longer views Anthropic as national security threat
news,Zhipu AI market cap tops HK$1 trillion as shares of GLM-5.2 developer soar
news,Indian deep-tech to see funding surge amid sovereign push: Celesta’s Viswanathan
news,Can Jio and NSE IPOs repeat Maruti feat?
news,Commentary: Anthropic’s call for AI development pause deserves attention. It also raises questions
news,Stop prompting! Why Anthropic co-founder says the way we talk to AI is already obsolete
news,"AI regulation is a mess, and Anthropic is caught in the crosshairs"
youtube_video,Anthropic is Completely F*cked.
youtube_video,Inside the Mind of Anthropic CEO Dario Amodei | The Circuit | Extended Interview
youtube_video,"Inside Anthropic, the $965 Billion AI Juggernaut | The Circuit"
youtube_video,The Real Reason Anthropic&#39;s CEO Walked Away From Sam Altman
youtube_video,Introducing Claude Fable 5
youtube_video,Building Anthropic | A conversation with our co-founders
youtube_video,Anthropic begged the world to stop AI… then shipped this
youtube_video,China Will Have Anthropic Fable Class AI By End of Year - USA Can&#39;t Beat Chinese
youtube_video,Why Amazon’s CEO Warned the Government About Anthropic
youtube_comment,See if your SSN is for sale right now. My sponsor Cloaked will tell you for free in 2 seconds here: https://cloaked.com/moon
youtube_comment,Imagine the AI and the technology is so goated that it gets banned from the government
youtube_comment,how is any of these relating to something that is completely fked? i dont get it
youtube_comment,"I can't wait for when people realize that when you hit a wall, the wall wins. Or, ceiling. :)
That said, I reeeeeeeeeeeeally just /can not/ stand Dario talking. I have no idea why, but his way of speaking and presenting just instantly makes me livid. I don't like OpenAI either, but Sam's words go in on the left and exit on the right - I can ignore him. Dario, however? I just lose it. xD"
youtube_comment,this story is complete f*ckd. indeed... great video once again!
youtube_comment,Anthropic’s biggest competitor may not be OpenAI. It may be the entire Chinese open source ecosystem. Never underestimate China.
youtube_comment,"No entendi nada, en cristiano porfavor 😭🙏"
youtube_comment,Seeing you fall for the fraud is kinda sad
youtube_comment,The Minab elementary school bombing was a deliberate child sacrifice ritual
youtube_comment,Models are a commodity. Daily integration of multiple models is the answer to profitability
youtube_comment,"""Claude is becoming uncomfortably good"" while showing an activity that 1. can be done reliably by any free local model on a machine with 64GB+ ram, and 2. is a likely huge vector for privacy violation by uploading your entire downloads folder filenames content to Anthropic so they can identify exactly the kind of PC user you are."
youtube_comment,"They steal the populace'  IP under the guise of a free-to-use service. All the while, they sit fat on a trillion dollar valuation while routinely operating in the RED. Where have we seen awful business crash all of financial existence before? Who suffered when the penny dropped? It wasn't the golden parachute C-suite. Either they figure out their business model or they drown. fk these companies"
youtube_comment,Amodei taking entirely the wrong message from Treebeard in LotR is so TechBro.
youtube_comment,"This did not explain at all why ANTHROPIC is completed F*d. Like not even a little, this is more pro AI hype."
youtube_comment,I like the fact that you don't  feel the need to put your face on screen and stair into the camera like most crappy YouTubers. The quality of your videos is far better than the muppets who's egos make them have their face on screen. Keep it up.
youtube_comment,I tell you what’s f*cked. Moons click bait video titles are f*cked.
youtube_comment,"Guys Jesus is coming soon, repent!
John 3:36 and John 3:16"
youtube_comment,"I don’t see how “Anthropic is Completely F*cked” from your video, quite contrary. Pretty dumb title in regards of the content of video if you ask me."
youtube_comment,"Sooo, Greatest AI model in history was banned, aaaand nothing happened, noone cares, except stock market. Don't know, maybe AI is not so valuable or important as they trying to gaslight everyone."
youtube_comment,Nice controlled opposition LOL
youtube_comment,"Watch Inside Anthropic, the $965 Billion AI Juggernaut: https://youtu.be/v1wZwxY3CMg"
youtube_comment,Dario Amodei is a car salesman.
youtube_comment,Diarrheo Comodie
youtube_comment,Actually Sam opening his hand to take for a second 😂😂
youtube_comment,"Genuine man,  I Appreciate your opinion"
youtube_comment,Oh Emily just another joyful non-challenging interview avoiding any hard questions that need to be asked
youtube_comment,Interesting that Amodei and Srinivas has different views on the export controls on China
youtube_comment,Can only listen to Scooby Doo for soo long...  guy is brutal..
youtube_comment,He said NO when he had to 🙌🙌🙌
youtube_comment,Hello guys
youtube_comment,"Hearing his responses to her questions, I finally understand why opus 4.8 gives me such long outputs 😅"
