source,text,sentiment,confidence
news,"IT stocks snap two-day fall as Anthropic CEO lists risks for AI companies; Coforge, TechM lead gains",negative,0.957
news,NSA Chief Says Mythos Breached ‘Almost All’ Classified Systems In Hours,negative,0.6337
news,U.S. scientist John Jumper to leave Google DeepMind for Anthropic,negative,0.59
news,Trump tells Axios he no longer views Anthropic as national security threat,neutral,0.9255
news,Zhipu AI market cap tops HK$1 trillion as shares of GLM-5.2 developer soar,positive,0.9089
news,Indian deep-tech to see funding surge amid sovereign push: Celesta’s Viswanathan,positive,0.886
news,Can Jio and NSE IPOs repeat Maruti feat?,neutral,0.864
news,Commentary: Anthropic’s call for AI development pause deserves attention. It also raises questions,neutral,0.8018
news,Stop prompting! Why Anthropic co-founder says the way we talk to AI is already obsolete,neutral,0.8531
news,"AI regulation is a mess, and Anthropic is caught in the crosshairs",negative,0.8707
youtube_video,Anthropic is Completely F*cked.,negative,0.5067
youtube_video,Inside the Mind of Anthropic CEO Dario Amodei | The Circuit | Extended Interview,neutral,0.9324
youtube_video,"Inside Anthropic, the $965 Billion AI Juggernaut | The Circuit",neutral,0.8909
youtube_video,The Real Reason Anthropic&#39;s CEO Walked Away From Sam Altman,neutral,0.6571
youtube_video,Introducing Claude Fable 5,neutral,0.919
youtube_video,Building Anthropic | A conversation with our co-founders,neutral,0.833
youtube_video,Anthropic begged the world to stop AI… then shipped this,neutral,0.6972
youtube_video,China Will Have Anthropic Fable Class AI By End of Year - USA Can&#39;t Beat Chinese,positive,0.7876
youtube_video,Why Amazon’s CEO Warned the Government About Anthropic,neutral,0.6245
youtube_comment,See if your SSN is for sale right now. My sponsor Cloaked will tell you for free in 2 seconds here: https://cloaked.com/moon,neutral,0.9473
youtube_comment,Imagine the AI and the technology is so goated that it gets banned from the government,negative,0.6356
youtube_comment,how is any of these relating to something that is completely fked? i dont get it,neutral,0.6998
youtube_comment,"I can't wait for when people realize that when you hit a wall, the wall wins. Or, ceiling. :)
That said, I reeeeeeeeeeeeally just /can not/ stand Dario talking. I have no idea why, but his way of speaking and presenting just instantly makes me livid. I don't like OpenAI either, but Sam's words go in on the left and exit on the right - I can ignore him. Dario, however? I just lose it. xD",neutral,0.5474
youtube_comment,this story is complete f*ckd. indeed... great video once again!,neutral,0.7939
youtube_comment,Anthropic’s biggest competitor may not be OpenAI. It may be the entire Chinese open source ecosystem. Never underestimate China.,neutral,0.9405
youtube_comment,"No entendi nada, en cristiano porfavor 😭🙏",neutral,0.5617
youtube_comment,Seeing you fall for the fraud is kinda sad,neutral,0.8806
youtube_comment,The Minab elementary school bombing was a deliberate child sacrifice ritual,negative,0.6224
youtube_comment,Models are a commodity. Daily integration of multiple models is the answer to profitability,neutral,0.9075
youtube_comment,"""Claude is becoming uncomfortably good"" while showing an activity that 1. can be done reliably by any free local model on a machine with 64GB+ ram, and 2. is a likely huge vector for privacy violation by uploading your entire downloads folder filenames content to Anthropic so they can identify exactly the kind of PC user you are.",neutral,0.7964
youtube_comment,"They steal the populace'  IP under the guise of a free-to-use service. All the while, they sit fat on a trillion dollar valuation while routinely operating in the RED. Where have we seen awful business crash all of financial existence before? Who suffered when the penny dropped? It wasn't the golden parachute C-suite. Either they figure out their business model or they drown. fk these companies",neutral,0.7446
youtube_comment,Amodei taking entirely the wrong message from Treebeard in LotR is so TechBro.,negative,0.7564
youtube_comment,"This did not explain at all why ANTHROPIC is completed F*d. Like not even a little, this is more pro AI hype.",neutral,0.8658
youtube_comment,I like the fact that you don't  feel the need to put your face on screen and stair into the camera like most crappy YouTubers. The quality of your videos is far better than the muppets who's egos make them have their face on screen. Keep it up.,neutral,0.8937
youtube_comment,I tell you what’s f*cked. Moons click bait video titles are f*cked.,neutral,0.8246
youtube_comment,"Guys Jesus is coming soon, repent!
John 3:36 and John 3:16",neutral,0.8759
youtube_comment,"I don’t see how “Anthropic is Completely F*cked” from your video, quite contrary. Pretty dumb title in regards of the content of video if you ask me.",neutral,0.7415
youtube_comment,"Sooo, Greatest AI model in history was banned, aaaand nothing happened, noone cares, except stock market. Don't know, maybe AI is not so valuable or important as they trying to gaslight everyone.",neutral,0.8222
youtube_comment,Nice controlled opposition LOL,neutral,0.8636
youtube_comment,"Watch Inside Anthropic, the $965 Billion AI Juggernaut: https://youtu.be/v1wZwxY3CMg",neutral,0.9232
youtube_comment,Dario Amodei is a car salesman.,neutral,0.8834
youtube_comment,Diarrheo Comodie,neutral,0.843
youtube_comment,Actually Sam opening his hand to take for a second 😂😂,neutral,0.8801
youtube_comment,"Genuine man,  I Appreciate your opinion",positive,0.5184
youtube_comment,Oh Emily just another joyful non-challenging interview avoiding any hard questions that need to be asked,neutral,0.9148
youtube_comment,Interesting that Amodei and Srinivas has different views on the export controls on China,neutral,0.8466
youtube_comment,Can only listen to Scooby Doo for soo long...  guy is brutal..,negative,0.497
