source,text
news,"Apple may soon extend price hike to iPhones, warn experts"
news,"Soaring iPad, Xbox Prices Reveal Pain of Memory Chip Mess"
news,"Samsung, SK Hynix and Micron sued over alleged price-fixing amid RAM crisis"
news,"Apple supplier Tata tightens internal controls after data breach, sources say"
news,iPhone iPhone 18 and iPhone 18e launching in 2027 with two big upgrades
news,"Buying US shares? A complete guide to rules, limits and taxation"
news,Today in History: Apple releases the first iPhone to consumers
news,"iPhone 18 Pro Leaks Roundup: Design, Camera, Display Upgrades & More - What We Know So Far"
news,"What to watch in July on OTT: Enola Holmes 3 to Ikka to The Devil Wears Prada 2, new movies and shows on Netflix, ZEE5, Prime Video, JioHotstar, Apple TV+ and more"
news,5 Disadvantages Of Apple's Ecosystem You Should Know About
youtube_video,BREAKING: Apple&#39;s Mac Plans just FLIPPED
youtube_video,iOS 27 Just Made Apple&#39;s Calendar App SO Much Better
youtube_video,"Learn The ABC Phonic Song with APPLE as Your First Lesson-ABC Songs, ABCD, Nursery Rhymes, Baby Song"
youtube_video,Apple Explains Why They Hiked Prices
youtube_video,⚡️APPLE БЛОКИРУЕТ И УДАЛЯЕТ ПРИЛОЖЕНИЯ? ВОТ ЗАЩИТА⚡️ #iphone #iphone17 #apple
youtube_video,Phonics Song with TWO Words - A For Apple - ABC Alphabet Songs with Sounds for Children
youtube_video,Apple&#39;ı dize getiren kriz! - Her şeye zam geldi! ( iPhone sırada mı? )
youtube_video,One more thing.... die Apple Flasche!
youtube_video,Apple&#39;s Price Hike is WORSE Than I Thought!
youtube_video,Apple WWDC 2026 June 8: Introducing Siri AI and more
youtube_comment,"Which Leaked Mac are YOU Waiting for?
Buy MacBook Neo on Amazon ➡ https://geni.us/qlyh
Buy M5 MacBook Air on Amazon ($50 OFF) ➡ https://geni.us/lGA2s0j
Buy M5 MacBook Pro on Amazon ➡ https://geni.us/Z3BJxq
Buy M5 Pro MacBook Pro on Amazon ($50 OFF) ➡ https://geni.us/UTVc"
youtube_comment,No iMacs updates?
youtube_comment,How can i get wallpapers? They are kinda cute
youtube_comment,What happened to M6?
youtube_comment,"Will be great if everyone skips buying a new pc until the price comes down. A global tech boycott. 

Note: Be sure to not update your PC's to stop them from sabotaging what you already have to force you to buy."
youtube_comment,"Looking forward to benchmarks for 3D rendering : M5 Ultra vs “Ryzen9,rtx5090,128GB”"
youtube_comment,No one can afford them!!!!
youtube_comment,waiting for the mac studio m5 ultra 768GB.
youtube_comment,Woohoo touch!
youtube_comment,Cost: one kidney and two fingers.
youtube_comment,"Only 9,999! And from next week 19,999!"
youtube_comment,Great video. I’m glad that the pros will be sticking around for people who don’t need the ultra. I’m personally sticking with my M1 MacBook Air. I just got it last year and I love it! It does everything I need it to do and I have no intent to upgrade anytime soon.
youtube_comment,as always  too expensive    !!!!!!!!!
youtube_comment,"Hmm I think the max chip will only be in the ultra model, it’ll force more customers into that tier to boost profits to offset component costs"
youtube_comment,Doesn't matter. M5 Ultra has a starting price of 16k. Good luck
youtube_comment,"As a Mac Studio M2 Ultra owner, who has been waiting patiently to upgrade to the latest generation M processor, I am extremely disappointed with Apple’s slow approach to updating the Mac Studio, and the recent $1300 price increase on the Mac Studio Ultra models. I understand that memory prices have significantly increased over the last 24 months, and I can only understand a $1300 price hike if the new Mac Studio is coming with more RAM and a larger SSD."
youtube_comment,"Bring cheap products. Then raise the prices so your ""cheap"" product to the point where it is almost at the same price as the product you undercut before. 
That's how you get more profit out of your established product lines. Well done Apple!"
youtube_comment,Local ai is nowhere near as fast as to be usable in most cases unless u have a ridiculous rig. And even then I doubt it will match the reasoning and speed of a cloud model
youtube_comment,No-one will be able to afford any of them.
