source,text,sentiment,confidence
news,"Apple may soon extend price hike to iPhones, warn experts",positive,0.4576
news,"Soaring iPad, Xbox Prices Reveal Pain of Memory Chip Mess",positive,0.4831
news,"Samsung, SK Hynix and Micron sued over alleged price-fixing amid RAM crisis",negative,0.9562
news,"Apple supplier Tata tightens internal controls after data breach, sources say",negative,0.9334
news,iPhone iPhone 18 and iPhone 18e launching in 2027 with two big upgrades,positive,0.5654
news,"Buying US shares? A complete guide to rules, limits and taxation",neutral,0.9336
news,Today in History: Apple releases the first iPhone to consumers,neutral,0.8518
news,"iPhone 18 Pro Leaks Roundup: Design, Camera, Display Upgrades & More - What We Know So Far",neutral,0.9352
news,"What to watch in July on OTT: Enola Holmes 3 to Ikka to The Devil Wears Prada 2, new movies and shows on Netflix, ZEE5, Prime Video, JioHotstar, Apple TV+ and more",neutral,0.9426
news,5 Disadvantages Of Apple's Ecosystem You Should Know About,neutral,0.8234
youtube_video,BREAKING: Apple&#39;s Mac Plans just FLIPPED,neutral,0.8577
youtube_video,iOS 27 Just Made Apple&#39;s Calendar App SO Much Better,neutral,0.5221
youtube_video,"Learn The ABC Phonic Song with APPLE as Your First Lesson-ABC Songs, ABCD, Nursery Rhymes, Baby Song",neutral,0.9309
youtube_video,Apple Explains Why They Hiked Prices,neutral,0.6942
youtube_video,⚡️APPLE БЛОКИРУЕТ И УДАЛЯЕТ ПРИЛОЖЕНИЯ? ВОТ ЗАЩИТА⚡️ #iphone #iphone17 #apple,neutral,0.9184
youtube_video,Phonics Song with TWO Words - A For Apple - ABC Alphabet Songs with Sounds for Children,neutral,0.9336
youtube_video,Apple&#39;ı dize getiren kriz! - Her şeye zam geldi! ( iPhone sırada mı? ),neutral,0.8595
youtube_video,One more thing.... die Apple Flasche!,neutral,0.901
youtube_video,Apple&#39;s Price Hike is WORSE Than I Thought!,negative,0.9513
youtube_video,Apple WWDC 2026 June 8: Introducing Siri AI and more,neutral,0.927
youtube_comment,"Which Leaked Mac are YOU Waiting for?
Buy MacBook Neo on Amazon ➡ https://geni.us/qlyh
Buy M5 MacBook Air on Amazon ($50 OFF) ➡ https://geni.us/lGA2s0j
Buy M5 MacBook Pro on Amazon ➡ https://geni.us/Z3BJxq
Buy M5 Pro MacBook Pro on Amazon ($50 OFF) ➡ https://geni.us/UTVc",neutral,0.9036
youtube_comment,No iMacs updates?,neutral,0.9116
youtube_comment,How can i get wallpapers? They are kinda cute,neutral,0.9128
youtube_comment,What happened to M6?,neutral,0.5955
youtube_comment,"Will be great if everyone skips buying a new pc until the price comes down. A global tech boycott. 

Note: Be sure to not update your PC's to stop them from sabotaging what you already have to force you to buy.",negative,0.7772
youtube_comment,"Looking forward to benchmarks for 3D rendering : M5 Ultra vs “Ryzen9,rtx5090,128GB”",neutral,0.7695
youtube_comment,No one can afford them!!!!,neutral,0.634
youtube_comment,waiting for the mac studio m5 ultra 768GB.,neutral,0.9327
youtube_comment,Woohoo touch!,neutral,0.9088
youtube_comment,Cost: one kidney and two fingers.,neutral,0.7659
youtube_comment,"Only 9,999! And from next week 19,999!",neutral,0.937
youtube_comment,Great video. I’m glad that the pros will be sticking around for people who don’t need the ultra. I’m personally sticking with my M1 MacBook Air. I just got it last year and I love it! It does everything I need it to do and I have no intent to upgrade anytime soon.,neutral,0.8029
youtube_comment,as always  too expensive    !!!!!!!!!,neutral,0.5342
youtube_comment,"Hmm I think the max chip will only be in the ultra model, it’ll force more customers into that tier to boost profits to offset component costs",positive,0.8561
youtube_comment,Doesn't matter. M5 Ultra has a starting price of 16k. Good luck,neutral,0.8322
youtube_comment,"As a Mac Studio M2 Ultra owner, who has been waiting patiently to upgrade to the latest generation M processor, I am extremely disappointed with Apple’s slow approach to updating the Mac Studio, and the recent $1300 price increase on the Mac Studio Ultra models. I understand that memory prices have significantly increased over the last 24 months, and I can only understand a $1300 price hike if the new Mac Studio is coming with more RAM and a larger SSD.",negative,0.8557
youtube_comment,"Bring cheap products. Then raise the prices so your ""cheap"" product to the point where it is almost at the same price as the product you undercut before. 
That's how you get more profit out of your established product lines. Well done Apple!",neutral,0.737
youtube_comment,Local ai is nowhere near as fast as to be usable in most cases unless u have a ridiculous rig. And even then I doubt it will match the reasoning and speed of a cloud model,neutral,0.8555
youtube_comment,No-one will be able to afford any of them.,neutral,0.68
youtube_comment,"Yeah this Apple price hike is not cool, but it really is nothing comparing to the price hike of those homeowner insurance premium and property taxes for homeowners.  At least with Apple stuff we get to enjoy the latest technology/features.",neutral,0.7349
youtube_comment,Fantastical!,neutral,0.8927
youtube_comment,"I use the native calendar app, because it’s free, built in, and works well enough for my regular needs.",neutral,0.906
youtube_comment,It deleted my stuff that I had planned earlier idk where it went,neutral,0.8713
youtube_comment,"I appreciate this video.  But, I’m curious why the new Siri AI cannot parse out the description after you’ve typed it, rather than tapping on each segment individually?  Especially if it’s a specific restaurant you visit often or your wife’s name, in your example.  The so-called smart events aren’t really that smart yet.  But it’s a step in the right direction.",neutral,0.9036
youtube_comment,"Don't know, looks like they just slapped more AI to it. You're way faster when you just use the recommendations you have today.",neutral,0.9014
youtube_comment,What a waste of a widget! A widget that huge should show a week view,negative,0.6032
youtube_comment,I’m on Siri ai and I’m incredibly let down by it. It just constantly gets facts wrong and can’t do anything more than 1 step.,negative,0.8917
youtube_comment,The fact that Apple calendar doesn't allow notifications four weeks before an event kills it for me,negative,0.4905
youtube_comment,the ai is ai'ing.,neutral,0.6873
youtube_comment,🐬,neutral,0.9052
youtube_comment,Apple calendar for me,neutral,0.9227
youtube_comment,When are they going to overhaul the gallery app. I hope whoever designed the current one was fired and is never allowed anywhere near a UI design job ever again,negative,0.8616
youtube_comment,Insert dolphin here. 🐬,neutral,0.9401
youtube_comment,I used calendar app the most. It sorts out my day so I know exactly what’s coming up as I do forget.,neutral,0.9292
youtube_comment,"If there’s an Apple app for any given task, that’s the one I use",neutral,0.931
youtube_comment,"Uninstalling Fantastical. That’s literally all I need. Thank you, Apple.",positive,0.7182
youtube_comment,I use both cause you can’t add Google Meet meetings directly from the Apple calendar. You can only add FaceTime as if anyone uses that for business meetings. Should be able to add Zoom or Meet meetings.,neutral,0.9417
youtube_comment,"So don’t buy them, I won’t",neutral,0.8838
youtube_comment,... while simultaneously collecting tax payer funded subsidies. Sounds like double triple dipping to me.,neutral,0.9151
youtube_comment,"Downwards?
Hmm?

😅",neutral,0.8755
youtube_comment,Apple will shutdown in a few years.,negative,0.5577
youtube_comment,"Apples RAM is generally custom silicon, not commodity RAM chips. So unless the foundry prices have gone through the roof…",neutral,0.8737
youtube_comment,"The price rise is justified. Tim Cook was struggling to feed his family and pay his bills at those old prices, in case you were not aware.

/s",neutral,0.8276
youtube_comment,"Actually, it might be up to 5 years before these prices will be able to come down thanks to ramageddon according to Micron...",neutral,0.5631
youtube_comment,I'm glad we're finally acknowledging that the price was the only thing the Neo actually had going for it,positive,0.565
youtube_comment,"Apple could easily have absorbed RAM price increases and made a profit. But no, they immediately pushed this into the consumer, despite being a 4 trillion dollar company. Absolutely greed. 
This is like when oil prices went high, so petroleum companies hiked fuel prices ‘because they needed to’,  but then they also had their most profitable quarters ever in that same period. 🤦‍♂️🙄 I’m starting to believe we’re just being scammed by every single big company.",neutral,0.6651
youtube_comment,"""First time?""
-Valve, who made the steam machine.",neutral,0.935
youtube_comment,I’d say they increased the price because of declining sales .. Disney has been doing the same thing for a decade .. the trouble apple has is the share price has to justify the dividend .,negative,0.7805
youtube_comment,"If it doesn't sell, sell it at a higher price. Works everytime",neutral,0.9129
youtube_comment,Increase price on crashing sales of Vision Pro. Now thats COURAGE!,positive,0.4151
youtube_comment,I disagree with this skit. M$ also has raised prices of its devices.  Thanks to useless AI which we use everyday for every task. But again wallet of people will show where borders are.,positive,0.6689
youtube_comment,Tim is cashing out his leaving bonus 😂,neutral,0.8584
youtube_comment,One Word....Greed Cos Apple loves ❤️ U,neutral,0.8575
youtube_comment,"Apple is cooked in Korea rn lol💀 Been riding with them for 20+ yrs but literally everyone in my circle is jumping ship to Samsung and Im also thinking the same. Bro 10 years of recycling the same design with a higher price tag every single year lol And word’s been spreading hard in Korea about how they’ve been lowballing and squeezing memory companies — people are becoming tired of them. The whole vibe is mass exodus energy, it’s not even a joke anymore 🤷‍♀️",negative,0.5782
youtube_comment,"I mean ""F*ck AI""... again and again..",neutral,0.6063
youtube_comment,Their 50% profit margin was threatened.,negative,0.9724
youtube_comment,Haha priceless 😂,neutral,0.9052
youtube_comment,Прекрасная новость оказывается в игру с блокировками можно играть вдвоем,neutral,0.749
youtube_comment,Спасибо бро,neutral,0.8113
youtube_comment,Очередная чушь,neutral,0.894
youtube_comment,"При этом сам ты тоже не сможешь удалить любое приложение, придётся снова переключать этот тумблер обратно и только потом ты сможешь удалить приложение!",neutral,0.7936
youtube_comment,"Я лично ничего не потерял, ни вк ни чем либо подобным не пользуюсь",neutral,0.7843
youtube_comment,"толку то, что не удаляются, если один хрен не запускаются???",neutral,0.8245
youtube_comment,"Да пох, веб версии существуют",neutral,0.8365
youtube_comment,Да и насрать. Не парюсь вапще. Уведомления всю жизнь отключены. Вэбверсии работают. Пох на приложения,neutral,0.666
youtube_comment,А как потом мне удалить не нужное приложение?,neutral,0.8235
youtube_comment,"Вроде серьёзный канал о гаджетах с полезными советами / лайфхакамм, и вдруг такой вводящий в заблуждение шортс от Саши… 😮

Настройка на запрет удаления приложений касается конкретного устройства, но никак не всего магазина App Store – решение на удаление / возврат приложений в котором принимает исключительно Apple. Владельцы iPhone на это никак повлиять не могут.

P. S. При этом совсем недавно здесь же был другой шортс о том как вернуть «пропавший» App Store на домашний экран – в этом же разделе настроек телефона, тем самым, разрешив установку приложений на своём устройстве.",neutral,0.7998
youtube_comment,"Как же я рад что они получили по шапке, не нужно было оплату блочить, телегу блочить, сами виноваты.",neutral,0.677
youtube_comment,Так они удаляют из апп стор а не из смартфона,neutral,0.8093
youtube_comment,надеюсь вк не удалится))) хахахахха😂😂,neutral,0.9155
youtube_comment,"Бесполезно,  обновление не сработает",neutral,0.8827
youtube_comment,"Че за чушь , установленные приложения , не удалятся. Только сгрузится могут. Какие гадкие огрызки, удалили чмошный мусор. Все одаренные это гавно скачали давно, больше это никому не нужно.",neutral,0.8444
youtube_comment,"Шляпа функция, сам себе запрет ставишь на удаление, чекайте, чтоб удалить приложение нужно будет снова выключать все что включил",neutral,0.7629
youtube_comment,"А если я поставил обновление ,приложения удалятся после ваших рекомендаций или нет ?",neutral,0.8393
youtube_comment,Это на купленные приложения?,neutral,0.8756
youtube_comment,Все переходите на андроид если хотите использовать полностью,neutral,0.6866
youtube_comment,Андроид круче получается будет,neutral,0.8869
youtube_comment,"07:30 Kafiye çok havalı değil mi lan: ""Sio, bu kriz hakkında şöyle diyo.."" Bir kaç yerde daha hem havalı, hem kafiyeli söylüyo. 😂 👏👏👏",neutral,0.8662
youtube_comment,Abi ban tablet versin ❤❤❤vermesnde canın sağ olsun ❤❤❤😢,neutral,0.9137
youtube_comment,"Üzgünüm video nun tamamen  şirketler tarafından planlı şekilde yaptırıldığına inanıyorum. Şirketlerin yaptıkları zamları orta seviye takipçi sayılı sosyal medya influencer larına normalleştirme çabası diyeyim. İçi tamamen boş video! Yapılan zamları, ""ha tamam yaa bellek pahalı o zaman zam normal"" deyip normalleştirme amaçlı... 

Bellek fiyatları yeni dahalı değil, hep pahalıydı... Yıllar önce, masaüstü toplama bilgisayar tabirini hatırlayanlar bilirler, bir ekran kartına karar vereceğimizde bilgisayarın RAM belleğinin yanında ekran kartının belleğini de yüksek olacak şekilde seçerdik. Evet daha fazla bellek daha fazla para demekti, o zaman da, şimdi de... Tamam da bugün bir iphone dünyada hemen her ülkede kur farkı olmaksızın, aynı fiyat ve çok pahalı! Bunu nasıl açıklayacağız, üstelik de rakiplerinin 5 misli pahalı. Ama aynı iphone bir yıl sonra neredeyse üçte bir fiyatına! Yine söyleyeyim kur farkı olmaksızın bu böyle.

Yani evet girdi maliyetleri artar buna katılırım, ama girdiyi %10 artırıp, ürüne olan zammı %30 yapamazsınız... Bu etik değil, tarih bu tür şirketlerin mezarlıkları ile dolu...",neutral,0.8926
youtube_comment,Samet kardeşim Red magic Astra 2 çıkış yaptı bilgin olsun Red magic Pro gaming tap 5 diye sanırım 🎉🎉🎉🎉🎉🎉🎉,neutral,0.875
youtube_comment,Apple diğer üreticiler zora girsin diye piyasadaki tüm ramleri zararına yüksek fiyattan satın alan bir şirket. Videoyu başlıktan dolayı izlemeyeceğim. Ve en fazla kar marjı ile de satan bir marka. Bu tarz bir kriz maalesef etkilemez Apple'ı keşke etkilese. Ram'i bahane ederek kar marjını daha da artırmış bile olabilir. Zaten müşterisi de sadık; 11 kullanan bile yeni iphone alamadığından android kullanmıyor bile yine apple'da kalıyor; telefon alacak olsa bile elindeki kullanılamaz hale gelmedikçe değiştirmiyor yine kötüsü bile olsa iphone alıyor. Kasadaki parayı yakmak(ürünleri ucuza satmak) uğruna bile satış yapsa bir kaç sene kolay kolay etkilenecek bir şirket değil.,neutral,0.8888
youtube_comment,Telefonu yenileme vaktim yaklaşırken teknoloji şirketleri:,neutral,0.9218
youtube_comment,Media market 114.000 tl olan bilgisayar 160.000 tl olmuş. 😢,neutral,0.9482
youtube_comment,Çok şükür🎉Apple ve Amerika çöksün,neutral,0.9085
youtube_comment,Param var ama almıyorum normal telefon işimi görüyor gösteeriş meraklıları 3 taksit fazla öder alır merak etmeyin😂😂😂,neutral,0.8999
youtube_comment,Almayın bu kadar basit telefon dünyası appledan ibaret değil,neutral,0.9179
youtube_comment,Allahtan Apple ürünlerinde pozitif teknoloji öğrencilere indirim yapıyor yoksa Apple’ı bu fiyatlarıyla rüyamda göremem. Bir öğrenci için çok önemli bir şey bilgisayar vs olması lütfen öğrencileri daha fazla destekleyelim,neutral,0.8814
youtube_comment,Maç alicaktim fiyatı 44 ten 60 cikmis,neutral,0.9258
youtube_comment,Kısaca bellek firmaları şirketlerin kendisine sağladığı sıcak paraya bakıyor.Bireysel müşteri ikinci plana itiliyor.Yani bu kriz geçinceye kadar her gün zam haberlerine alışmalıyız.,neutral,0.8975
youtube_comment,Abi iyi samsung fanboy oldun ha,neutral,0.9249
youtube_comment,Öteki firmalar zam yapmazken neden Apple hemen zammı yapıştırıyor,neutral,0.9153
youtube_comment,fakirler almasın. bitti gitti. bıktık şu fakirlerden artık,neutral,0.9117
youtube_comment,Bu Apple ceo su harbi salakmis global yerine sadece Türkiye'ye neden zam getirmediki bizim gerizekalı olan toplumdaki bütün Apple kullanıcıları almaya devam edeceklerdi zaten xD,neutral,0.8418
youtube_comment,Abi Vallahi sende Erdi Özüağ gibi başardın iyi video olmuş,neutral,0.9261
youtube_comment,1 ay önce mediamarkt dan 56 bine aldığım macbook şuan 85 bin tl :o,neutral,0.8701
youtube_comment,Bir telefonu 1 sene adam akıllı kullanmadan son model telefon kullanıyorum demek için her sene telefon alan millet bu fiyatları hakediyor bugün günümüzde hala 14 pro max bile canavar gibiyken telefonum eskidi diyerek 16dan 17ye geçiyorlar işi sadece Instagrama hikaye atmak (işi için alanlar hariç bu yorumum),neutral,0.8896
youtube_comment,"Wo gibt es, die zu kaufen? Bei Amazon nicht gefunden Apple Store auch nicht.",neutral,0.8934
youtube_comment,"So, jetzt wird’s albern.",neutral,0.9056
youtube_comment,"Ich erinnere mich an früher, da hatten wir eine Bettflasche aus ALU mit kleinerem Ausguss.",neutral,0.8486
youtube_comment,Midea Split Klima anlage ... alles zur Fenster Installation inkl. einfach Aussengerät nach draussen anbringen ... und innen Gerät kühlt perfekt ... siehe unzählige YT Videos ... kann kein Vermieter was gegen sagen ...,neutral,0.908
youtube_comment,😂😂 danke 🤣🤣🤣 👍🏽,neutral,0.9113
youtube_comment,Jetzt hat die Juni-Sonne aber ein ganz bestimmtes Journalistenhirn gegrillt....,neutral,0.909
youtube_comment,"Die Leute hypen natürlich alles, aber der Preis für eine gute isolierte Edelflasche liegt bei diesem Preis, daher ist der nicht so überzogen.",neutral,0.8469
youtube_comment,"Ach Rafael, ja die Trinkflaschen sehr beliebt. Diese Trinkflasche mit dem Apple Logo ist zwar nett, aber würde die mit „Zeilep“ stehen, dann würden deine Kanal Fans, dir die Bude reinrennen!?! Ja ist so wichtig eine gut zuhaben. Eine Thermo Trinkflasche habe ich bei Micros im Tessin gekauft und immer bei der Fahrt hin und zurück mitgenommen (2Liter) und im Tessin war sie noch warm oder kalt.
Ach Malte Kirchner hat ein Video geschickt, wo Android Smartphones die Funktion Erdbeben Vorhersagen können",neutral,0.868
youtube_comment,"""Deutlich unter 30 Grad - 29 Grad."" - Made my Day! Ich habe es aktuell im Büro 31,8 Grad – und die letzten Tage knapp 35 Grad. Wünsche dir einen guten Start in die Woche. :)",neutral,0.8561
youtube_comment,Eine Midea PortaSplit sollte in deinen Umständen gut funktionieren.,neutral,0.9137
youtube_comment,Ist der Sticker noch irgendwo erhältlich?,neutral,0.8907
youtube_comment,"Unbrauchbar, außer dass sie kühlt, aber das machen andere auch. Danke fürs Vorstellen, Rafael. Ich habe seit Jahren die 420 DEGREE - Flasche am Start. Nicht isoliert, dafür sehr leicht und durchdacht. Selbst wenn das Wasser handwarm ist lässt es sich sehr gut trinken. Arbeit, Wandern im Urlaub, perfekt.",neutral,0.8465
youtube_comment,"Eigendlich haben sie das wichtigste vergessen,nämlich die Füllmenge!",neutral,0.8907
youtube_comment,Unfassbar was dieser Apfel in den Menschen alles auslöst.,neutral,0.9071
youtube_comment,Warum nicht? Jetzt bin ich auf den Geschmack von Reviews über Wasserflaschen gekommen! 😅Also ein Review über eine Wasserflasche mit Health Integration? Sehr gerne!,neutral,0.8412
youtube_comment,Leider ohne Apple AI,neutral,0.8869
youtube_comment,"Nein, darüber müssen wir nicht sprechen....",neutral,0.9034
youtube_comment,was ist mit mobiler Klimaanlage? wäre das nicht möglich,neutral,0.9028
youtube_comment,"Hey, ist die Flasche doppeltwandig? LG FUa",neutral,0.9148
youtube_comment,Bekommt die Apple Flasche auch iOS 27 und Super Siri? 😉,neutral,0.8886
youtube_comment,"Apple's increasing their prices, while we're dropping ours 👀 - 🎨 30% OFF our NEW WallpaperZ Store for a limited time - https://www.wallpaperzapp.com",negative,0.9316
youtube_comment,Greedy,neutral,0.876
youtube_comment,Imagine an industry boosting AI-centers like crazy until the paying users of this technology can‘t afford a computer anymore. 💀 I have to pay 3.000$ more now for a maxed up MBP16. I‘m out.,neutral,0.4945
youtube_comment,The iPhone 20 that a lot of people are waiting for is surely going to cost even more than the iPhone 18 Pro Max. I hope you're rich if you're waiting for that phone,neutral,0.7984
youtube_comment,Glad got Ipad Pro M5 last month.,neutral,0.7981
youtube_comment,I was fully planning to get a new MacBook this summer. But not any more or any time soon. In total shock. I just can't see myself spend money like that any time soon. This is just crazy.,negative,0.5305
youtube_comment,Tim Apple sure loves his shareholders. But this time it may backfire. Hope your not turning in your grave Steve?,neutral,0.8611
youtube_comment,円安で更に高い…,neutral,0.7647
youtube_comment,I understand the RAM shortage but Apple has gotten too greedy.,negative,0.8899
youtube_comment,"Oh, calm down. Prices are up everywhere. Replacing the PC workstation I paid $4000 for less than 5 years ago now would cost about $12000. Replacing it with a similar Mac would cost $4000 LESS.",neutral,0.5406
youtube_comment,"I ordered a full spec M5 Max Macbook Pro one day before the rise and it got cancelled. Now the price has a plus of 3.300€ and lands at 11.300€. That is INSANE and intolerable. Nobody should buy any Apple Product now so they see there is a limit what they can ask for. I know the problem has a reason but, these rises are way too steep and i‘m quiet sure even if the market should get better again, prices won‘t get lowered.",negative,0.6207
youtube_comment,I’m so fucking pissed. Was going to buy one last week but put it off to wait until this week. Went to buy it and saw they increased prices by $300. I’m not even going to buy it anymore. Makes me want to sell my Apple stock too. Apple fucking sucks now.,negative,0.8464
