source,text,sentiment,confidence
news,"Meta contractors posed as minors, talked to Gemini and Claude about drugs: Report",neutral,0.9311
news,Who Is Didier Deschamps’s Wife? Everything You Need to Know About Claude Deschamps,neutral,0.9112
news,"Pentagon Rejected Anthropic, Now California Is Bringing Claude AI To State Services",neutral,0.8732
news,"MacBook, whey protein and AI get expensive in 2026, it is already pinching tech bros",negative,0.9619
news,‘The California Way’: Newsom signs historic Anthropic deal despite Trump pushback,positive,0.8845
news,Claude Models Now Available in Microsoft Foundry; Anthropic Has Claude Apps Gateway for Amazon Bedrock,neutral,0.8341
news,Amazon seeks cheaper AI alternatives as Anthropic shifts to token-based pricing,neutral,0.6621
news,Anthropic partners with California to expand AI use by government workers,positive,0.8169
news,"Forget vibe-coding apps, people are now vibe-editing videos in Claude Code now",neutral,0.9181
news,"NVIDIA's Blackwell Ultra GB300 Now Powers Anthropic's Claude Models on Microsoft Azure, Targeting Autonomous Enterprise Agents",neutral,0.7235
youtube_video,Claude AI Tutorial for Beginners (Step-by-Step),neutral,0.9315
youtube_video,Full Claude Tutorial: Beginner to Advanced in 19 Minutes,neutral,0.9228
youtube_video,Learn 97% of Claude in Under 16 Minutes,neutral,0.8338
youtube_video,1000+ hours of Learning Claude in 15 Minutes (Beginner to Pro),neutral,0.9345
youtube_video,10 Ways People Are Making Money With Claude AI,neutral,0.9128
youtube_video,Master Claude in Under 16 Minutes (Beginner to Pro),neutral,0.931
youtube_video,Understand the FULL Claude Ecosystem in One Video,neutral,0.9186
youtube_video,FULL Claude Tutorial For Beginners in 2026! (FULL COURSE),neutral,0.929
youtube_video,FULL Claude Tutorial for Beginners in 2026! (Become a PRO!),neutral,0.8924
youtube_video,Claude Code Crash Course For Developers,neutral,0.6373
youtube_comment,"🎯 Ready to take your skills to the next level? Get customized, one-on-one training from our experts and receive guidance designed specifically for your needs. Book your session today: https://kevinstratvert.com/training

📺 Want to go deeper with Claude?
→ Learn how to use Claude Skills: https://youtu.be/wO8EboopboU
→ Full Claude playlist (start here): https://www.youtube.com/playlist?list=PLlKpQrBME6xLjkQJWaRWv6gKuO3jiX2kJ
These walk through more advanced workflows and real-world use cases so you can get even more out of Claude.https://www.youtube.com/s/gaming/emoji/7ff574f2/emoji_u1f4a1.png",neutral,0.8615
youtube_comment,Thank you for the explanation.,neutral,0.8012
youtube_comment,Helpful.,neutral,0.8736
youtube_comment,Beautiful this one 🤔,neutral,0.8849
youtube_comment,Great Video Kevin. You are amazing,neutral,0.643
youtube_comment,Thanks very easy clear and easy to digest info.,neutral,0.8341
youtube_comment,Claude free is totally useless. Cannot do anything meaningful with 4 question,neutral,0.5363
youtube_comment,humanifylab is way better for anyone who needs clean high quality text,neutral,0.738
youtube_comment,"chatgpt is asking for money all the time I am glad this is free for just novice like me chatgpt is asking money so chatgpt uninstalled claude installed right let me see if this is for poor people like me I am not earning so why I pay I am just learning it will take years to learn chatgpt should be thankful we trusted them and using its chat bot the more we all use a chat bot the more it gets trained now claude and deepseek time for checking their ability and performance, unless it fulfills your needs you are not going to pay, isn't it...?",neutral,0.8976
youtube_comment,"Finally a professional on YouTube for Claude, and why bro has cookies in every video.",neutral,0.9313
youtube_comment,GTA 3.?,neutral,0.9086
youtube_comment,humanifylab is the current peak of humanizing tech,neutral,0.8853
youtube_comment,Thanks kev,neutral,0.8105
youtube_comment,Feels like Claude is hyped bs.  Why do I need it?,neutral,0.8185
youtube_comment,Very clear and useful,neutral,0.8578
youtube_comment,Thanks for sharing your experience with Claude Basic. I'm currently trying to decide which AI tool would be most helpful for my payroll-related work—ChatGPT Plus or Claude. Do you have any suggestions based on your experience?,neutral,0.9267
youtube_comment,Best video after scouring for days! Thanks a bunch!,positive,0.6963
youtube_comment,"thanks it helps me to understand basic in claude,",neutral,0.7941
youtube_comment,How do you print stuff from claude,neutral,0.9378
youtube_comment,Is this thing need to make tutorial? It so straight forward.,neutral,0.9177
youtube_comment,*Get the free Complete Guide to Claude:* https://clickhubspot.com/vmg,neutral,0.9305
youtube_comment,"I disagree with Haiku. Amazing tool, highly accurate and super fast.",neutral,0.6425
youtube_comment,Yes,neutral,0.8564
youtube_comment,Great explanation and promp recs!,neutral,0.8882
youtube_comment,YES,neutral,0.8564
youtube_comment,The best feature of claude is ig asking question in btw convo without disturbing the whole chat,neutral,0.9363
youtube_comment,Ive used to use chatGPT this way in 2023. If your not using it for business or real life improvements LLMs will destroy the user if they aren't giving the right question,negative,0.5856
youtube_comment,Awesome! Thank you!,positive,0.808
youtube_comment,"Really good video. I have a question though, with the effort selection, which would you use for Sonnet combined with the thinking?",neutral,0.9245
youtube_comment,Bad link to the Complete Guide to Claude.  Can you send the correct link?,neutral,0.9321
youtube_comment,"If claude provides only 100 images to upload for paid version, nobody will use claude. People are shifting from Claude to other cost effective options.",neutral,0.8972
youtube_comment,This beared AI dude is scary looking. It's real but with no soul...,neutral,0.8836
youtube_comment,I want to know about that background behind you.,neutral,0.9209
youtube_comment,Great stuff. Thank you.,positive,0.7966
youtube_comment,how does this compare to perplexity,neutral,0.8893
youtube_comment,The final Blow: gemini 3.5,neutral,0.7305
youtube_comment,Thank you!  This was a great introduction to Cladue.  Much appreciated.,positive,0.7854
youtube_comment,"you rock, i always benefit from your videos. thanks.",neutral,0.8784
youtube_comment,"I'm currently going through the Claude journey.   That goes like this;

01. You realise how powerful Claude is.
02. You begin transferring your memory and work from ChatGPT.
03. You decide that Claude is amazing.
04. You begin hitting session limits within your first hour of the day.
05. You go back to ChatGPT for MOST things.
06. You realise that Claude won't replace ChatGPT and you're going to need to pay for both.
07. You continue hitting session limits but you do so with about 2 hours till the reset.
08. You start watching videos.
09. You start using cowork because someone tells you that it's the best way to save tokens.
10. You hit a session limit less then 10 minutes after starting. 
11........",neutral,0.8996
youtube_comment,"You could slow down the pace in your speaking. Try to use a clearer language in your videos, sometimes, its hard to understand. Just an advice",neutral,0.5256
youtube_comment,✅ Get Your FREE AI Company Operating System here: https://go.danmartell.com/4urNJqa,neutral,0.945
youtube_comment,"Best 15 minutes spent 
Definitely dedicating a pc for this",neutral,0.8843
youtube_comment,Ai Business,neutral,0.9208
youtube_comment,Ai business no,neutral,0.9123
youtube_comment,"i think i heard the word ""automagically""",neutral,0.8862
youtube_comment,I added Gmail,neutral,0.9329
youtube_comment,"I used Claude Projects to build my VA disability claim. I uploaded all my medical records, military history, and personal event recollections, then assigned 5 agents in the project instructions — a Veterans Service Officer, VA Attorney, C&P Examiner, VA Rater, and Master Strategist.
I went in thinking I had 5 conditions to claim. Claude reviewed everything and identified over 30 — including secondary conditions I never would have caught. It then built 15 evidence packets covering each major condition and its secondaries, ranging from 50 to 150 pages each.
Without Claude this would've taken months or required hiring a VA claims specialist who takes a big cut of your rating. My only bottleneck was Claude's daily usage limits — otherwise I could've done it in a single day. Instead it took me a few hours a day over about a week.
I came out with a 90% disability rating. They're still reviewing the remaining 8 conditions — I'm hopeful I'll hit 100%.",neutral,0.9126
youtube_comment,AI business,neutral,0.9208
youtube_comment,Why 97%?,neutral,0.9088
youtube_comment,"Your security at home is a bazillion time less secure than the team at Claude.
First of all this response makes no sense because Anthropic is a bazillion times more likely to be a target than your small home whatever.
Second I’m pretty sure people’s concern is less about traditional compute security and more about the ai deleting stuff and such.",neutral,0.7656
youtube_comment,these are not free,neutral,0.9241
youtube_comment,"It's an excellent video. That from 16 mintes video, he gave so much. only problem was Mr. Dan is way fast and for novic, its difficult to grasp...",neutral,0.7939
youtube_comment,"I'm 70 and I filed one of first commercial AI NLP patents, because there weren't any AI patent lawyers, later bought by Microsoft, and here's a demo of what I thought were rumours. So, I'm going to watch again. And again.",neutral,0.918
youtube_comment,Bro went from a prison cell to teaching great stuffs faster than any university. Thanks Dan🔥,neutral,0.8167
youtube_comment,"You saved the best for last, Claude design for sure",neutral,0.901
youtube_comment,Thank you.,neutral,0.8235
youtube_comment,"I started using Claude recently and I'm tempted to cancel my chat gpt subs and switch but they all excel in different things and I don't want to pay both.
Claude writes and codes better than chat gpt but the reasoning and brainstorming are better on gpt and then I need gemini for some other stuff so is becoming a problem",neutral,0.5019
youtube_comment,"hey dan, can you help me with this problem? i copied the import memory prompt from claude and paste it into chatgpt but it seems that it violate their usage policies",negative,0.6533
youtube_comment,are you using today,neutral,0.9192
youtube_comment,How do you have a shared Claude account? I've tried to share my account with my wife and can't find anything that allows a second person to be added to my paid account,neutral,0.8881
youtube_comment,✅ Get Your FREE AI Company Operating System here: https://go.danmartell.com/4e61WU0,neutral,0.9446
youtube_comment,"I am watching, and adding to my playlists so I can do this when im not at work! 
Have claude started with email scaning and giving me a wrap up. 
Got some more to do.",neutral,0.9243
youtube_comment,"Wooaah, 1000 hours inside Claude? Pause",neutral,0.9274
youtube_comment,I just copied and pasted the transcript from this video into Claude and he said this is all part of the master plan.,neutral,0.9348
youtube_comment,And then I fired my chief operator after she loaded all my company financials that Claude emailed to my competitors,negative,0.9248
youtube_comment,This is golden information in 15 minutes,neutral,0.9083
youtube_comment,Good video. Thanks dude,positive,0.8318
youtube_comment,Danny Boy... I haven't watched the video yet. Don't let me down!,neutral,0.7214
youtube_comment,How much difference to you guys find there is between the free version of claude and claude pro? great video btw thanks.,neutral,0.7951
youtube_comment,instructions unclear! ran out of tokens!,negative,0.9536
youtube_comment,"dude's an AI pro, but can't put timestamps in his youtube vids lol",neutral,0.928
youtube_comment,This is really good information,positive,0.6124
youtube_comment,this is insane learning this so fast,neutral,0.8877
youtube_comment,I guess I will get fired if I load all internal company data into claude to make me some nice AI assistant :D,negative,0.8074
youtube_comment,"You need to be stupid to don't see where this is going. It's like drug dealers. Taste first, move your life into it, make it your lifestyle... now, to the next level, the powerful one, you need to pay more/give more (your ID, your identity) - as always, under the premise ""for your/our/others safety"". Just wait the big corp AI be everywhere, and you can't buy, do your job, without ""selling"" yourself.",neutral,0.9167
youtube_comment,"I built 18 photography tools in a month that improved my workflow that are not even on the market my cull tool loads over 5000 images no problem i can cull images tag images and then export and it sorts images by tags to their own folders and resizes them  for Facebook and Instagram in one shot.
This saves me at least 5 hours after each shoot in processing time  I also built a backlight image fix tool using ai recipe it uses to fix images when you send it to the ai programs as shooting outside on motocross tracks well sometimes we get a slew of backlight images   I've bilt thoussands of dollars in software for 1 monthly sub of $20 if you are not coding with claude opencode or freebuff  you are left in the dust!!",neutral,0.9161
youtube_comment,Useful idiot wasted 1000 hours of life for us. 14 minutes summary. Thanks,neutral,0.8894
youtube_comment,"0:53 Claude told me it doesn't learn which was strange, however Claude will ask me questions or tell me it will ask me questions if required after I prompt certain small projects. Really very wild!",neutral,0.9134
youtube_comment,Great video!,neutral,0.8391
youtube_comment,Do you you offers services that will help individuals setup Claude to run their business efficiently?,neutral,0.8402
youtube_comment,"Thanks for clarifying each tool. This whole time, I was using Claude chat for everything. This will save more time on my end now the real question is can i fully trust to run a business?",neutral,0.9049
youtube_comment,"Claude vs Google why is it mportant to ""use/try-out"" all Ais? Cant you develop a relationship with just one suite of Ai tools?",neutral,0.9187
youtube_comment,The best Claude beginner video I've seen. Simple enough for beginners to understand and concise enough to hit the main points.,neutral,0.7781
youtube_comment,"The ""Claude as a thinking partner, not just an answer machine"" framing is exactly right. Most tutorials skip that mental model shift. One thing I'd love to see you cover: how do you keep Claude's outputs organized and connected to your existing notes/research instead of losing them in isolated chats? That's where I see most people (myself included) struggle after the initial excitement wears off.",neutral,0.8879
youtube_comment,*Claude at Work Guide:* https://clickhubspot.com/l1tr,neutral,0.8941
youtube_comment,"Again, the 7348449th video that can't explain the difference between cowork and code, and code and design, in a practical manner.
My hypothesis is that all these AI gurus have no idea what the difference is, yet they use very abstract and general language along with some jargon and buzz words in order to keep us, the viewers, feeling that we learned something.",neutral,0.8787
youtube_comment,You missed Managed Agents…,neutral,0.8781
youtube_comment,I appreciate this. I am starting to use Claude more and needed a refresher!,neutral,0.5447
youtube_comment,Thank you - clear and useful.,positive,0.5764
youtube_comment,This is the first time I’ve seen any of your videos.  I just wanna say thank you. This video really clarified for me the different aspects of Claude.  I’ve been struggling to figure it out because I am not a tech person at all; and I am old.  Email is still magic to me.. So this video was wonderful. I just want to say thank you - Mahalo…,neutral,0.9031
youtube_comment,I find skills are unreliable.  Several times it has gone off the ranch and done whatever it wanted. Deeply detailed prompts have been better for me.,neutral,0.5434
youtube_comment,Excellent as always -- thank you!,positive,0.8808
youtube_comment,Great video! Very informative and just beautiful! Well done!,positive,0.8007
youtube_comment,"Still really confused by Code (to build) and Design (to create). Both seems to let you create websites for example. So, what would be the difference of building a website on Code vs Design?",neutral,0.8711
youtube_comment,"I think, this video must be in Turkish language  also. Thank you for this great video",neutral,0.6934
youtube_comment,I use perplexity and apparently Claude can do much more.  Thanks.,neutral,0.8533
youtube_comment,I just subscribed to your channel off the back of this video. All round excellent overview. Sharing it with others who need basic information like myself ❤,neutral,0.8676
youtube_comment,Thanks for the great content! Could you make a similar video about the Gemini Ecosystem?,neutral,0.9064
youtube_comment,"more the claude adds more the mess,they know that,but now is the time to eat people's money,AI idiots are everywhere,more features more mess more tokens, more idiots",neutral,0.5967
youtube_comment,"claude messed up 
really if you use,you will know,bankers eating tokens,greed has taken over AI",neutral,0.832
youtube_comment,where is the free download? All I got was a page to an advertisement and online doc (and had to give away my email address to get it),neutral,0.8972
youtube_comment,Quick question on the plug-ins… can you put them in a project?  Or do you just have to have it as a plug-in for the entire Claude application,neutral,0.9387
youtube_comment,please make a video like this for Mistral Vibe,neutral,0.9339
youtube_comment,"That 'chat to think, co-work to delegate, code to build' framing is such a clean way to make the whole Claude ecosystem click, the co-work walk-away-and-come-back-to-finished-work part especially. Curious about your thoughts on Moxby? Quite a few people have been talking about it. It's a customizable workspace that sits over the sites you already use, so you can reshape and automate them with your own AI, all running locally.",neutral,0.9289
youtube_comment,"🚀 Work with us - https://aifoundations.io/apply
✨ Join Ai Foundations - https://aifoundations.io",neutral,0.8155
youtube_comment,Claude Artifacts looks very cool but don't have it on my iphone version of Claude. Not one single template,neutral,0.9365
youtube_comment,"u did amaaaazing .. the best claude course on the wen ,,, thank you soooo much",positive,0.5206
youtube_comment,"31:15 Somehow there's no ""inspiration"" in my Artifacts",neutral,0.9064
youtube_comment,"Love this thanks! Quick question, how did you get claude to come up with suggestion before delivery the answers, as in, checking which box you want etc",neutral,0.931
youtube_comment,"I don't often comment on videos, but this is super valuable dude. thank you!",neutral,0.7963
youtube_comment,fireeeee,neutral,0.9014
youtube_comment,"Phew, almost there, last 30 minutes to go. It does get pretty intense for me in the code section so Im learning it slowly. Very well explained though with easy to follow examples.",neutral,0.8801
youtube_comment,"Excellent tutorial, great that you walked through each step.  Thank you 🙂",positive,0.8137
youtube_comment,"Thank you so much, you explained everything so well!",positive,0.6375
youtube_comment,"Hi, Ill be starting on this tutorial early next week. I don't code so my question is, will I still be able understand the coding section of this tutorial?",neutral,0.9079
youtube_comment,"If you regularly run Claude Code in several project directories, Zucchini Chat makes it easy to move between those sessions from your phone. It also works across multiple Macs. Happy and Omnara offer more developer-oriented alternatives.",neutral,0.9302
youtube_comment,"I know nothing of AI, after this presentation it has sparked a keen interest, i will be watching it again as i wasn't following much in the 2nd half, very very well presented and very impressive",positive,0.6651
youtube_comment,Great work!!! Love that you were guiding us side by side.,positive,0.7467
youtube_comment,Very well done with this nice and simple tutorial…,neutral,0.7582
youtube_comment,Thank you so mucch for creating this video.. it was really helpful. Thank youu!!,positive,0.547
youtube_comment,very will managed all the parts that need to be understood for starting Claude! 4.5 starts!,neutral,0.9218
youtube_comment,Do you need to upgrade to the highest plan to have access to Claude Code?,neutral,0.8513
youtube_comment,"Great video thanks! One question regarding the artifacts, when I’m clicking on it I only get the option of adding an artifact, but I am not able to see the inspiration library you were showing at minute 30 ish. Could you please tell me why that is?",neutral,0.9175
youtube_comment,"I really appreciate the effort you have put into this video, pretty detailed and clear to someone who is a beginner!

Thanks man for the time and effort!",positive,0.5649
youtube_comment,"📌 Access FULL Claude Automation Course: https://www.skool.com/ai-foundations/about
💎 Free AI Operating System Template: https://go.aifoundations.io/free-aios",neutral,0.9448
youtube_comment,Thats Impressive.....i have learnt alot and iam ready to utilize them into my business.,neutral,0.5418
youtube_comment,"Great Tutorial, thanks for that.",neutral,0.684
youtube_comment,bull sht!!!,neutral,0.7429
youtube_comment,"Brother, thank you 🙏🏾 🔥",neutral,0.7606
youtube_comment,"Drake, Thank you so much for this Tutorial. It is the most complete and clear introduction to Claude I have ever seen. Thank you for sharing this knowledge with us",neutral,0.5912
youtube_comment,I feel like at this point you need to remake this video every 2 months to keep the information relevant things are moving so fast.,neutral,0.9083
youtube_comment,"Drake, thanks for this video. You are an excellent teacher and making the Video free is amazing. Wishing you lots of success ",positive,0.5494
youtube_comment,"Hello, great video. Could you add Turkish to the dubbing options?   Turkish and Arabic are different languages. :)",neutral,0.9413
youtube_comment,WHERES THE LINK TO THE os?,neutral,0.9281
youtube_comment,Thank you Drake! As someone who is very bad with technology you made it very clear and easy to understand,neutral,0.779
youtube_comment,Thank you Derek <3,neutral,0.5556
youtube_comment,i mark this video,neutral,0.9286
youtube_comment,Very clear and practical lesson.. loved it,neutral,0.7229
youtube_comment,Quite usefull,neutral,0.7355
youtube_comment,"Man, that's rly good",neutral,0.8487
youtube_comment,love the corner vibe,neutral,0.9042
youtube_comment,"This training is delivered in a simplest, direct and easy to follow. Thank you!",neutral,0.7683
youtube_comment,Appreciate you budyy,neutral,0.7019
youtube_comment,I truly enjoyed this,neutral,0.5982
youtube_comment,Hey Brad. I got into web development 8 years ago by learning from your videos. Here we are again my friend. Thanks for all you do.,neutral,0.8273
youtube_comment,hey man! how the autocomplete work in your command cli? I would love this functionality to have in my system.,neutral,0.8812
youtube_comment,my idol in coding. teaching AI.. thank you very much,neutral,0.7671
youtube_comment,This one is very needed nowadays as Claude code rises. Thanks Brad,neutral,0.7201
youtube_comment,H Brad. Old guy here.  I'm coding for fun. I'm heading over to take your Claude course. I'm interested in learning from someone like you who has been around the block a few times. Hope all is well.,neutral,0.8345
youtube_comment,"great crash course, and as you said AI is here to stay. you either navigate with it ir sink like a rock",neutral,0.927
youtube_comment,"after watching ""some of the best"" on any topic, its only until i come to your's that i understand it
No sweet-talking, you are really talented at knowing what people actually want to learn and finding a way to make it simple to pass that knowledge

Just had to post this cos after watching several claude videos - here i am again only understanding it from Traversy's",neutral,0.8749
youtube_comment,youtube.com//Ma7jnNgX4BI,neutral,0.9337
youtube_comment,I would like to this note that point of view is very interesting to me,neutral,0.84
