source,text
news,Alappuzha man dies by suicide in Bengaluru lodge days after pregnant wife's death
news,UK Sanctions Strike Russian Cyber Networks
news,"Postal assistant’s murder: Couple had marital discord for long time, says family"
news,Internal Strife Threatens Congress's Position in Punjab Ahead of Assembly Polls
news,"My AI coding workflow runs entirely through Discord, and it's faster than using an editor"
news,Pinarayi Vijayan flays Amit Shah's remarks on demographic changes in border states
news,Did Charlie Kirk’s killer Tyler Robinson express 'remorse’ after killing him? Here’s what his romantic partner told prosecutors and investigators
news,Cuban Leadership Denies Internal Divisions Amid U.S. Negotiation Speculation
news,"YSRCP using social media influencers to foment caste and religious discord, alleges JSP"
news,"Court hears roommate's account, Discord messages in Charlie Kirk killing case"
youtube_video,Discord App Ka Yeh RAAZ Aapko Shock Kardega 🙊 (DISCORD ऐप रहस्य) #shorts
youtube_video,How to Create Discord Account | How to make discord Account 2025
youtube_video,EAGLE GAMING DISCORD TROLL REACTION 😂🔥
youtube_video,Discord Tutorial In Bengali : Everything You Need to Know
youtube_video,RANKING THE BEST DISCORD SERVERS  #discord #discordserver #shorts
youtube_video,Discord Kaise Use Kare 🔥 || How To Use Discord In Free Fire 2026 // Discord Free Fire 😎
youtube_video,types of people who use discord
youtube_video,I LOST MY DISCORD SERVER 💔
youtube_video,"The Living Tombstone, Ft. Eurobeat Brony-Discord (Lyrics Video)"
youtube_video,How to Use Discord - Complete Tutorial
youtube_comment,Kya aap use kartey ho DISCORD ?
youtube_comment,Potato phones can turn high-end? It's all thanks to Coffeego cloud gaming. #BudgetPhoneSavior #CloudGaming #AAAGames
youtube_comment,Wtf was the last pic
youtube_comment,Sir need dc premium
youtube_comment,fax
youtube_comment,It's not scary it's for safety😂
youtube_comment,Please stop this type of online game for the sake of teenagers
youtube_comment,the most stupid guy i've ever seen
youtube_comment,bhai ka shakkal dekh ke me khof me aagaya hahahahhahhahhahahha
youtube_comment,Bhai chillao mat😂
youtube_comment,Bhai tu darane ke alava kuch nahi karta kya raat ki 9 baj rahi hai
youtube_comment,"Bruh -_-, usko server insights bolte hay, taki mods and admins dekh paye ki kya kaand hua tha jab wo online nii the aur kisine kuch galat likh kr delete kr dia ho toh -_+, yeh mods and admins ki bohot help krta hay bhadwe uncle"
youtube_comment,Tum scammer Ho
youtube_comment,"Me toh karta tha , aur abhi bhi karunga 🙂"
youtube_comment,Oo motu 😂
youtube_comment,Are sala discord ko bhi horror banaa Diya
youtube_comment,See you teeth
youtube_comment,Bro is making everything Horoor
youtube_comment,Kutte ham log ko daravani baten batana band kar de
youtube_comment,Toh aaj me apko btauga is permanent 😂😂😂
youtube_comment,To watch the 2nd video on how to create a Discord Account. (Click on the small title above the main title below).
youtube_comment,Good
youtube_comment,I just don't know where to get the password
youtube_comment,Its always saying sorry we can't make an account for you right now
youtube_comment,Brother I don't have sim
youtube_comment,Ummm i dont have any of that but still how can i do it?
