source,text,sentiment,confidence
news,Alappuzha man dies by suicide in Bengaluru lodge days after pregnant wife's death,neutral,0.6172
news,UK Sanctions Strike Russian Cyber Networks,negative,0.9206
news,"Postal assistant’s murder: Couple had marital discord for long time, says family",negative,0.8566
news,Internal Strife Threatens Congress's Position in Punjab Ahead of Assembly Polls,negative,0.9345
news,"My AI coding workflow runs entirely through Discord, and it's faster than using an editor",neutral,0.8978
news,Pinarayi Vijayan flays Amit Shah's remarks on demographic changes in border states,neutral,0.8119
news,Did Charlie Kirk’s killer Tyler Robinson express 'remorse’ after killing him? Here’s what his romantic partner told prosecutors and investigators,neutral,0.8705
news,Cuban Leadership Denies Internal Divisions Amid U.S. Negotiation Speculation,negative,0.771
news,"YSRCP using social media influencers to foment caste and religious discord, alleges JSP",negative,0.8284
news,"Court hears roommate's account, Discord messages in Charlie Kirk killing case",neutral,0.5223
youtube_video,Discord App Ka Yeh RAAZ Aapko Shock Kardega 🙊 (DISCORD ऐप रहस्य) #shorts,neutral,0.9154
youtube_video,How to Create Discord Account | How to make discord Account 2025,neutral,0.9455
youtube_video,EAGLE GAMING DISCORD TROLL REACTION 😂🔥,neutral,0.5596
youtube_video,Discord Tutorial In Bengali : Everything You Need to Know,neutral,0.924
youtube_video,RANKING THE BEST DISCORD SERVERS  #discord #discordserver #shorts,neutral,0.8972
youtube_video,Discord Kaise Use Kare 🔥 || How To Use Discord In Free Fire 2026 // Discord Free Fire 😎,neutral,0.9391
youtube_video,types of people who use discord,neutral,0.7617
youtube_video,I LOST MY DISCORD SERVER 💔,negative,0.6235
youtube_video,"The Living Tombstone, Ft. Eurobeat Brony-Discord (Lyrics Video)",neutral,0.9205
youtube_video,How to Use Discord - Complete Tutorial,neutral,0.9242
youtube_comment,Kya aap use kartey ho DISCORD ?,neutral,0.6849
youtube_comment,Potato phones can turn high-end? It's all thanks to Coffeego cloud gaming. #BudgetPhoneSavior #CloudGaming #AAAGames,neutral,0.9002
youtube_comment,Wtf was the last pic,neutral,0.7722
youtube_comment,Sir need dc premium,neutral,0.8685
youtube_comment,fax,neutral,0.9023
youtube_comment,It's not scary it's for safety😂,neutral,0.895
youtube_comment,Please stop this type of online game for the sake of teenagers,neutral,0.7684
youtube_comment,the most stupid guy i've ever seen,neutral,0.5699
youtube_comment,bhai ka shakkal dekh ke me khof me aagaya hahahahhahhahhahahha,neutral,0.8818
youtube_comment,Bhai chillao mat😂,neutral,0.9116
youtube_comment,Bhai tu darane ke alava kuch nahi karta kya raat ki 9 baj rahi hai,neutral,0.9044
youtube_comment,"Bruh -_-, usko server insights bolte hay, taki mods and admins dekh paye ki kya kaand hua tha jab wo online nii the aur kisine kuch galat likh kr delete kr dia ho toh -_+, yeh mods and admins ki bohot help krta hay bhadwe uncle",neutral,0.8669
youtube_comment,Tum scammer Ho,neutral,0.8529
youtube_comment,"Me toh karta tha , aur abhi bhi karunga 🙂",neutral,0.9181
youtube_comment,Oo motu 😂,neutral,0.9193
youtube_comment,Are sala discord ko bhi horror banaa Diya,neutral,0.9062
youtube_comment,See you teeth,neutral,0.9066
youtube_comment,Bro is making everything Horoor,neutral,0.8898
youtube_comment,Kutte ham log ko daravani baten batana band kar de,neutral,0.9213
youtube_comment,Toh aaj me apko btauga is permanent 😂😂😂,neutral,0.8892
youtube_comment,To watch the 2nd video on how to create a Discord Account. (Click on the small title above the main title below).,neutral,0.9448
youtube_comment,Good,neutral,0.8234
youtube_comment,I just don't know where to get the password,neutral,0.8105
