source,text
news,"‘Stop AI Race’: Workers, students protest at OpenAI, Anthropic, Google’s US offices as layoffs surge"
news,"Over 200 protesters march to OpenAI, Google DeepMind offices demanding AI regulation and pause in AI race"
news,The AI-Generated Taylor Swift Wedding Photos Are Getting Debunked Really Quickly
news,Ex-OpenAI Employee Says These Career Skills Matter Most in the AI Era
news,Why Google fell behind in the AI race
news,Nomagic AI lab led by former Google DeepMind researcher claims success with 'AI brain' for robots
news,Google DeepMind director Cao Liangliang makes a boomerang return to Hong Kong
news,Google DeepMind's design leader used Claude Fable 5 to port Command and Conquer: Generals Zero Hour to iPhone and Mac
news,We can debate the ethics of AI but can’t seem to change course
news,Google DeepMind Unionization Talks Are Off to a Rocky Start
youtube_video,Understanding the inner thoughts of AI
youtube_video,Google DeepMind robotics lab tour with Hannah Fry
youtube_video,The Thinking Game | Full documentary | Tribeca Film Festival official selection
youtube_video,Google I/O 2024 Keynote: Google DeepMind
youtube_video,Reimagining the mouse pointer with AI
youtube_video,I contributed to Google Deepmind for GSoC 2025 (1 hour tutorial)
youtube_video,Google&#39;s Deep Mind Explained! - Self Learning A.I.
youtube_video,The future of intelligence | Demis Hassabis (Co-founder and CEO of DeepMind)
youtube_video,The Thinking Game | Documentary trailer
youtube_comment,"No mentions of the Jacobian space (J-Space) , no reference to the J-Lens. 
Maybe Hannah needs to talk with Yash Thakker instead of this Neel Nanda who just repeats what he learned 3 years ago.
LLMs are less and less ""black boxes"" and we understand how the information correlation generates inference."
youtube_comment,"Jeez, is this child really one of the best working in this space?"
youtube_comment,Fascinating that you can tell if the user has malicious intent but you cannot tell if the model is being deceptive. That sounds like two sides of the same coin.
youtube_comment,The inner what now?
youtube_comment,don't hack my computer
youtube_comment,Good video
youtube_comment,"i NEVER push finance books on people, they all make you feel broke and dumb at once. this ones different. Smart Broke Dumb Rich by Zor Veyl actually doesnt talk down to you. read it and it just clicks that most of us got handed survival advice, did everything right, then got blamed when it didnt turn into freedom. been stuck on that for days."
youtube_comment,They hacked my computer to mess with me! Someone please call the police and have these Google guys arrested! someone call polices
youtube_comment,"Leading AI company says AI is safe, you can stop worrying guys."
youtube_comment,Can someone please give nerds a trimmer....geez....even I have learnt to groom myself....
youtube_comment,"i like the concept of j-space, Jacobian lens (J-lens)"
youtube_comment,"Would like to peer inside the mind of Gemini 3.5 Pro -- one of these days, eventually, when you finally get around to releasing it."
youtube_comment,"I recently got into interpretability research and came across this video. I really enjoyed Neal’s point about (paraphrasing) ""we don’t need to know the inner workings of our brains to use their intelligence, but we should still try to understand it, with interpretability being one way to shine a light on the black box""."
youtube_comment,"What's interesting about mech-interp is that it's very difficult to abstract away your priors when having the discussion of machine intelligence. If you're religious or a dualist, it's just about impossible to accept that these models are intelligent. While the atheists / non dualists (like myself) feel overly vindicated by the existence proof of physicalism / connectionism, which spirals into mania and self-aggrandizement."
youtube_comment,I was anxiously waiting to hear about the use cases of interpretability in Physical AI… it fell short of my expectations 😢
youtube_comment,"""Civilian misuse."" Ha. Haha. Bwahahahaha. He said that without the slightest trace of irony in his voice. <smh>"
youtube_comment,few  real answers. Few why questions. Very classic materialist philosophy. Little concrete method detail.
youtube_comment,"It's so foolish to call these next-token generators aware of anything. As for AGI that we are getting close to in the next 5-years every time someone mentions it, give me a break please."
youtube_comment,"Fabricated, pseudo-scientific, hyperliberal advertising nonsense."
youtube_comment,where is gemini 3.5 pro
youtube_comment,This is all pretty lame. I don’t quite understand what they are trying to achieve.
youtube_comment,Did Hannah sell out to US big tech?
youtube_comment,She finds it fascinating; I find it disturbing.
youtube_comment,AI is the future but it should be really controlled by Human beings
youtube_comment,"After seeing this, I do not want to be driven in a robot taxi. This is the opposite of advanced."
youtube_comment,"So in future you go see a doctor and their most frequent advice will be to do some physical movement. Or putting it bluntly: get off your butt and stop asking robot to do all of your physical work.


I can’t see any disruptive application except as people fall below poverty line these robots will be needed to control them. Or fight wars and country with most lethal and advanced robots winning wars taking territories."
youtube_comment,8:30 even deepmind has rails used against it
youtube_comment,How is it different from RT2 ? An LLM + An VLA...like no breakthrough....What would be useful is breaking the language barrier with the help of JEPA architecture
youtube_comment,"Very impressive. I love this idea of showing the actions so the robot can learn. In Lunar Pit novel, the AI Louise learns by observing the nervous impulses directly from a chip inside the protagonist's brain."
youtube_comment,3:10 get to London and you open the case to load of jellied eels and umbrellas.
youtube_comment,Bravo! Amazing work! Kudos to the Google DeepMind Team!
youtube_comment,Sorry not impressed.  Vision good at recognising stuff has been around couple of years.  Robotic motion is a small step after: put what it's recognised into something else it's recognised. Feel these guys should be a lot further.
youtube_comment,Try tried real hard to get their residencies didn't they! Employment and all their attempts are lost!
youtube_comment,🔥🔥🔥
youtube_comment,Developing things that the human race really don't need ! ............... Apart from those who will become mega rich by selling it.
youtube_comment,"whenever I watch these robot videos, I wait in vain to see a robot do something useful that you would actually need a robot to do and couldn't do yourself or with a specialized robot that was just a box with a tool sticking out of it."
youtube_comment,"imagine if money didnt run the world and all of these huge companies worked together, wooohf."
youtube_comment,All very fine until there is some mechanical issue.Can they be trained to repair themselves or will they have to visit a robot
youtube_comment,some Toddlers don't get that much attention as the sandwich packing machine 😆
youtube_comment,"Those competitions between computers and humans are very unfair. Unlike a human, an AI program has practically unlimited energy and hardware. It's like comparing 1 human vs 100'000 humans and concluding  that the latter group is smarter."
youtube_comment,"don't hack again, someone calls police to arrest them"
youtube_comment,"Humanity is still alive beacuse of people like demis and john jumper.
I,m sanket umarane of age 18 right now
You will probably know me in upcoming future as a AI  entrepreneur."
youtube_comment,Anyone in 2026
youtube_comment,"Team with huge heart
Outstanding achievement
Refreshingly shared"
youtube_comment,Wonderful documentary with inspiring people. Thanks to Demis Hassabis et al.
youtube_comment,A.i slop
youtube_comment,İlham verici
