source,text,sentiment,confidence
news,"‘Stop AI Race’: Workers, students protest at OpenAI, Anthropic, Google’s US offices as layoffs surge",negative,0.95
news,"Over 200 protesters march to OpenAI, Google DeepMind offices demanding AI regulation and pause in AI race",negative,0.6942
news,The AI-Generated Taylor Swift Wedding Photos Are Getting Debunked Really Quickly,neutral,0.5574
news,Ex-OpenAI Employee Says These Career Skills Matter Most in the AI Era,neutral,0.9097
news,Why Google fell behind in the AI race,neutral,0.5189
news,Nomagic AI lab led by former Google DeepMind researcher claims success with 'AI brain' for robots,positive,0.8939
news,Google DeepMind director Cao Liangliang makes a boomerang return to Hong Kong,neutral,0.8727
news,Google DeepMind's design leader used Claude Fable 5 to port Command and Conquer: Generals Zero Hour to iPhone and Mac,neutral,0.8679
news,We can debate the ethics of AI but can’t seem to change course,neutral,0.9257
news,Google DeepMind Unionization Talks Are Off to a Rocky Start,negative,0.8921
youtube_video,Understanding the inner thoughts of AI,neutral,0.9007
youtube_video,Google DeepMind robotics lab tour with Hannah Fry,neutral,0.9052
youtube_video,The Thinking Game | Full documentary | Tribeca Film Festival official selection,neutral,0.9356
youtube_video,Google I/O 2024 Keynote: Google DeepMind,neutral,0.9411
youtube_video,Reimagining the mouse pointer with AI,neutral,0.9246
youtube_video,I contributed to Google Deepmind for GSoC 2025 (1 hour tutorial),neutral,0.9354
youtube_video,Google&#39;s Deep Mind Explained! - Self Learning A.I.,neutral,0.9033
youtube_video,The future of intelligence | Demis Hassabis (Co-founder and CEO of DeepMind),neutral,0.9268
youtube_video,The Thinking Game | Documentary trailer,neutral,0.9311
youtube_comment,"No mentions of the Jacobian space (J-Space) , no reference to the J-Lens. 
Maybe Hannah needs to talk with Yash Thakker instead of this Neel Nanda who just repeats what he learned 3 years ago.
LLMs are less and less ""black boxes"" and we understand how the information correlation generates inference.",neutral,0.7867
youtube_comment,"Jeez, is this child really one of the best working in this space?",neutral,0.904
youtube_comment,Fascinating that you can tell if the user has malicious intent but you cannot tell if the model is being deceptive. That sounds like two sides of the same coin.,neutral,0.8051
youtube_comment,The inner what now?,neutral,0.75
youtube_comment,don't hack my computer,neutral,0.833
youtube_comment,Good video,positive,0.6433
youtube_comment,"i NEVER push finance books on people, they all make you feel broke and dumb at once. this ones different. Smart Broke Dumb Rich by Zor Veyl actually doesnt talk down to you. read it and it just clicks that most of us got handed survival advice, did everything right, then got blamed when it didnt turn into freedom. been stuck on that for days.",neutral,0.5687
youtube_comment,They hacked my computer to mess with me! Someone please call the police and have these Google guys arrested! someone call polices,negative,0.7389
