source,text,sentiment,confidence
news,From the Lab to the Road: How Training Science Arrives in Brazil with the HUAWEI WATCH GT Runner 2,neutral,0.8902
news,Huawei linked to large-scale DRAM manufacturing project in China,positive,0.6403
news,Huawei Aims To Reduce The DRAM Supply Shortage With An Approach Only The Brave And The Bold Can Execute; Building Its Own Fabrication Plant,positive,0.5409
news,'Much better than AirPods' Huawei earbuds drop below £20,negative,0.7933
news,Huawei Cloud Named a Leader in the 2026 Gartner® Magic Quadrant™ for Cloud AI Infrastructure,positive,0.7232
news,Huawei Ascend and DeepSeek signal China is winning the AI cold war,positive,0.7448
news,Where to Buy Huawei Phones,neutral,0.9366
news,"House AI Chip, Reuters Reports – NaturalNews.com",neutral,0.9343
news,HUAWEI earbuds with 'sound quality as good as AirPods' reduced from £60 to £30,negative,0.9502
news,Huawei's new smartphone chip promises more power with smarter design,positive,0.7765
youtube_video,New Tech From HUAWEI is INSANE!,neutral,0.4863
youtube_video,Huawei Mate XT Hands On! 🔥,neutral,0.9042
youtube_video,"Huawei’s Global Collapse? German Stores Empty, Angry Users Call Phones Trash",negative,0.9303
youtube_video,Huawei Pura 80 ultra ZOOM Test,neutral,0.8683
youtube_video,Unboxing Huawei Pura X: Elegance Meets Innovation #huawei #shorts,neutral,0.8673
youtube_video,The Tri Folding HUAWEI phones is crazy! @TechnicalGuruji,neutral,0.7517
youtube_video,Huawei HarmonyOS NEXT: The Air Grabbing Feature You’ll LOVE! 🙌,neutral,0.8637
youtube_video,Huawei Mate XTs Tri-Fold Ultimate Design 5G Smartphone,neutral,0.8533
youtube_video,vivo x300 Pro vs HUAWEI Pura 80 Ultra: ZOOM Comparison,neutral,0.8312
youtube_video,Huawei Mate XT Ultimate Design / Huawei Triple fold phone #innovation,neutral,0.8684
youtube_comment,The innovation of Huawei is so high-quality ❤❤❤❤❤❤,neutral,0.7759
youtube_comment,"Dangerous, they can steal your information",neutral,0.5207
youtube_comment,遥遥领先,neutral,0.8936
youtube_comment,"Who needs this shit, seriously WHO?",neutral,0.8485
youtube_comment,What's Huawei are these?,neutral,0.9072
youtube_comment,Why would you want to do that?🧐,neutral,0.9237
youtube_comment,में whats app कर दूंगा भाई,neutral,0.9115
youtube_comment,Cool,neutral,0.8592
youtube_comment,Which Huawei model is this,neutral,0.9413
youtube_comment,No it’s not cool cuz the camera us able to see u even without any camera app open so kinda creepy cuz how else will it detect it unless u have a watch paired with both which isn’t possible cuz he’s in the showroom,neutral,0.9079
youtube_comment,"IM waiting for the ability to grab ""money remotely"" and have it magically appear on my phone.",neutral,0.9271
youtube_comment,Chinese have created tech which was not required 😂,neutral,0.9144
youtube_comment,Huawei voice screen  lock andrada mobil👍🏾♥️,neutral,0.9494
youtube_comment,Wowww... Iphone lost 😂,negative,0.7992
youtube_comment,Wonderful...,neutral,0.4998
youtube_comment,I can't believe my eyes is this real 😮,neutral,0.8542
youtube_comment,Lol,neutral,0.9261
youtube_comment,But Huawei to Huawei only have this future not transfer other device 😅😂😅😂,neutral,0.9405
youtube_comment,@samsung we need this,neutral,0.8766
youtube_comment,"We need huawei in America. It’s inspiration. No if Steve Jobs did it with bill Gates, it’s friend competition. #justicefortheinnocent",neutral,0.898
youtube_comment,Phoblet,neutral,0.9413
youtube_comment,"Galaxy z fold 7 with Snapdragon 8 elite and 120hz is better gaming than huawei mate xt with kirin 9010 lagging, screen damaged",positive,0.908
youtube_comment,折痕迹真恶心,neutral,0.9034
youtube_comment,How much?,neutral,0.8759
youtube_comment,How much is that 😮,neutral,0.9076
youtube_comment,"Hi, did already purchase this phone last week ago what happen is I did make a payment under the visa but the payment from my bank go through, but the company auto reply said that the payment was declined. I searched everywhere trying to do keep track but I lost the information but I did call the bank but the bank asked me to go to the Browns and check or to the company advertisement. Until now I cannot detect keep track. What is your guys advice What must I do?",neutral,0.7329
