source,text
news,One in four social media posts is AI-speak
news,"Google vs Microsoft as a workplace: Techie says one ‘gave me polish,’ other ‘gave me depth’ in viral LinkedIn post"
news,The Trade Desk Taps Ex-Google and LinkedIn Ad Exec Penry Price for Board Appointment
news,‘Not because of my resume’: Job seeker says PIN code led to instant remote job rejections
news,LinkedIn Said It Would Fight AI Slop The Announcement Was AI-Generated
news,"Stop Chasing Milestones, Start Building Habits: Ankur Warikoo’s Success Lesson"
news,Laid Off? LinkedIn Might Be Your Smartest Career Move
news,‘Failure Is Not the Opposite of Success’: Prashant Kirad’s Take on How Students Should See Failure
news,A Yale professor says America is now an 'oldigarchy'-and Boomers on LinkedIn are enraged
news,A Study Tried to Quantify How Many LinkedIn Posts Are 100% AI. It’s a Lot
youtube_video,"Your Resume Isn’t Enough Anymore | What Recruiters Want | Archana Sekhar, LinkedIn VP | Gobinath"
youtube_video,How to Grow on Linkedin? Crazy Linkedin Hack | Raj Shamani #Shorts
youtube_video,How to use LinkedIn as a Student✅| #lmtshorts #shorts
youtube_video,How to create a Great LinkedIn Profile in 2024 | for College Students
youtube_video,How to use LinkedIn | What &amp; Why is LinkedIn | LinkedIn Tutorial for beginners | In Tamil |
youtube_video,How to Use Linkedin Full Guide in Hindi - LinkedIn पर अकाउंट कैसे बनाये? | Linkedin in Hindi
youtube_video,How to make an Impressive LinkedIn Profile?
youtube_video,Why Smart Students Start LinkedIn Early (and You Should Too)
youtube_video,How To Create A Strong LinkedIn Profile for College Students &amp; Freshers in 2026 | Harsh Sir
youtube_video,Linkedin par account kaise banaye | how to create linkedin account
youtube_comment,"Thank you for watching ! ❤️

If you’d like to catch episode updates, behind-the-scenes moments, and more conversations like this, follow The Gobinath Podcast on our official platforms.

Instagram:
https://www.instagram.com/the_gobinath_podcast?igsh=MW50aDZqcWlhMGU5Mw%3D%3D&utm_source=qr

LinkedIn:
https://www.linkedin.com/company/the-gobinath-podcast

WhatsApp Channel:
https://whatsapp.com/channel/0029Vb5gNn82Jl8DSfwhUM3G

Facebook:
https://www.facebook.com/gobinath04

Looking forward to connecting with you there ! 😊"
youtube_comment,The production quality is well made It deserves more views.
youtube_comment,Great and informative video! Please continue interviewing experts and professionals from the technology industry. Looking forward to more insightful conversations.
youtube_comment,"ஒரு வருட பிரிமியம் பேக்கேஸ் ல் ஒரு போன் கூட வரல சார்.....18,000 சோலி முடுஞ்சுது ,அனைத்து முறைகளிலும் முயற்ச்சி செய்து விட்டேன் இது ஒரு விளம்பர கம்பேனி , இதில் வரும் வேலை வாய்ப்புகளை பார்த்து நேரடியாக கம்பேனியில் உங்கள் Resume ஜை கொடுங்கள் வேலை கிடைக்கும்... வெளிநாட்டு வேலை வேண்டுமானால் கண்சல்டன்சியை தொடர்பு கொள்ளலாம்... 98% போஸ்ட் Internal referal தான்..."
youtube_comment,"Thank you, Gobinath, for conducting interviews like this and bringing forward the most pressing concerns facing today's generation. My perspective is simple: accept each generation as it is, learn from one another, set aside ego, and work together. Balance in life is what matters most. My biggest takeaway is that technical skills are transferable, but when combined with good judgment and other soft skills, they lead to sustainable success. Above all, resilience comes from failing, learning, reflecting, and continuously adapting with an open mind."
youtube_comment,If supply is less and demand is more why the worth is less
youtube_comment,Appreciate Gopinath sir for taking paths less travelled.. awesome knowledge enriching podcasts.. need of the hour..
youtube_comment,I got my last 3 jobs from LinkedIn only
youtube_comment,"Guys , let's create an opportunity to expand our network. Reply this comment with Your linkdin name , city . I  would love to connet with people of Digital marketing , social media marketing or just marketing enthusiastic and Hr's of company who may have position in this profile in future. It would be very kind of you if you actually reply 😊"
youtube_comment,There are so many click baits and links targeting the fresh minds and making them a victim. I have seen lot of people posting as HR with jobs in companies but with no real jobs.. This should be controlled..
youtube_comment,"Good Interview sir , practical take on the current job expectation"
youtube_comment,My LinkedIn is often getting restricted idk how to sort it out. Can anyone suggest me an idea?
youtube_comment,"Great sir, Bring new tamil ceos"
youtube_comment,Why can't our Tamil Nadu government create an application like this?
youtube_comment,"Thank you Gopinath Sir. Very informative interview and insightful. The questions asked were very useful. Great show. Archana madam replies has given a lot of knowledge and understanding of the job market, the skills to have, networking, role of AI and recruitment. Thank you."
youtube_comment,Good discussion on data security
youtube_comment,"Superb interview, very true conversation"
youtube_comment,Worthful question from Gopinath sir.... linkedin should bring him to their research team.
youtube_comment,46:00 IQ + EQ both are important
youtube_comment,Great work sir…! This is the much needed interview for the Tamil students
youtube_comment,This is professional plastfrom and working platform
youtube_comment,"Excellent tips on LinkedIn growth! 🚀 Building a strong personal brand takes consistency, valuable content, and authentic engagement. For creators looking to expand their reach, IPweb can be a useful complementary tool by helping increase genuine audience interactions and providing an additional monetization opportunity while creators stay focused on producing high-quality content. Keep the great insights coming! 👏"
youtube_comment,This tutorial was really clear and helpful. Creators can use IPweb to reach more people who are genuinely looking for this kind of content. It will definitely help grow the channel. Great job!`
youtube_comment,"Great breakdown on video optimization! Creators looking to boost their initial engagement and visibility should definitely look into platforms like IPweb, as it can help bring in real user interaction to give new uploads a solid algorithmic push. Thanks for sharing these strategies!"
