source,text,sentiment,confidence
news,One in four social media posts is AI-speak,negative,0.6268
news,"Google vs Microsoft as a workplace: Techie says one ‘gave me polish,’ other ‘gave me depth’ in viral LinkedIn post",neutral,0.9008
news,The Trade Desk Taps Ex-Google and LinkedIn Ad Exec Penry Price for Board Appointment,neutral,0.9346
news,‘Not because of my resume’: Job seeker says PIN code led to instant remote job rejections,negative,0.9337
news,LinkedIn Said It Would Fight AI Slop The Announcement Was AI-Generated,neutral,0.6854
news,"Stop Chasing Milestones, Start Building Habits: Ankur Warikoo’s Success Lesson",neutral,0.7112
news,Laid Off? LinkedIn Might Be Your Smartest Career Move,neutral,0.8716
news,‘Failure Is Not the Opposite of Success’: Prashant Kirad’s Take on How Students Should See Failure,neutral,0.899
news,A Yale professor says America is now an 'oldigarchy'-and Boomers on LinkedIn are enraged,negative,0.8514
news,A Study Tried to Quantify How Many LinkedIn Posts Are 100% AI. It’s a Lot,neutral,0.9184
youtube_video,"Your Resume Isn’t Enough Anymore | What Recruiters Want | Archana Sekhar, LinkedIn VP | Gobinath",neutral,0.9183
youtube_video,How to Grow on Linkedin? Crazy Linkedin Hack | Raj Shamani #Shorts,neutral,0.9419
youtube_video,How to use LinkedIn as a Student✅| #lmtshorts #shorts,neutral,0.9164
youtube_video,How to create a Great LinkedIn Profile in 2024 | for College Students,neutral,0.726
youtube_video,How to use LinkedIn | What &amp; Why is LinkedIn | LinkedIn Tutorial for beginners | In Tamil |,neutral,0.9379
youtube_video,How to Use Linkedin Full Guide in Hindi - LinkedIn पर अकाउंट कैसे बनाये? | Linkedin in Hindi,neutral,0.9269
youtube_video,How to make an Impressive LinkedIn Profile?,neutral,0.7475
youtube_video,Why Smart Students Start LinkedIn Early (and You Should Too),neutral,0.9082
youtube_video,How To Create A Strong LinkedIn Profile for College Students &amp; Freshers in 2026 | Harsh Sir,positive,0.6931
youtube_video,Linkedin par account kaise banaye | how to create linkedin account,neutral,0.9392
youtube_comment,"Thank you for watching ! ❤️

If you’d like to catch episode updates, behind-the-scenes moments, and more conversations like this, follow The Gobinath Podcast on our official platforms.

Instagram:
https://www.instagram.com/the_gobinath_podcast?igsh=MW50aDZqcWlhMGU5Mw%3D%3D&utm_source=qr

LinkedIn:
https://www.linkedin.com/company/the-gobinath-podcast

WhatsApp Channel:
https://whatsapp.com/channel/0029Vb5gNn82Jl8DSfwhUM3G

Facebook:
https://www.facebook.com/gobinath04

Looking forward to connecting with you there ! 😊",neutral,0.9338
