source,text
news,Microsoft Stock Trails Rivals in 2026. How to Play MSFT Stock Here.
news,"Microsoft or Broadcom: One AI Stock Is a Buy, the Other Isn’t, Says Top Investor"
news,Can Xbox Be Fixed? New Exec Says Fans Need To Feel Rewarded
news,Microsoft's behind-the-scenes Windows 11 speed boost is already rolling out
news,Major Microsoft Edge versions will now ship every two weeks: Microsoft confirms plans to ship new Edge features and changes twice a month
news,Microsoft is now letting Nvidia GPUs run local AI features that were locked to Copilot+ PCs
news,Microsoft President Asks Graduates to Stop Fearing AI and Start Adapting
news,Microsoft's Newest Wearable Isn't A Smartwatch - It's An AI Badge For The Workplace
news,Microsoft lets PC owners ditch Bing
news,"Oh boy, Xbox's chief strategist is floating the idea of in-game ads - but says ""The question is not 'Can we cram ads in everything?'"""
youtube_video,How to Create Microsoft Account in Laptop 2026 | Microsoft Account Kaise Banaye🔥 Microsoft ID Create
youtube_video,Microsoft Word for Beginners - The Complete Course
youtube_video,Microsoft Build 2026 | Satya Nadella Opening Keynote
youtube_video,They Just Hacked Microsoft…
youtube_video,Install Microsoft Office FREE on Windows (Official Method)
youtube_video,Why Microsoft BANNING AI (Truth Exposed)
youtube_video,How to Get Microsoft 365 for FREE
youtube_video,Introducing Surface Laptop Ultra
youtube_video,Watch Microsoft Build 2026 from San Francisco
youtube_video,Highlights from Satya Nadella&#39;s Opening Keynote | Microsoft Build 2026
youtube_comment,*👍 LIKE + 💭 COMMENT = MOTIVATION 😍*
youtube_comment,Thanksss.......😊😊.......😊😊😊😊😊😊😊
youtube_comment,Thank you Bhai mera kaam ho gya 😊
youtube_comment,Thankyou ❤
youtube_comment,thank you bro
youtube_comment,Thank you 😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊 bro
youtube_comment,Ty
youtube_comment,thanks bro I love you
youtube_comment,thumbnail 2min video 3min😅😂
youtube_comment,Thanks 👍🏻👍🏻 brother
youtube_comment,mara prees and hold ata h
youtube_comment,Thanks Dear
youtube_comment,Not working it is asking for accessibility test and press hold button that is not skippable.
youtube_comment,Thank you bhai 🙏☺️
youtube_comment,thanks bahi
youtube_comment,Thank you
youtube_comment,Thank u bhai
youtube_comment,thank you so muchhhhh ❤❤❤❤❤❤❤
youtube_comment,👍🏻
youtube_comment,Thank you sir for this great information you solved my problem
youtube_comment,Hi
youtube_comment,Intro VHS Walt Disney Home Video - Febbraio 2001
youtube_comment,"I refused calendars to control me . Happy new year 🎉 to you all 💕.
I'm Soo happy and humbled sir for this lesson. It has saved my money I need to do Data analysis course and I was advised to do MS office fast and advanced EXEL I hope I will find everything here ...."
youtube_comment,Quite easy to learn as a beginner
youtube_comment,Excellent
youtube_comment,June 2026
youtube_comment,Hey
youtube_comment,"Thank you so much for being so thorough, and understandable!!! Life saver!"
youtube_comment,Thank I so much
youtube_comment,Thanks bro
youtube_comment,Woow  very  much  grateful  thank you  ❤❤❤
youtube_comment,This is genuinely the best tutorial yet
youtube_comment,Thank you teacher I really appreciate your work...
youtube_comment,I love it bro thank you for sharing a good deed to the world
youtube_comment,May 2026. France.
youtube_comment,Thank you so Much for this explanation ❤❤❤
youtube_comment,HI 👋
youtube_comment,"I just full portfolio'd starting today. I need to just sit back, instead of white knuckles it"
youtube_comment,"Behind every empire, there's a story nobody talks about."
youtube_comment,they missed my favorite linux command .... watch
youtube_comment,that was an overwhelming amount of new products. how do consumers even keep up with this.
youtube_comment,Did this hint for Windows 12 ???
youtube_comment,Nutella needs to step up his game
youtube_comment,Fire Nadella!
youtube_comment,Why is outgoing token more than incoming tokens?
youtube_comment,Hello my name is Jeremy and i’m a Microsoft fan or a Windows fan and your surface pro’s and the surface laptops are insanely the best and Xbox i have a surface RT
youtube_comment,"Microsoft started as a nerd company building thing to symplify things to no nerds people, but now it look like more as a band of sellers."
youtube_comment,"No thank you , i do not like the direction Microsoft is going . Nor do i like the ideolody behind the current Microsoft. I wish Microsoft the best but i will not be participating."
youtube_comment,"I don't like that word ""stack""."
youtube_comment,Can Microsoft make something more than putting ai into... Everything?
youtube_comment,I don't mind AI but look at what Apple is doing to make it useful to users.  Windows needs features that people use not gimmicks
youtube_comment,Please fix microslop windows11. It feels vibe coded
youtube_comment,Stil no windows phone 😢
youtube_comment,Now officially name agentic Microslop.
youtube_comment,"If they said 15 and 48 languages

Have they done the regional languages like the UK English

Because US English is always done fast and
UK and AU English are always done second"
youtube_comment,Would you kindly stop shoving AI into everything. I don’t want to have AI features in my computer. I’ve been wanting to build a pc for 3 years now and it’s stuff like this that makes component prices go up. I don’t care much for ai. It’s one thing to have ai willingly and it’s another thing to have it shoved down our throats by incorporating it in its software updates.
youtube_comment,May I raise my hand and ask quick question? Is an approach to perfect secret key an  area of possible creativity for ‘us’?
youtube_comment,It's Linux time
youtube_comment,Someone needs to hack Bill Gates and take all his money and give it to everybody else
youtube_comment,I thought my ms account and laptop got hacked before clicking this video
youtube_comment,is this from some one who didn't get paid a security bug bounty?
youtube_comment,"i use vim btw, no autorunning agent bs can touch my shit"
youtube_comment,"Microslop getting hacked again?


Best ads for Linux"
youtube_comment,Just? The OS that keels over dead infected to hell in less than five minutes on a public IP with install defaults? lol 😂
youtube_comment,inside job
youtube_comment,"imagine if they make """"""malware"""""" that just deletes windows and converts your computer to linux and copies all the files over and what not too"
youtube_comment,"While I only used GitHub to get OBS plugins as a user, not as a developer. It may be smart to set up 2FA, but this is just getting much worse."
youtube_comment,Are you kidding me
youtube_comment,"Gitlab and Linux people, Gitlab and Linux"
youtube_comment,"I miss the old days when someone said ""That hack was so dumb"" you immediately knew what they were referring to. Now my first thought is ""I looked away from the screen, have I missed something?"""
youtube_comment,What!? they found enough uptime on Github to actually break in?!
youtube_comment,"Thank God I'm ok. I saw the title and I got so freaked out, especially when you're a Windows user and especially when you've been asked to verify you're account a few times in the past week for some reason, this video got me so scared."
youtube_comment,Whoops
youtube_comment,Microslops security sucks as they continue to pirate every windows users personal data. Glad I run Linux.
youtube_comment,Didnt they hit linux based repositories with a similar worm last month?
youtube_comment,I've been leery about coding for the past year or so because of this malware in packages looming threat
youtube_comment,"I have been learning about azure for the past year, and my testing season just started so I havent had time to look into anything related to azure for the past month. So thats good :D atleast the school stress is for something XD"
youtube_comment,👉 Full step-by-step Guide: https://techydruid.com/office-free/
youtube_comment,Interesting option thanks for showing this
youtube_comment,After installing Word app again will my OLD documents be saved or it will be deleted. Plz reply🙏
youtube_comment,k;'l';;l][;\
youtube_comment,👍👍
youtube_comment,thank you so much. this was very useful ❤
youtube_comment,"Thank you very much 🙏🏼 
It really works"
youtube_comment,Nice video thanks
youtube_comment,thank you
youtube_comment,"Hy bro pls ofline using 
Online me hamesha internet nhi hota hai pls Offline ka koi Tarika bata Do"
youtube_comment,I followed your video to the T and all went well until I opened to create a word doc and a box came up and said sorry we ran into a error please refresh. I did and also reopened a new doc but still got the same message. Any advice would be great! Thank you!
youtube_comment,It will work only for a few weeks and will ask for subscription
youtube_comment,Thanks a bunch for this video. I really needed it.
youtube_comment,Wtf 😒
youtube_comment,"Useful and helpful, only problem is that it requires and internet connection to function, and I need the offline option. And some options aren't available either, certain tabs in Word just aren't there. Useful, but limited."
youtube_comment,It's not offline I need offline
youtube_comment,Thanks for
youtube_comment,does not work. need organization or work email.
youtube_comment,"Very useful, bro thank you"
youtube_comment,disclaimer :ONLY ONLINE !!!
youtube_comment,"I’m telling you this now… sorry guys 😅 but don’t blindly believe that AI will keep needing more and more tokens forever.

Yes, AI usage may increase, but at the same time AI is also becoming much smarter and more efficient.

In the future, AI may not need to waste huge tokens to complete one task. It will understand what humans want better, plan better, write code faster, and finish work in fewer steps.

Also, with better hardware, better optimization, and cheaper inference, AI prices can become very low.

We are already seeing this with models like DeepSeek and other fast-improving AI models. There is a real possibility that small AI agents running on normal PCs can do the same type of work that today’s top-tier cloud agents are doing.

So I don’t think the future is only about “more tokens = more cost” 🤔

The real future may be smarter AI, cheaper AI, and agents that waste fewer tokens but complete bigger tasks.

So don’t panic when people say AI will become too expensive. Just learn how to use AI properly. The people who learn AI tools, agents, and automation early will be far ahead of others."
youtube_comment,Irreplaceable 🎉
youtube_comment,"వాడొకడు ఉన్నాడు దరిద్రుడు ఎలాన్ మాస్క్ అని వాడు చేసాడు 

ఫస్ట్ వాడికి డబ్బు రావడానికి ఏమైనా చెప్తాడు ఫస్ట్ క్రిప్టో అన్నాడు సాఫ్ట్వేర్ వాళ్ళని ముంచాడు తరువాత ai అన్నాడు వాడిని చూసీ samlatmen చాట్ gpt అన్ని మార్చేస్తుంది అన్నాడు ఆంత్రోపిక్ పోటీ వచ్చేసరికి ఇద్దరికి పెద్ద సమస్య వచ్చింది"
youtube_comment,Irreplaceable
youtube_comment,good news
youtube_comment,🎉
youtube_comment,కాలేజీ లో సీట్స్ కలి అయ్యాయని ఇదో డ్రామానా 😂😂😂
youtube_comment,కాలేజీ లో సేత కలి అయ్యాయని ఇదో డ్రామానా😂😂😂
youtube_comment,"Bro reality i will say, my friends work in Microsoft, they wanted copilot to be in level of claude so instead feeding data to claude they feed it to copilot, make operations easier, they are not removing ai"
youtube_comment,irreplaceable
youtube_comment,Irriplaceble
youtube_comment,Irreparable
youtube_comment,"It's True , Even my client earlier giving unlimited Claude tokens but now they have limited 😅"
youtube_comment,Ai just work efficiently quick ga vuntundi. Perfect ga vundodhu and AI is most dangerous capture data at backend.
youtube_comment,Can we save it??
youtube_comment,It's saying PRODUCT DEACTIVATE so what to do
youtube_comment,Here in NZ I bought Office 2019 (full enterprise version) for $1.   Does everything I need anyway.  Lifetime license.
youtube_comment,Ohh thanks so much...n me i would like to learn how to do affiliate marketing step by step ive trying but cant get it right please.....from SA
youtube_comment,This actually worksss
youtube_comment,1700 sea shanties my guy
youtube_comment,Does it work offline ????
youtube_comment,Not free anymore
youtube_comment,Hahaha still it demanding license key
youtube_comment,Not free. It is trial version for 5 days 😂😂😂
youtube_comment,TYSM IT WORKED❤
youtube_comment,it did not work
youtube_comment,I just tried this. It does absolutely nothing. I don't know how an app would even BE on my laptop to activate in the first place.
youtube_comment,"Nope, I tried this on my Windows Laptop and it does not work."
youtube_comment,It didn't work for me
youtube_comment,It worked until i tried to log back into it and it kept saying 'claim your office 2024 for free' and took me to microsoft which locked the presentation until i paid £250 to use microsoft office 2024...
youtube_comment,"Office 2024 at Microsoft partner Hypestkey, a retail license can be reactivated if you change your PC"
youtube_comment,False
youtube_comment,That’s BS
youtube_comment,Not working
youtube_comment,"The usb c port on the right looks kind of bigger, maybe its got some new functionality."
youtube_comment,"Well, good thing I finally gave up waiting on a successor to the Surface Studio Laptop and bought a Surface Laptop earlier this year. Goddammit.

But who am I kidding, at this rate we'll be globally out of the resources to actually build this, let alone ship it, and the US will have declared war on Europe."
youtube_comment,please make an RGB gamer version of the spark subset of laptops.
youtube_comment,"Hopefully, all the companies that make Windows software are making their software work with the new chip."
youtube_comment,"MacBook Pro M3, M4, M5 made you to wake up. Too late. Next time don't delay innovations and don't hold the technology due to profits.Have faith, technology will find its way to break through the limits, just release it"
youtube_comment,"You can make all the cool videos that you want. Grown people want to know details: performance, flops, temperatures, battery, real things, not cool videos.
You guys were delaying innovation for decades already and decided to do something only after Apple crushed you with their chips.
Why are you leaving Microsoft (including xbox) so behind when you have been advertising quantum technology? It doesn't make sense even if you wan to lecture eme about producing and economies... no thanks"
youtube_comment,Only $2999 sir!
youtube_comment,Can't wait to slap Linux on this.
youtube_comment,"Cosy have Q&A , Is it suitable for animator 2D/3D, play games and stream??

I was thinking of buy this product in the future plus I still study on course Animation and Multimedia. 

🌀👅🌀💻"
youtube_comment,"Meh, I have an ASUS X13 already, whatever."
youtube_comment,WILL IT BE SOLD IN INDIA ?
youtube_comment,CPU (ARM) run games (x86) ?
youtube_comment,"it's inheirt some design of the surface laptop studio, and it's bad design. its create a weird curve that look really ugly."
youtube_comment,lets see where this goes
youtube_comment,insane
youtube_comment,amazing 100
youtube_comment,I am still rocking the Surface Pro 4.
youtube_comment,"Looks very nice. Probably gonna start at at least 4.000 USD, so unattainable."
youtube_comment,Microslop
youtube_comment,Made ts faster than gta 6
youtube_comment,Microsoft has become all things to all people
youtube_comment,thank you microsoft for vscode
youtube_comment,什么时候实装？
youtube_comment,So boring and so bad. Just a clean windows would be good. The worst was the presentation of Tanaya...Couldn't be more meaningless and so forced.
youtube_comment,"no one needs this accept the kids
to play with"
youtube_comment,So who is going to pay for all those tokens used. And what is the price point here.
youtube_comment,"DGX spark is put on Laptop and called RTX spark, not innovation but new form factor."
youtube_comment,"strong claims about water usage, need independent verification to convince me."
