source,text,sentiment,confidence
news,Apple Could Challenge NVIDIA With A Monster M7 Ultra Chip With 1.5TB Of Memory,neutral,0.6545
news,"Meta and xAI Just Strengthened Nvidia's AI Moat, Portfolio Manager Says",positive,0.9575
news,Retail Traders Are Dumping Tesla and Nvidia and Rushing to Take Profits,negative,0.9142
news,"Chip stocks decline: Why Nvidia, AMD, Micron and SK Hynix shares are falling",negative,0.9525
news,"Quantum Tech on Capitol Hill: Nvidia, IBM and More Stocks to Watch",neutral,0.9273
news,AMD FSR Leak: New 8x Frame Gen And Ray Regeneration To Rival DLSS,positive,0.5735
news,AMD Is Following Nvidia’s Playbook. Here’s Why Investors Should Pay Attention.,neutral,0.9266
news,Nvidia’s future challenger? Chinese start-up reveals aggressive AI chip road map,positive,0.9149
news,"ZOTAC RTX 5090 Dies In Cloud Of Smoke After 5 Minutes, But The 16-Pin Connector Was Untouched",negative,0.6471
news,"Korean AI Startup, Furiosa AI, Is Doubling Its Chip Production To 50,000 Units Next Year While Its Upcoming 2nm ""Stork"" Chip Challenges NVIDIA With The ""World's Best Inference""",positive,0.9071
youtube_video,"MICRON, AMD &amp; NVIDIA CRASHED! Here&#39;s What Just Happened",neutral,0.901
youtube_video,"IF YOU HOLD MICRON, AMD &amp; NVIDIA WATCH THIS BEFORE MONDAY! MADNESS AHEAD!",neutral,0.9299
youtube_video,Nvidia’s RTX 60 Series Could Be HUUUUGE 🔥,neutral,0.9462
youtube_video,Rating Nvidia RTX 20-Series GPU by CARTOONS 🤯#pcgaming #gamingsetup #techshorts #viralshorts,neutral,0.9146
youtube_video,NVDA Still King of AI Trade? John Belton Points to Bullish Trends Ahead,neutral,0.6666
youtube_video,COMPUTEX 2026 | NVIDIA Keynote | Extreme Co-Design: Building the AI Factory,neutral,0.8829
youtube_video,Someone Bought $13.4M in Nvidia Puts. They All Expire Before Earnings,neutral,0.844
youtube_video,Samsung Beats NVIDIA? World’s Most Profitable Company? Here’s the Truth | Samsung Q2 2026 Explained,neutral,0.9189
youtube_video,NVIDIA Explained Like You&#39;re 5,neutral,0.9377
youtube_video,NVIDIA Built a GPU in The Size of a FACTORY That Can Wipe Out Entire AI Hardware INDUSTRY!,neutral,0.9067
youtube_comment,We hold through the downturns. Conviction unphased.,neutral,0.7993
youtube_comment,"I think the fall is going to continue.   The Korean market started recovering today but then fell.   SK Hynix is down 8.3%.    

I got in when MU was below 500, but my account has dropped 100k in the past couple weeks.    I also think the memory sector has the strongest fundamentals and prospects, BUT this is not a dip but a huge correction.",negative,0.9646
youtube_comment,"How do you make a deal with Iran? That's like trying to make a deal with the devil himself. This reminds me of the issue of slavery. Fillmore passed it down to pierce. Then Pierce passed it down to Buchanan. Finally, it was Lincoln who dealt with the matter. That took a civil war. The problems with Iran kept being passed on from one president to the next. A full scale war was inevitable. Don't put the blame on Donald Trump. Put the blame on Obama and Biden, because they were the ones who financed Iran with billions of dollars.",neutral,0.8434
youtube_comment,"What things be any better if president Trump back off of Iran? Maybe we should have just let them go ahead and build nuclear weapons. After all, they have no harm intended, right?",neutral,0.8975
youtube_comment,Anyone is obsessive like me micron did a complete 180 20 minutes ago.,neutral,0.666
