source,text
news,"OnePlus is ending its US operations pretty soon, says report"
news,"Official US, Europe shutdown coming this week"
news,"Best AI phones under ₹30,000 in India 2026: Motorola, Samsung, Realme, OnePlus and Vivo compared"
news,OnePlus N6 Review: 5 Things I Like and 3 Things I Don't
news,"OnePlus Pad Go 2, Pad Go Lite prices increased by up to Rs 2,000 due to…"
news,"OnePlus Pad Go 2, Pad Lite prices increased in India amid RAM and storage component shortage"
news,OnePlus Nord 6 gets limited time discount: Details here
news,These Smartphones And Tablets Are Now More Expensive In India Starting Today: Check Full List Here
news,OnePlus' latest phone is facing backlash over misleading claims
news,"Is This Rs 3,299 Pair a Great Deal?"
youtube_video,Oneplus Nord Buds 4⚡️ Best under ₹3000?
youtube_video,OnePlus Nord Buds 4 Unboxing &amp; First Look - Best in Budget?🔥🔥🔥
youtube_video,OnePlus Nord 6 Honest Long Term Review After 3 Months of Usage
youtube_video,Most Wanted Comparison - Redmi Turbo 5 vs OnePlus Nord 6 !
youtube_video,Can Oneplus 16 Save Oneplus? *Top 4 Leaks and Rumours* #shorts
youtube_video,Finally! OxygenOS 16.1 July Update for OnePlus 13 Series! New Fingerprint Animations &amp; More🔥
youtube_video,"Oneplus N6 Review in Telugu || Buy or Skip Under 20,000/- ??"
youtube_video,Introducing OnePlus N6 | Always On. Always Smooth.
youtube_video,The Last True OnePlus Phone Is On Discount!
youtube_video,"OnePlus 16 - 240Hz Display, Snapdragon 8 Gen6 Pro, | Gaming Beast?"
youtube_comment,Sir please make video on laptop under 50k
youtube_comment,I have Nord 3
youtube_comment,Good evening anna 🤍
youtube_comment,Please nanige beku kodtira
youtube_comment,bro Vivo t5 mobile yavaga launch agutte
youtube_comment,1st comment
youtube_comment,Fan of tech in kannada 💛❤️
youtube_comment,Bhai  spinbot ranger hx700 par ek video or review🙏
youtube_comment,HE IS NOT MORE REGULAR TECH YOUTUBER NOW 😔
youtube_comment,OnePlus New neckband luch date 😊
youtube_comment,sir duniya iems pe chli gyi
youtube_comment,"Nord buds 4 ka video , nord buds 4 me dekh raha hun"
youtube_comment,Sir ye buds sale karoge kya
youtube_comment,HSY INSTITUTE ❤
youtube_comment,Bekar hai koi na lena realme budds air 8 lena ⚡⚡⚡⚡
youtube_comment,Vvvvvbhhggfgfcchhghghgggggggyyyyuytttyyyyytffffggggfggggyuyggyiughhh
youtube_comment,🔥🔥🔥 aag aag aag ❤❤❤ dil dil dil
youtube_comment,Latency?
youtube_comment,Rolex Submariner is your watch ⌚🥳
youtube_comment,"Love From India-Gujarat-Jamnagar-Dhrol-Nana Vagudad Village ❤️ 
TGFamily!!! 🔥🔥🔥
LoveYouGauravBhai ❤️❤️❤️"
youtube_comment,मोटोरोला 50 Fusion के लिए कौन सा Type-C इयरफोन  सही है?
