source,text,sentiment,confidence
news,"OnePlus is ending its US operations pretty soon, says report",negative,0.8992
news,"Official US, Europe shutdown coming this week",neutral,0.5688
news,"Best AI phones under ₹30,000 in India 2026: Motorola, Samsung, Realme, OnePlus and Vivo compared",positive,0.6733
news,OnePlus N6 Review: 5 Things I Like and 3 Things I Don't,neutral,0.9031
news,"OnePlus Pad Go 2, Pad Go Lite prices increased by up to Rs 2,000 due to…",positive,0.9515
news,"OnePlus Pad Go 2, Pad Lite prices increased in India amid RAM and storage component shortage",positive,0.9122
news,OnePlus Nord 6 gets limited time discount: Details here,neutral,0.9285
news,These Smartphones And Tablets Are Now More Expensive In India Starting Today: Check Full List Here,neutral,0.9288
news,OnePlus' latest phone is facing backlash over misleading claims,negative,0.9618
news,"Is This Rs 3,299 Pair a Great Deal?",neutral,0.9154
youtube_video,Oneplus Nord Buds 4⚡️ Best under ₹3000?,neutral,0.5489
youtube_video,OnePlus Nord Buds 4 Unboxing &amp; First Look - Best in Budget?🔥🔥🔥,neutral,0.7047
youtube_video,OnePlus Nord 6 Honest Long Term Review After 3 Months of Usage,neutral,0.459
youtube_video,Most Wanted Comparison - Redmi Turbo 5 vs OnePlus Nord 6 !,neutral,0.5817
youtube_video,Can Oneplus 16 Save Oneplus? *Top 4 Leaks and Rumours* #shorts,neutral,0.6517
youtube_video,Finally! OxygenOS 16.1 July Update for OnePlus 13 Series! New Fingerprint Animations &amp; More🔥,neutral,0.9253
youtube_video,"Oneplus N6 Review in Telugu || Buy or Skip Under 20,000/- ??",neutral,0.7288
youtube_video,Introducing OnePlus N6 | Always On. Always Smooth.,neutral,0.8517
youtube_video,The Last True OnePlus Phone Is On Discount!,neutral,0.8563
youtube_video,"OnePlus 16 - 240Hz Display, Snapdragon 8 Gen6 Pro, | Gaming Beast?",neutral,0.9231
youtube_comment,Sir please make video on laptop under 50k,neutral,0.9411
youtube_comment,I have Nord 3,neutral,0.7752
youtube_comment,Good evening anna 🤍,neutral,0.7955
youtube_comment,Please nanige beku kodtira,neutral,0.9385
youtube_comment,bro Vivo t5 mobile yavaga launch agutte,neutral,0.9278
youtube_comment,1st comment,neutral,0.8752
youtube_comment,Fan of tech in kannada 💛❤️,neutral,0.9133
youtube_comment,Bhai  spinbot ranger hx700 par ek video or review🙏,neutral,0.9241
youtube_comment,HE IS NOT MORE REGULAR TECH YOUTUBER NOW 😔,neutral,0.8795
youtube_comment,OnePlus New neckband luch date 😊,neutral,0.8814
youtube_comment,sir duniya iems pe chli gyi,neutral,0.8997
youtube_comment,"Nord buds 4 ka video , nord buds 4 me dekh raha hun",neutral,0.8989
youtube_comment,Sir ye buds sale karoge kya,neutral,0.9067
youtube_comment,HSY INSTITUTE ❤,neutral,0.9311
youtube_comment,Bekar hai koi na lena realme budds air 8 lena ⚡⚡⚡⚡,neutral,0.8933
youtube_comment,Vvvvvbhhggfgfcchhghghgggggggyyyyuytttyyyyytffffggggfggggyuyggyiughhh,neutral,0.86
youtube_comment,🔥🔥🔥 aag aag aag ❤❤❤ dil dil dil,neutral,0.9181
youtube_comment,Latency?,neutral,0.6833
youtube_comment,Rolex Submariner is your watch ⌚🥳,neutral,0.9427
youtube_comment,"Love From India-Gujarat-Jamnagar-Dhrol-Nana Vagudad Village ❤️ 
TGFamily!!! 🔥🔥🔥
LoveYouGauravBhai ❤️❤️❤️",neutral,0.8982
youtube_comment,मोटोरोला 50 Fusion के लिए कौन सा Type-C इयरफोन  सही है?,neutral,0.9042
youtube_comment,Realme buds T500 pro 🎉,neutral,0.9339
youtube_comment,Bhaiya Kay aap cmf phone ki koi update de sakte hoo,neutral,0.9009
youtube_comment,"I am a student and I need to do coding and gaming(GTA V in medium and high Graphics )and streaming also.
PC versus laptop, which is more better? If PC, so suggest me the parts of that PC. And if Mac OS, so then tell me the display and some things. And if laptop, so tell that also.
I live in village so here electricity problem is there and I have one inverter with one battery the medium size one to handle this PC and laptop and Mac OS .
 My friend suggested a laptop   for me  Lenovo ThinkBook 16 Ryzen 7 7735 HS Gen 7

BUDGET 45K TO 50K( MAXIMUM)",neutral,0.9189
youtube_comment,Technical guruji 2:03,neutral,0.8849
youtube_comment,Ye stricker sad udas isi liye hai kyuki oneplus ke single shop close ho gaye hai aur oppo and oneplus merge ho gaya isi liye udas hai 😅😅😅😅😅😅,neutral,0.8825
youtube_comment,https://youtube.com/shorts/4N1pAKOr-qE?si=DMVCAACVt-DONpKt,neutral,0.9327
youtube_comment,Waiting for long term review of Oppo Reno 15,neutral,0.938
youtube_comment,One plus 15s kab Market me  launch ho ga 🎉🎉🎉🎉,neutral,0.9084
youtube_comment,Beautiful ho Aap keep smiling always,neutral,0.8221
youtube_comment,"Hello ma'am
Mujhe OnePlus 13r chahiye
Aap dilawa sakte ho kya 😮",neutral,0.8738
youtube_comment,"Hlw mam can i buy oneplus. 
Because oneplus ke offline stores bnd ho rhe h kal ko koi issue aata hai to kon handle krega?",neutral,0.9146
youtube_comment,Mai 3 mahine se use kar raha hu bgmi genshin impact khelta hu bahut sahi performance de raha hai battery sahi chalti hai,neutral,0.8577
youtube_comment,Watching same mobile OnePlus nord 6 12 256 under 40k just before price hike 😊,neutral,0.4863
youtube_comment,Mera phone Nord 6 aur usme ek  problem ho gayi Hai back cover halka sa full gya hai Tak tak ki sound aata hai 😢😢😢😢,neutral,0.8697
youtube_comment,Hello mam nord 6 me bokeh video kaise karo,neutral,0.8973
youtube_comment,Reno 16 c ke bare me batye,neutral,0.91
youtube_comment,OnePlus 13r,neutral,0.9219
youtube_comment,Angel ..   please suggest a camera phone under 60k,neutral,0.9176
