source,text
news,"China investors being shut out as some AI firms go public, like SpaceX: Sources"
news,"The AI price war is here, piling pressure on OpenAI and Anthropic"
news,Will SpaceX factor last after IPO? Mega listing plan sparks valuation debate amid AI boom
news,OpenAI mulls AI price war with Anthropic. It’s a big risk for tech stocks.
news,Anthropic's Fable 5 worth the price? OpenAI may soon become cheaper
news,Anthropic’s Gross Margin Is the Most Important Number in Tech
news,"Canadian mother sues OpenAI, alleges ChatGPT encouraged daughter to suicide"
news,ChatGPT Pushed Back on LA Fire Suspect’s Vision of Burning City
news,OpenAI Uncovers China-Linked AI Operation
news,"She confided in ChatGPT the night of her suicide. Now, her mother is suing OpenAI."
youtube_video,OpenAI Slashing Prices for AI - OpenAI is Dead
youtube_video,&quot;올트먼 방한 돌연 연기&quot; 네이버 카카오 AI회동 불발 #샘올트먼 #오픈AI #OpenAI #챗GPT (20260612)
youtube_video,"OpenAI’s Sam Altman Talks ChatGPT, AI Agents and Superintelligence — Live at TED2025"
youtube_video,OpenAI Is (Finally) Getting What They Deserve...
youtube_video,Inside OpenAI&#39;s Stargate Megafactory with Sam Altman | The Circuit
youtube_video,Terence Tao on How AI Is Changing Mathematics
youtube_video,The INSANE Truth About OpenAI
youtube_video,&quot;Cancel ChatGPT&quot; Goes Viral After Sam Altman Sells OpenAI Out...
youtube_video,OpenAI Files Confidentially for IPO
youtube_comment,🔳Please Do A Show On (Apple’s) Game-changer Release Of (SIRI-AI)!!!😉👍😂
youtube_comment,"Man i used to watch you when i was 13-14 and learning to program, now i’m 24 and you are literally the same. 
No actually you’re funnier"
youtube_comment,Makes sense when profit is how much you can get from investors. Not how much company makes.
youtube_comment,"Just one question, are AI companies PAYING for the information they used (STOLE) to train their models?"
youtube_comment,I would pay 5 Bucks to REMOVE AI from my Life.....🙄
youtube_comment,Lots of old dumb investors will throw money at it.
youtube_comment,That take on cost is way off. Any coding agentic workflow goes through millions of tokens very fast.
youtube_comment,I think a huge issue is how much better Claude is than the rest
youtube_comment,"Google has so many advantages. Ai Mode on search = freee (at the expense of other people’s websites). Plus if you have workspace they baked it in as an automatic upgrade. I am fingers crossed hoping to see ChatGPT go under. Check out that article SoftBank denied a request for $6B, I’d be interested to hear what you think of that one. Ai is becoming a commodity and soon it will be like shoe laces."
youtube_comment,open source is here to stay
youtube_comment,"The idea was always to pawn this off on the tax payers. Why were Elon, Sam, Mark, Bill all at Mar Lago? Why say the gov. will take a stake? When you understand this is for tax-payers to subsidize it all makes sense. A $trillion valuation is actually low when you know who will bail it out (not users, not billionaires) the working poor."
youtube_comment,"It is consistent at least. First spend billions to grow as fast as possible. Then, when serious competition arrives, get into a price war. OpenAI are trying to dominate the market no matter what and reap the benefits of a near-monopoly. It worked for Microsoft and Amazon. But I strongly suspect OpenAI will run out of money first."
youtube_comment,"Training new models using sycophantic echo-clambering models (AI-generated prompting ~ 'self improving') likely won't improve the new model at all, but most likely make it worse.
So humans (and human supervised agents) are needed in the loop - accounts are useful for tracking conversations and any feedback given likely helps alignment tremendously. 
 Now that China has (nearly?) caught up, the US AI-Industry is bleeding both money AND humans - and the end-goal of AGI is not coming any closer, hence the aggressive self-destruction."
youtube_comment,The are being fucked over by Google and anthropic.
youtube_comment,Thanks for reminding me of VR.  Everyone was going to have VR - just substitute AI for this conversation in 10 years time - Useful for spellchecking and that's about it. Both can make you throw up but for different reasons.
youtube_comment,"Greg Doucette of tech xD - by presentation alone, without advertising supplements kind of stuff."
youtube_comment,An insanely ineffective albeit unreliable word prediction machine won't turn profit anytime soon? Really?? I can't see why.
youtube_comment,I love lamp!! I LOVE LAMP!
youtube_comment,What's that airplane on your shelf.
youtube_comment,AI is so genius. I don't understand why companies like Adobe didn't have the idea 20 years ago to just render and process all their clients' images and videos on massive corporate serverfarms.
youtube_comment,"Im not watching this bc it might cause me angry, i just discovered how his ex employee died, all i see his face nothing but evil, sorry not sorry."
youtube_comment,Singularity is now 😎👊
youtube_comment,the interviewer is not equipped to hold sam to account as much as he intended to. he got bullied into submission by sam on numerous occasions and hid away shamelessly into flattery when things got tense.
youtube_comment,The enemy of humanity
youtube_comment,"R&D 
Always remember 

Best Regards,
Ramez"
youtube_comment,Better Model. It was repeated and said with such aggression that it is innocent in their innoncense. Or sense of something else.
youtube_comment,Still wonders why the pursuit of intelligence beyond human rather than seek for advances in techie to make the world better?
youtube_comment,"Your videos are always so helpful, thank you!"
youtube_comment,I wish the Altman family was out of the picture.
youtube_comment,"Sam Altman wants you to believe that ""autonomous cloud agents"" are the future. But look at what he’s actually selling: a massive dependency trap. Every time his AI agents want to do something, they have to loop through a slow corporate cloud network, ping external APIs, and wait. It’s laggy, it leaks data, and it leaves your business completely vulnerable to server crashes and corporate throttling.
​The Ending: True control doesn't live in someone else's cloud loop. Contact me. I can provide you with the best deterministic system the world has ever seen—running entirely on local, air-gapped hardware with zero cloud latency."
youtube_comment,"Watching Sam Altman talk about AI agents, superintelligence, and the future of humanity makes it clear that AI is no longer just a tech trend — it’s becoming the foundation of the next era of civilization."
youtube_comment,"A chat gpt hay que ponerle la opción de seleccionar varios elementos,la opción de desarchivar historial de chats,papelera de reciclaje,una parte para archivar las imágenes de chatgpt,sobre todo las que se crean allí...."
youtube_comment,"They dragged a dead fish onto dry land, and now it’s trying to pretend it’s a lizard, in the middle of a full-blown panic attack. I’m not even going to look at his bullshit. There’s hardly any sense in it anyway."
youtube_comment,"They pulled a dead fish ashore, and it's trying to pretend that it's on a lizard."
youtube_comment,I look like a ghost
youtube_comment,"If he's not the antichrist, he's definitely high on the chain. This guy is pure evil"
