source,text,sentiment,confidence
news,"China investors being shut out as some AI firms go public, like SpaceX: Sources",negative,0.5944
news,"The AI price war is here, piling pressure on OpenAI and Anthropic",negative,0.8813
news,Will SpaceX factor last after IPO? Mega listing plan sparks valuation debate amid AI boom,negative,0.5613
news,OpenAI mulls AI price war with Anthropic. It’s a big risk for tech stocks.,neutral,0.582
news,Anthropic's Fable 5 worth the price? OpenAI may soon become cheaper,neutral,0.8204
news,Anthropic’s Gross Margin Is the Most Important Number in Tech,neutral,0.8981
news,"Canadian mother sues OpenAI, alleges ChatGPT encouraged daughter to suicide",neutral,0.5136
news,ChatGPT Pushed Back on LA Fire Suspect’s Vision of Burning City,neutral,0.6387
news,OpenAI Uncovers China-Linked AI Operation,neutral,0.9144
news,"She confided in ChatGPT the night of her suicide. Now, her mother is suing OpenAI.",negative,0.4882
youtube_video,OpenAI Slashing Prices for AI - OpenAI is Dead,negative,0.8908
youtube_video,&quot;올트먼 방한 돌연 연기&quot; 네이버 카카오 AI회동 불발 #샘올트먼 #오픈AI #OpenAI #챗GPT (20260612),neutral,0.9194
youtube_video,"OpenAI’s Sam Altman Talks ChatGPT, AI Agents and Superintelligence — Live at TED2025",neutral,0.9386
youtube_video,OpenAI Is (Finally) Getting What They Deserve...,positive,0.6745
youtube_video,Inside OpenAI&#39;s Stargate Megafactory with Sam Altman | The Circuit,neutral,0.8963
youtube_video,Terence Tao on How AI Is Changing Mathematics,neutral,0.8599
youtube_video,The INSANE Truth About OpenAI,neutral,0.8652
youtube_video,&quot;Cancel ChatGPT&quot; Goes Viral After Sam Altman Sells OpenAI Out...,negative,0.77
youtube_video,OpenAI Files Confidentially for IPO,neutral,0.8956
youtube_comment,🔳Please Do A Show On (Apple’s) Game-changer Release Of (SIRI-AI)!!!😉👍😂,neutral,0.9196
youtube_comment,"Man i used to watch you when i was 13-14 and learning to program, now i’m 24 and you are literally the same. 
No actually you’re funnier",neutral,0.8943
youtube_comment,Makes sense when profit is how much you can get from investors. Not how much company makes.,neutral,0.9189
youtube_comment,"Just one question, are AI companies PAYING for the information they used (STOLE) to train their models?",neutral,0.908
youtube_comment,I would pay 5 Bucks to REMOVE AI from my Life.....🙄,neutral,0.8925
youtube_comment,Lots of old dumb investors will throw money at it.,neutral,0.887
youtube_comment,That take on cost is way off. Any coding agentic workflow goes through millions of tokens very fast.,neutral,0.9117
youtube_comment,I think a huge issue is how much better Claude is than the rest,positive,0.6326
youtube_comment,"Google has so many advantages. Ai Mode on search = freee (at the expense of other people’s websites). Plus if you have workspace they baked it in as an automatic upgrade. I am fingers crossed hoping to see ChatGPT go under. Check out that article SoftBank denied a request for $6B, I’d be interested to hear what you think of that one. Ai is becoming a commodity and soon it will be like shoe laces.",neutral,0.8647
youtube_comment,open source is here to stay,neutral,0.9251
