source,text
news,The Road To $380 For Qualcomm Stock
news,"Motorola Edge 70 Max India launch set for July 15 with 7100mAh battery, 90W charging and AI features"
news,Micron or Qualcomm: Bank of America Picks One AI Chip Stock to Buy
news,Samsung wants to put its own chip in your next PC and it's all about speeding up AI chores
news,"AI Catapulted Samsung’s Memory Business To New Heights; Now, It’s Pushing The Development Of A 4nm AI Accelerator SoC For PCs To Take On Qualcomm"
news,"Samsung Going Full Throttle With Exynos SoC Development, As Company Has Three Generations Of Releases Planned To Rid Itself Of Qualcomm"
news,Qualcomm's Edge AI Push Could Fuel the Next Leg Higher for Semiconductor ETFs
news,Qualcomm: A Desperate Shift That Won’t Change The Sentiment (NASDAQ:QCOM)
news,How Qualcomm's CIO is placing big bets on AI to support the chip company's diversification push
news,Qualcomm’s Preferential Treatment Of Samsung Means The Galaxy Z Fold 8 Lineup Will Feature An Upgraded Snapdragon 8 Elite Gen 5 With Better AI Performance
youtube_video,Livestream: Qualcomm Investor Day 2026
youtube_video,Qualcomm CEO Teases Deal with Large Hyperscaler
youtube_video,QUALCOMM VS MEDIATEK Siapa yang menang #qualcomm #mediatek #bisnis #strategi
youtube_video,"Qualcomm CEO: Issue for Handsets Is Memory, Not Demand"
youtube_video,Qualcomm Jumps on $15B Data Center Sales Projection
youtube_video,Qualcomm to Supply Chips to TikTok Owner ByteDance
youtube_video,Qualcomm Hyderabad Commerzone Office #shorts #qualcomm #officetour
youtube_video,Qualcomm shares fall on fourth quarter earnings
youtube_video,Qualcomm pushes deeper into AI with new product roadmap
youtube_video,"Stellantis, Qualcomm Expand Partnership for Vehicle Tech"
youtube_comment,"I believe theres maximum point demands for nvidia kindda gpu, unlike the software giants Apple, Microsoft,  google. Etc. 

Consumers doesn't actually care or love a gpu on their laptops,  its the softwares they have to love to. 

The gpu venue is driven by the softwares, in history,  no hardwares are un-replicatable, its a matter of time some others get even with nvidia"
youtube_comment,"will be 500 before end of year, and new leader in the game, ai will live on the edge, nvidia n qcom are the best"
youtube_comment,Does he Humain in Saudi Arabia? The news was already out on this one.
youtube_comment,Make 1nm chip
youtube_comment,Bluff is carved into gene of this company.
youtube_comment,500 dollar stock
youtube_comment,"It will move from agents to physical AI very soon.. So, this ASIC fluff needs redesigning very soon.."
youtube_comment,Most likely Meta since all other hyper scalers have their own known good AI chips.
youtube_comment,Google it is.
youtube_comment,The problem with companies like Qualcomm is that they don't make anything.  They are totally reliant on a third party with fabs.  If China invades Taiwan their main source is shut down.
youtube_comment,Qualcomm pe is very undervalued
youtube_comment,who else thought it was Andrew Huberman??
youtube_comment,"So the hyperscaler is ONE OF THE BIG 3

And MATERIAL REVENUE FOR QCOM IN FY27 IS MULTIPLE BILLIONS

Bazooka"
youtube_comment,Saya yg dulu exynos terus pindah ke mediatek dan sekarang ke snapdragon harus kuakui snapdragon itu mahal sesuai dgn performanya terutama utk gaming asli snapdragon lebih enak dan stabil serta graphicsnya juga lebih tajam
youtube_comment,"Qualcomm itu sebenarnya bukan jualan chipset melainkan jualan paten. Hampir semua paten Qualcomm yg pegang 
Wireless communication system 51.282 patent 
Semikonduktor dan sirkuitnya 40.842
Jadi ketika ada sebuah perusahaan bikin HP mereka harus nego kepada Qualcomm supaya HP nya bisa jalan dan dijual. Sebagai perbandingan Mediatek punya 40.603 paten dan 16.425 paten"
youtube_comment,"Lagi teknologi 3g,4g,5g itu punya Qualcom, otomatis yang mau make teknologi nya harus bayar lisensi"
youtube_comment,"Hp flagship kebanyakan emng pake si naga sih, hp gaming kek redmagic sama Rog juga lebih sering pake si naga"
youtube_comment,"2025 masih aja ada mediatek, harusnya punah aja, gaada apa2 dibanding snapdragon & bionic😂"
youtube_comment,Klo mau bandingin keuntungan jngan ratio lah tp sklian aja langsung nominalnya d sebutin.
youtube_comment,Kalo merk Oppo rata-rata pakai Snapdragon
youtube_comment,Saya dari dulu sampai sekarang selalu Qualcomm
youtube_comment,"Info dong, emang bener ya hp yang pake mediatek itu gampang panas dan ngga stabil, sedangkan snapdragon itu lebih stabil dan ngga gampang overheat?"
youtube_comment,"Beli Infinix Hot 60 Pro pake Mediatek G200 tapi ada keterangan ""License by Qualcomm"""
youtube_comment,Jelas untung mediatek kecil ...Krena paten modemnya itu wajib beli di Qualcomm...gak cuma mediatek tapi seluruh modem mau itu Apple sekalupun
youtube_comment,"Selain di chip smartphone, nih chip sering dipakai di produk jaringan internet kek router dan wifi, Qualcomm atheros juara sih karena komunitas dan dukungan nya open source. Mediatek masih banyak firmware atau software yang belum support. Paling di hindari ya RealTek menang murah di driver PC tapi busuk di router"
youtube_comment,"""We don't need HBM""?? How are you addressing bandwidth? SRAM like Cerebrus?"
youtube_comment,ליטאי אפל תיצור שבב בלוטוף' קטן וחזק בהרבה לאייפון 18 אייפד ואפל ווטש וAirPods פרו וגאדג'טים לאייפון ומקבוק.וחסכוני בסוללה. שכולל GPS לחיסכון פי 2 בסוללה ועלויות בייצור TSMC וסמסונג גם לAirPods. ויותר מקום לסוללה.
youtube_comment,"Data center processor WITHOUT HBM?? AI200 and AI250 gonna be killer, me thinks.

Good job Cristiano! Much love. <3"
youtube_comment,"Hey, Is your job role related to VLSI ??🤔"
youtube_comment,North Indian?
youtube_comment,❤❤❤
youtube_comment,Work:-0 ; Aesthetics:-100
youtube_comment,"Mai khud yaha kaam kar chuka hu, yaha ka dinner best hota hai 😂"
youtube_comment,"Hello..
I recently completed my BTech from computer science stream and I want to work here. Can you plz tell what I have to do to work here. 😊"
