source,text
news,I won’t waste my time writing about risky corporate taxes again ... definitely
news,Former Reliance Group MD Sateesh Seth remanded to ED custody for 6 days
news,Delhi Court Grants 6 Days Custody of Former Reliance Group MD Sateesh Seth To ED
news,"Thailand, Vietnam team up in an Asean ‘plus or minus’ gamble"
news,Do FPIs still drive Dalal Street? Here's what the data shows about domestic investors changing market dynamics
news,Supreme Court clears Reliance’s plan for Mumbai’s Coastal Road seafront public space
news,Box Office: Imtiaz Ali movie 'Main Vaapas Aaunga' picks up on Day 2 after positive word-of-mouth
news,Citywest Hotel operator for international protection applicants not in place until 2027
news,India's technological self-reliance to be on display at VivaTech 2026 in Paris: Jawed Ashraf
news,"RF Athletics Director Highlights Tejas Shirse's 'Diligence To Recovery, Strengthening' After Historic Show"
youtube_video,Reliance Retail Recruitment 2026 | Reliance New Vacancy 2026 | Reliance Jobs 2026 | Jobs भर्ती 2026
youtube_video,"RPower &amp; JP Power Share news,Buy or not?reliance power latest news,jp power stock advice,Target 2030"
youtube_video,"reliance power latest news,rpower latest news today,Rcom news,r infra New,Anil Ambani news,MF DATA"
youtube_video,RELIANCE धमाकेदार खबर 💥 1:2 SPLIT DECLARED 🔴 RELIANCE INDUSTRIES Share • IREDA Share Latest News
youtube_video,"My ultimate reliance whether I’m sick or healthy, happy or sad, is Allah 🤲🏼❤️"
youtube_video,🔥Reliance Trends Latest Offers Today 2026|Trends New arrivals|😍Trends Buy 1 Get 2 Free|Trends Sale
youtube_video,"Reliance, Vedanta, Adani...China का किला ढहाने साथ आई भारत की &#39;महातिकड़ी&#39; ! Biz Tak"
youtube_video,RIL Share Price | Reliance में निवेशक को करनी है तगड़ी कमाई तो ये लेवल रखें अपने ध्यान! | Business
youtube_video,Outdoor Cooking Bear at my Off Grid Log Cabin 
youtube_video,RELIANCE धमाकेदार खबर 💥 1:2 SPLIT DECLARED 🔴 RELIANCE INDUSTRIES Share Latest News • POLYCAB Share
youtube_comment,Noukari nahi lagta 😂
youtube_comment,Achha
youtube_comment,अनिल अंबानी लुटेरा गैंग Rcom Rinfra reliance power का😂😂😂😂😂😂😂😂😂😂😂सही बात है🙏🙏🙏
youtube_comment,ये चैनल सच बोलता है
youtube_comment,Dono traf ki baat kar di.  Jp power k lya
youtube_comment,Waaree Renewables  1000 pa lia h sir targat  1 sal ka lia kya raga
youtube_comment,Rpower share target bolo 🎉😂😂😂
youtube_comment,"Bade chor hai godi, anil ambani 
Save r power investors ko 🙏🕉️🙏🕉️🙏"
youtube_comment,4th like Mera
youtube_comment,"I have 23,000 RPOWER shares at 28.21 INR,
What should i do?"
youtube_comment,"Ireda target 2026 ,,?"
youtube_comment,🎉❤
youtube_comment,😮
youtube_comment,"As salaamu alaykum, I pray that one and all are well with good health and strength by the will and Qudrat of Allah ✨️ 🤲 💞😇 The Islamic year is coming to an end and A new year and beginning is coming to a start. To start this new year, we as true believers and servants of Allah need to take to account ever deed and action we have committed knowingly and unknowingly whether it be to ourselves, family members, friends or people we either know or don't know. For Allah knows and has recorded every deed and action that we have committed. , Allah either rewards us or tests through trails, tribulations or calamities, it could be major or minor, it will still affect us in some way or matter, whether it be good or bad, it's a reminder that we need to stick to the righteous path and forfill every righteous command that Allah has permitted to us through the Holy Qur'an. We shouldn't just wait for Ramadan to come or to go for Hajj or Umrah just to wipe away our sins, cos the hour can just happen unexpectedly then it would be to late to repent or correct ourselves. 

I ask Allah maaf for all those whom I've offended, hurt or insulted intentionally or unintentionally, for my intentions were only pure, and to bring those whom went astray back on the right for we need to be better examples not only for ourselves or families, but to those that cross our paths. Allah has mercy upon those who truly believe, repents, sticks to being righteously guided and forfill our every righteous deed and brings peace into our hearts and homes. I pray that we all find that peace we seek for and that Allah reunites all our families and rebuild those special bonds we once had before while growing up. Don't let wealth and the distractions of this world break apart your family bonds. Seal the cracks before Allah takes away someone that was once dear to us. ✨️🤲✨️💞😇"
youtube_comment,"Masha Allah, we can read as much Qur'an and make as many salaahs, but if we do not commit to Allah's commands rightfully then all that salaah and duaas has gone to waste. If one truly wants their heart felt duaas to be forfilled then we need to be committed all the way ✨️🤲😇💞"
youtube_comment,"Say, O disbelievers,
I do not worship what you worship,

Nor are you worshippers of what I worship.

Nor will I be a worshipper of what you have worshipped.

Nor will you be worshippers of what I worship.

For you is your religion, and for me is my religion.

قُلْ يَا أَيُّهَا الْكَافِرُونَ
لَا أَعْبُدُ مَا تَعْبُدُونَ
وَلَا أَنتُمْ عَابِدُونَ مَا أَعْبُدُ
وَلَا أَنَا عَابِدٌ مَّا عَبَدتُّمْ
وَلَا أَنتُمْ عَابِدُونَ مَا أَعْبُدُ
لَكُمْ دِينُكُمْ وَلِيَ دِينِ


﷽♥️La ilaha ilallah☝️♥️Muhammad rasool Allah☝️♥️Subhanallah☝️♥️Alhamdullilah☝️♥️Allah Akbar☝️"
youtube_comment,Subhan Allah Alhamdulilah ❤
youtube_comment,MashaAllah
youtube_comment,Mashaallah ❤
youtube_comment,Where is hijab
youtube_comment,kash khol kr pr bee laitai mtlb k sath t aur bahtar hota
youtube_comment,❤❤❤❤❤😊
youtube_comment,"This brought tears to my eyes, Subhan Allah!❤❤❤❤❤"
youtube_comment,May Allah Almighty bless you and guide you to wearing the hijab too.
youtube_comment,❤
youtube_comment,I got  1000 off ways the quran is fake
youtube_comment,Mash Allah 🥰🥰🥰Tabarakallah🎀🎀🎀🎀
youtube_comment,Masha allah ❤❤❤❤❤❤
youtube_comment,You love Muslim a lot
youtube_comment,MashaAllah ❤
youtube_comment,Are u muslim❤
youtube_comment,"May Allah bless you dear always Amen ❤ you're really an inspiration 
Truly Only Allah Taala is love , life , beauty the true meaning of life , life without him is nothing"
youtube_comment,Last sale date?
youtube_comment,"On which day of every week, the new arrivals come in Reliance Trends?"
youtube_comment,Sapne dekhne par koi tax nahi
youtube_comment,😂😂😂
youtube_comment,Tum chin ka chat ka baal bhi ukhad skte😂😂😂
youtube_comment,"Kuch nai hone waala haj😂, ye news waalo ko pata hai india ko recover karna. Bahot mushkil hai bas sarkar na gir jaaye isliye aisi news de rahe hai. Inko ye nai pata ki abhi tak sarkar ne koi planning nai ki hai kuch productive karne ki"
youtube_comment,Jabtak modi hain tabtak nehi hoga.
youtube_comment,Ar koi hota to puri duniya se engineer ko scientist phd ko ikhta krk trnt project ki machinery me lga dete
youtube_comment,Aise thode hi bharay peeche hua sabse .. bharat peeche hua h apni sch se ki aj chahiye use 10-20 50 saal ke taal do
youtube_comment,10 saal me 50000 crore and china hota to 2 saal me 1 laakh crire khrch krne se nhi chukta
youtube_comment,Bharat me rarer earth minral he per waha naxalwaadiyo ne kabza kar rakha he northeast me gus petrol mila he tabhi waha kuki cia agent waha bharat sarkar ko aane nahi de rahi he
youtube_comment,Kisi kaam ke nahi hain ye tino
youtube_comment,https://youtube.com/shorts/75sfUzh-sYE?feature=share
youtube_comment,सिर्फ़ जंगल काटने और लोगों की रोटी छीनने के अलावा किया भी क्या है इन प्रकृति के दरिंदों ने
youtube_comment,*To in 3 ko hi Border p bhi bhej dete. Pair thoda had me reh k  chato.* 😂
youtube_comment,"ये सब चीन का क्या उखाड पाएगे,, क्योकि ये सबके सब व्यापारी है,, उद्योगपति नही है,।।  केवल चीन को थोडा बहुत टक्कर अगर कोई दे सकता है तो है टाटा ग्रुप,, और कोई नही,,।।"
youtube_comment,यह सब सरकार के साथ मिलकर के सिर्फ इंडिया का किला डाल सकते हैं😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅
