source,text
news,"Ross Gerber's 'Controversial' EV Opinion? He Prefers Tesla's Cybertruck Over His Rivian, but Criticizes F"
news,"Tesla, Rivian Beat Expectations as Ford, GM Face Tough Quarter"
news,"Elon Musk's Tesla Faces Potential Roadblock, Rivian's Demand Soars And More: This Week In Mobility"
news,Tesla eyes new store on Knox Street near rival Rivian site
news,Rivian Stock Is Rising Friday Despite $1.74 Billion Dilution Plan: What Investors Need to Know
news,Moderately bullish activity in Rivian with shares up 8.85%
news,Rivian Shares Jump Thursday as Stock Reclaims Major Moving Averages
news,Q&A: Rivian CEO RJ Scaringe on how AI will transform autos
news,"Rivian Wants More Cash - And So Does This Early R2 Buyer, At $20K Over Sticker"
news,Rivian tailspin hasn't shaken one trader's resolve
youtube_video,Why buy a campervan when you can sleep in the Rivian R1T? 😅 #rivian #supercars #cars
youtube_video,Cybertruck vs Rivian EV.. Which one wins the climb?
youtube_video,The Rivian R1S is the future of electric SUVs! 🤩⚡️ #rivian #r1s #supercar
youtube_video,The $45K Rivian R2 is a Tesla Model Y competitor. 👀😗
youtube_video,Tesla Cybertruck vs Rivian R1T minions style#tiktok #tesla #rivian #funny #viralvideo #funny #asmr
youtube_video,Don’t get a new Rivian until you’ve watched this.
youtube_video,This may be the perfect SUV 😳
youtube_video,I Ordered a Rivian R2 — Here’s What Actually Happens
youtube_video,"FOUR Motors &amp; 1,000+ horsepower! | 2026 Rivian R1T Quad Review"
youtube_comment,Ready to bid on the world's most exclusive supercars? Head over to SBX Cars to explore our live and upcoming auctions
youtube_comment,Copyright from the cybertruck
youtube_comment,So a bunch of useless crap we have absolutely no use for at a premium price. Waste of money.  😂
youtube_comment,Ugly
youtube_comment,if it crashes oh hell nah
youtube_comment,Bird sound...i am hearing for the first time😂
youtube_comment,Imma big block swap it first
youtube_comment,Holy tesla coping ✌🏻✌🏻😭😭
youtube_comment,All that shit just makes it more expensive and it’ll probably break
youtube_comment,Automatic no. This vehicle is silly
youtube_comment,Want this
youtube_comment,"Yeah, and when all those fancy buttons stopped working, and you know how much it’s gonna cost to fix😂"
youtube_comment,Perfect! Now I can use a touchscreen to move the vents while driving 🙃
youtube_comment,Looks a lot better than the cyber suck.
youtube_comment,cybertruck from past
youtube_comment,Looks like a bunch non essential crap that’s going to break in a short amount of time.
youtube_comment,Go get a camper that does not sound breakable and plastic and or electrical problems.
youtube_comment,So everyone must stay your size to fit through.
youtube_comment,"""See this...""
I see it, but all I see is a bunch of motors with complex part movements that are going to cost an awful lot to repair when they wear out."
youtube_comment,"Pesa más, y el control de tracción hace el resto"
youtube_comment,Chinese Rivian and Chinese Cybertruck 😂
youtube_comment,This AI crap video😂
youtube_comment,That’s not even a real cybertruck
youtube_comment,Not only it’s an AI someone likes that cyber garbage
youtube_comment,"Rivian really needs to beef up their litigation department and start suing more of these channels. I don' tknow if this person is getting paid to put out fake info on Rivian or if they are just a super Tesla fanboy, but there is a lot at stake for a new EV company like Rivian. They should totally send a demand letter or just straight up start suing these idiots."
youtube_comment,More Compact Soil near the tree
youtube_comment,"Nice AI, lol"
youtube_comment,AI fake
youtube_comment,IA 😂😂😂
youtube_comment,I love this  car
youtube_comment,Ai
youtube_comment,AI el espejo de la cibertruck atraveso el arbol
youtube_comment,"Both have powerful motors and good suspension articulation. This is a contest, to see which one has the best tires for this terrain.
    This is the most convincing AI I've see so far, but it's still not quite ""there""."
youtube_comment,Ai strikes again
youtube_comment,The thing about electric vehicles is they usually have more acceleration but less power
youtube_comment,This ain’t even real
youtube_comment,The cyber truck Makes no dust that’s so cool and realistic
youtube_comment,For one thing they didnt even take the same damn line. Perhaps a factor
youtube_comment,Fake 🤥
youtube_comment,Super cool car
youtube_comment,REGALAME UNO CORAZÓN 🥀💔
youtube_comment,Stuff like this in cold weather just seems like bad news
youtube_comment,No thanks . Ill keep my landcruser
youtube_comment,'Lamborghini door' lol nostalgia/deja vu
youtube_comment,Yes Indeed ❤❤❤❤❤❤❤❤❤😊
youtube_comment,Chinese companies can make this kind EV for under $20k
youtube_comment,The best of the best 🎉🎉🎉
youtube_comment,Can’t stand her
youtube_comment,My dad has it but white😊
youtube_comment,🤦🏽‍♂️🤦🏽‍♂️🤦🏽‍♂️
youtube_comment,Send me the torch and I will review as nothing is left!
youtube_comment,Don’t forget to mention the price that only rich people can afford the R1T.
youtube_comment,I love this vehicle.  Tryna devise a plan to acquire one.
youtube_comment,If only theyd do something other than a bland boxy design with cartoon oval lights....
youtube_comment,I dont like the rivian front lights😅
youtube_comment,Inspiration?!! Really?!!.it's just china copying everyone else !!
youtube_comment,"wow, we did a better review https://www.youtube.com/shorts/srCgEA8pwb8"
youtube_comment,sorry to disappoint you but EV is not the future rather Hydrogen cars. EV will be a short lived enthusiasm though because they are cool.
youtube_comment,Shit car. Company about bankrupt
youtube_comment,It also gets over 300 miles with the bigger battery pack!
youtube_comment,Yes over model Y any day
youtube_comment,Yes. Yes I would.
youtube_comment,"I personally  prefer  Rivian  let's  hope  they  make  autonomous  drive  then tesla will  be  done for  ,or  maybe  tesla  will  buy  rivian  and  bring  fsd stacks   because  cyber truck  is ugly 😂"
youtube_comment,So if it flips you get an extra glass hazard flying around? Plus no protection whatsoever if the car keeps rolling and the glass is gone? Although maybe its just an extreme scenario and it doesn’t happen 🤷🏻‍♂️
youtube_comment,Tesla model❌  tata sierra ✅
youtube_comment,Got me at ground clearance
youtube_comment,"No FSD? No thanks, I’m picking the Tesla YL"
youtube_comment,I would never buy a Tesla and I’m seriously considering rivian for my next lease
youtube_comment,I’d choose rivian over tesla anyway
youtube_comment,You called micron’s top? I remember a few months ago on your videos that micron had potential to 2x its current price.
youtube_comment,available in the Philippines?
youtube_comment,Self driving?
youtube_comment,Better give my money to this awesome CEO than to psycho Musk
youtube_comment,Carter PC's eyebrows RELIES on this car
youtube_comment,"Damn! Going to have to consider buying one of those. I'm not a big fan of EV's but this one has me intrigued. I do like the bigger Rivian but not at that price tag. A mini me version just might be what the Dr. ordered. And Rivian is building a huge factory here in the greater Sacramento area where I currently reside, so we'll see."
youtube_comment,"Great car. Charge port on the wrong side, it will be annoying at tesla super chargers. You gotta take up 2 charger spaces...ask me how I know lol"
youtube_comment,Both companies are great
youtube_comment,Anything other than Tesla 🙌
youtube_comment,id choose anything over tesla
youtube_comment,Tesla Cybertruck Burpnell
youtube_comment,Nah
youtube_comment,Guys a cybertruck are ugly but a riviera is nice i have i riviera r1t
youtube_comment,"Rivian R1T: 💪
Tesla Cybertruck: 💪
Person who compared: 🤡"
youtube_comment,Rivian supporter here. The cybertruck is awful and I would rather get a gas car with 5 mpg.
youtube_comment,The teslas rims ruin it for me 😂  the rivian looks great though.
youtube_comment,How many I like that is great I like that truck a lot too much and also Cybertruck
youtube_comment,RİVİAN İS THE BEST ELECTRİC PİCKUP TRUCK İT İS THE GOD KİNG AND THE CYBERTRUCK İS A USELESS VOMİT PUKE. Tip: Tesla cybertruck is made with temu items 💀 So it is a No-diff for the awesome rivian R1T.
youtube_comment,Rivian what is this car brand?
youtube_comment,Pin please
youtube_comment,Who knows the second song?
youtube_comment,Next Make A Toyota Fortuner VS Mitsubishi Pajero Sport (Montero)
youtube_comment,"I know pick ups that looks better than cybertruck, But DAM it's looks so elegant in black."
youtube_comment,🔥🔥🔥Rivian R1T🔥🔥🔥
youtube_comment,"Rivian is not comparable to Tesla.  Rivian is in the unenviable position of losing over $100k per vehicle.  Versus Tesla, which never sold vehicles at negative gross margins and turned gaap profitable relatively quickly, especially with the help of selling BEV tax credits. Rivian is literally losing money even before factoring in the costs of running the company, e.g., salaries, marketing and warranty coverage.  Imagine hiring a sales force to sell lemonade.  But the ingredients alone cost more than what the lemonade sells for.  That's Rivian.  Rivian is led by a smooth talker who is not competent in making cars.  Tesla is led by Elon Musk, one of the greatest visionaries of all time.  In summary, between Rivian's inept leadership and recurring billion-$$ quarterly losses is why Rivian goes bankrupt"
youtube_comment,I guess I'm first?
youtube_comment,This is coolest feedback ever…
youtube_comment,"That’s why he has taken off, he’s real and not trying to sell you BS"
youtube_comment,A lot of shaking involved
youtube_comment,my dream car.... they really need to let an average person try this ... lol ill gladly review
youtube_comment,"The verse in the end tho, Nobody does it better than forrest"
youtube_comment,"I drive a car from 2002, and it’s essentially the only car I’ve ever driven. When I see some of these complaints, I totally understand them given the price point. However, half this stuff doesn’t even exist on my car. I’m excited to upgrade!"
youtube_comment,But youre comparing a car you can buy in the states to a car you can’t buy in the states. Does it make sense to do this?
youtube_comment,For someone who doesn’t know a lot about cars I respect that you are comparing the differences at a reasonable level to other similar cars. Thanks so much for
youtube_comment,Love that sweater
youtube_comment,"If Rivian was offended by this video, they won’t survive. 

This video should help them immensely with improvements"
youtube_comment,Those are the ugliest EVs ever...
youtube_comment,Rivian goin want they car back once they see ts😂
youtube_comment,"Imagine paying $108,000 for something that poorly built"
youtube_comment,Byd is better😂
youtube_comment,Bad car
youtube_comment,If you’re going to complain about build quality don’t ever mention Tesla. Thank you for you attention to this matter
youtube_comment,"Bro deserves to get a world record for saying the word ""space"" 8 times within a time span of 0.21 seconds between 0.14 to 0.35"
youtube_comment,Preach brother but tech and the word 🫡
youtube_comment,"All I'm hearing is ""space, more space"""
youtube_comment,"I also like Rivian. Considering they are a young company, I can understand how their could be improvements that are necessary."
youtube_comment,Y trunk is small
youtube_comment,He doesn't like to mention the price and he should also sit in the third row to show the leg room .
youtube_comment,So ugly.
youtube_comment,"Unfortunately, the front end is old and ugly"
youtube_comment,Who turned the like button to a heart
youtube_comment,"“Yeah, 5 bags of ice, candy, and a golden retriever. Yeah, ASAP”"
youtube_comment,It’s ugly
youtube_comment,Nope
youtube_comment,This is gonna rock on the used market. Be patient my friends.
youtube_comment,"It would have been hilarious if you made a terrible quality makeshift mask to look like the animated dog, so when you panned over, everybody would get a nice little jump scare."
youtube_comment,The range is under 400 👎
youtube_comment,No fsd
youtube_comment,The perfect car for camping
youtube_comment,But it's ugly
youtube_comment,next can u do an audi q7 quattro komfort
youtube_comment,My dog's happy....im sold
youtube_comment,"“This may be the perfect SUV” ✅ 

“…..No gas tank…” ❌"
youtube_comment,That is so excess. You don't need 835 hp unless you're drag racing Bugatti or something. I would rather have 350hp and give me longer battery range.
youtube_comment,No big truck like Expedifion Max…
youtube_comment,Should discuss the ridiculous price tag
youtube_comment,Let me know you're ordering questions!
youtube_comment,"Excited for you! 🎉 I also got my invite to order on 6/17. I was surprised by how quickly the car became available. I picked mine up just a week later on 6/26. It ended up being the first R2 delivered in Florida. I went with Glacier White, the Black Crater interior, and the 21” wheels.

Overall, it’s a fantastic vehicle. It’s incredibly well built and feels and looks much more premium than my previous 2026 Tesla Model Y."
youtube_comment,how much was your R1T lease to get that residual?!?
youtube_comment,"As a current lease of a 2025 R1S, I cannot wait to get rid of it. I get you are probably getting paid and of course  content. But RIVIAN is a MVV company (Minimum Viable Vehicle) 100% of the software is soooooo awful every time Ai have to drive it I mentally punching my face for letting the sales person lie to me about “how great the car is” any how this is a candid review and at the end is your money you can throw it away any way you want. I’m going to follow you just because I really want to see your face when you loose 46% of value at delivery."
youtube_comment,5:41 Seriously…? Ish.
youtube_comment,"Only 8 months into a Tesla Model Y lease, and loving the car, especially FSD.  When the lease is up, the Rivian R2 is the only other car I would consider, at least at this time.  I won't give up FSD or something as capable, so hope Rivian gets the Autonomy+ up to speed real soon now.  Looking forward to your videos and opinions on your R2."
youtube_comment,"Thank you for the video. When you say your R1T trade in value is greater than your lease buy-out, what's the reason for it? Did Rivian have a generous trade in offer for R1T, or did they over-estimate the depreciation in the lease? Thank you. It's hard to imagine that for an EV."
youtube_comment,Congrats!!!🎉
youtube_comment,"Will you be able to keep driving your R1 until the day you receive your R2, or does the Rivian trade-in process require turning it in before?"
youtube_comment,Why is the text on your hat backwards?
youtube_comment,I’m down for the Canton meet up!  We’re going to be adding a second Rivian to the garage within a couple of months 🤞
youtube_comment,"I just picked up my half moon grey R2 on Friday and turned in my gen 2 R1S (like you, a stopgap lease, but I only did 2 years). So far… I love it. There’s a bunch of stuff missing that I’m hopeful is added REALLY soon. The biggest is probably no voice command at all. I just finally got use to going from saying ‘Alexa’ to ‘Hey Rivian’ and now I’m even further back. Also, no YouTube or Googlecast, which makes the car feel sort of naked, no SiriusXM app, no garage door control (which I know is due in the next update)and just an overall getting to know the car all over again. I know everything the car does, a lot of it is just done differently or in a new place. The Halo Wheels are still a learning process and the biggest surprise/adjustment is how sensitive they are and how little you have do engage them. Rather than pushing the wheels left or right to make selections, it’s actually more of a minor swipe where you barely touch the wheels… quickly brushing your thumb over the wheel left or right. They’re surprisingly sensitive. 

The biggest surprise to me is how quiet and smooth the ride is compared to my R1S and just how much I enjoy driving with the back glass down. Even on the highway at 70+mph, the open back makes almost NO NOISE. 

But even though it’s only been a few days, I’m really loving the R2 and the transition from the slightly larger R1 has been negligible. Can’t wait to see more content from you when you get yours."
youtube_comment,"Congrats. I probably would have waited. But this is better for your channel, and a better fit for your life."
youtube_comment,Got my email 2 weeks ago saying I’ll be invited to order in 4-8 weeks. I’ve also decided to get a launch edition over waiting for the Lidar version. If anything in 5ish years I can just trade in for a Gen 2 or something newer R2! My Tesla M3 lease ends end of September so hopefully the timing works out close to that.
youtube_comment,So you really didn't go into what actually happens.  90% of this was your justification for buying one.
youtube_comment,"I sent my reservation in as soon as I saw the release video, and after watching nearly 40+ review videos, I feel confident that Rivian delivered almost everything they promised and arguably the best release in a year with several standout models released like the iX3, EX60, and Subaru Trailseeker. If I needed a new vehicle today,  I'd buy the R2 without any hesitation, but I'm a R1T owner who hopes to have a paid off truck in <2 years. The R2 is ridiculously nice, but so is my R1T and I'm having a hard time considering giving it up for quite frankly anything on the road at any price point. Test drives were booked last time I looked, but a test drive will help me decide to get my deposit back or sell my R1T for the R2. Personally, I have no issues with taking a R2 with the Gen2 hardware today, as long as I can get it in Launch Green!"
youtube_comment,I agree. Some kind of gear guard badge or sticker would make me even more excited for my launch edition! 😂
youtube_comment,You were not penalized for trading your r1t lease in early? Maybe since it’s Rivian to Rivian. I’m stuck in a Kia ev9 lease for another year but would love to get the R2
youtube_comment,In 2 years you’ll be making video why you are trading in R2 for R3X 😅
youtube_comment,"I don’t understand the trade-in on a lease vehicle that’s new to me leasing someone, please command command or explain in more detailed"
youtube_comment,The closet place to get a test drive is a 12 hour round trip.
youtube_comment,"I can see this “kick turn” working on flat “state maintained” dirt roads. But around here, the middle of the roads are never maintained that flat. The would not work on any roads I’ve driven on in 55 years. The truck would make it half way around and bounce over the ruts and I’d have to get pulled out of road side canal or flip over. Or both."
youtube_comment,"Rivian will be irrelevant in 2 years, bankrupt in 3-4 max at their pricing.  BYD etc are gonna destroy them for quality and price"
youtube_comment,lol at no CarPlay
youtube_comment,Just need $5000 to upgrade those horrible tiny brakes….
