source,text,sentiment,confidence
news,"Ross Gerber's 'Controversial' EV Opinion? He Prefers Tesla's Cybertruck Over His Rivian, but Criticizes F",neutral,0.7962
news,"Tesla, Rivian Beat Expectations as Ford, GM Face Tough Quarter",positive,0.9327
news,"Elon Musk's Tesla Faces Potential Roadblock, Rivian's Demand Soars And More: This Week In Mobility",positive,0.4417
news,Tesla eyes new store on Knox Street near rival Rivian site,neutral,0.7722
news,Rivian Stock Is Rising Friday Despite $1.74 Billion Dilution Plan: What Investors Need to Know,neutral,0.6676
news,Moderately bullish activity in Rivian with shares up 8.85%,positive,0.949
news,Rivian Shares Jump Thursday as Stock Reclaims Major Moving Averages,negative,0.5266
news,Q&A: Rivian CEO RJ Scaringe on how AI will transform autos,neutral,0.9285
news,"Rivian Wants More Cash - And So Does This Early R2 Buyer, At $20K Over Sticker",neutral,0.5122
news,Rivian tailspin hasn't shaken one trader's resolve,negative,0.5807
youtube_video,Why buy a campervan when you can sleep in the Rivian R1T? 😅 #rivian #supercars #cars,neutral,0.9295
youtube_video,Cybertruck vs Rivian EV.. Which one wins the climb?,neutral,0.8918
youtube_video,The Rivian R1S is the future of electric SUVs! 🤩⚡️ #rivian #r1s #supercar,neutral,0.8982
youtube_video,The $45K Rivian R2 is a Tesla Model Y competitor. 👀😗,neutral,0.8429
youtube_video,Tesla Cybertruck vs Rivian R1T minions style#tiktok #tesla #rivian #funny #viralvideo #funny #asmr,neutral,0.906
youtube_video,Don’t get a new Rivian until you’ve watched this.,neutral,0.9325
youtube_video,This may be the perfect SUV 😳,neutral,0.5349
youtube_video,I Ordered a Rivian R2 — Here’s What Actually Happens,neutral,0.9322
youtube_video,"FOUR Motors &amp; 1,000+ horsepower! | 2026 Rivian R1T Quad Review",neutral,0.8719
youtube_comment,Ready to bid on the world's most exclusive supercars? Head over to SBX Cars to explore our live and upcoming auctions,neutral,0.885
youtube_comment,Copyright from the cybertruck,neutral,0.8583
youtube_comment,So a bunch of useless crap we have absolutely no use for at a premium price. Waste of money.  😂,negative,0.7246
youtube_comment,Ugly,neutral,0.8663
youtube_comment,if it crashes oh hell nah,neutral,0.8375
youtube_comment,Bird sound...i am hearing for the first time😂,neutral,0.908
