source,text,sentiment,confidence
news,"South Korea concrete delivery halt threatens Samsung, SK Hynix chip plant work: Report",negative,0.8985
news,Samsung Electronics in Talks to Manufacture Google's Next-Gen AI Chips; Samsung Shares Jump 12%,positive,0.5797
news,Hate giving blood? Samsung’s latest VR demo will help you meditate while donating - and it’s given me some ideas,neutral,0.7926
news,"South Korea concrete delivery halt threatens Samsung, SK Hynix chip plant work, media reports",negative,0.9312
news,Korea’s Kospi surges 8% as Iran deal hopes lift chip stocks,positive,0.8932
news,Samsung’s AI overhaul starts in the boardroom - then reaches every employee,neutral,0.9437
news,Samsung Galaxy phones are finally catching up to Android rivals with network speed indicator,positive,0.8625
news,This Galaxy Watch Ultra 2 battery leak has me more excited than any new AI feature,neutral,0.8639
youtube_video,Official Replay | Galaxy Unpacked February 2026 | Samsung,neutral,0.9217
youtube_video,Introducing Galaxy S26 Ultra | Galaxy AI | Samsung,neutral,0.9266
youtube_video,"₹18,000 Price Drop 🤑 Samsung Galaxy S25 🔥 Miss பண்ணிடாதீங்க..! 🤯",negative,0.9474
youtube_video,Samsung A15 One Ui 8.5 Official Update | 25+ Hidden Features #samsunga15,neutral,0.9391
youtube_video,Samsung Issues a SECRET Update to Millions of Galaxy Phones - Check Your  Phone App Now,neutral,0.9352
youtube_video,"Samsung Big Promo Sale June 2026 | Galaxy A Series, Galaxy S26 Series, Galaxy Tab Series ",neutral,0.9426
youtube_video,When Samsung became a tech GOD.,neutral,0.9107
youtube_video,"Samsung Galaxy A17 Unboxing &amp; First Look ⚡ sAMOLED, 50MP OIS, 6Y Updates &amp; More",neutral,0.8562
youtube_video,Samsung S26 Ultra Special Feature ।। যা কিন্তু আপনার ফোনে নেই!,neutral,0.8601
youtube_video,All about Switching | Samsung,neutral,0.9303
youtube_comment,I am using Samsung Galaxy S22 5G but not satisfied i am facing green /pink line issue then now shifting on iPhone,neutral,0.8891
