source,text
news,Sony 5th Generation RX10 V AI-powered camera perfect for very shot
news,Even the EU can't stop PlayStation killing physical discs
news,When Streaming TV Integrations Don't Feel Like Ads
news,Sony RX10 IV Vs RX10 V: How Do These All-In-One Super Zoom Cameras Compare?
news,Viltrox AF 90mm f/2.2 EVO review
news,"Sony Launches LinkBuds Clip in India With Open-Ear Design, AI-Powered Calls at ₹18,990"
news,'God of War: Laufey' to Have a Disc Release - Coming in 2027
news,God of War Laufey release window confirmed in cheeky tweet
youtube_video,"Rebellion Against Sony Killing Physical Discs Goes Mainstream, More Lawmakers Move Against Sony"
youtube_video,The Superhit Classics | Indian Idol S16 | Watch Now On Sony Entertainment Television
youtube_video,SAILAJA FULL SONG | YASHU SONY | HONEY GANESH | DILIP DEVGAN | P.NARSIMLU |U TURNS CREATIONS
youtube_video,A Sony Studio Responds Online And Nintendo Physical Game Sales Explode | News Wave
youtube_video,Diamond Jubilee Celebration | Indian Idol S16 | Watch Now On Sony Entertainment Television
youtube_video,I Hid in My House 😱 My Sister Had No Idea Day 48/100
youtube_video,Spider-Man: Brand New Day - Hidden Heroes Vignette - Only In Cinemas July 29
youtube_video,Sony is getting sued in multiple countries over digital only
youtube_video,Wedding Gift From Prabhu | Sony BRAVIA Home Theatre System
youtube_video,Sony SUED for $450 MILLION over Physical Games! Also PlayStation BANS CHAT for Disk talk!!
youtube_comment,"It takes more than enthusiasts to make change happen. The fact that mainstream news outlets are covering this story and situation is huge, and seeing even more lawmakers in more countries getting involved is an encouraging sign. Time will tell whether Sony buckles to consumer and legislative demands or whether they continue to hold out. At the very least, Sony's shortsighted move has started a larger conversation about consumer rights and ownership for digital products that needs to happen. Digital products should not be treated differently from physical products, they should offer the same protections, and that is the greater fight."
youtube_comment,"Im just glad that ive kept all my physical media over the years 

Games, CDs, DVDs, a few vinyls here and there 

So if they go all digital, will they decrease the price theyd be saving on the physical production side of things 

I doubt it very much, F to sony 👍"
youtube_comment,"We Dutch throwing ""mass shade"" at Sony. 😂 I'm not one to laugh at someone who's trying to speak or pronounce a language not native to them, but this one was funny and appropriate.
On a side note: ""massa schade"" means ""collective damages."""
youtube_comment,No disc no buy
youtube_comment,"EU: ""We can't tell Sony in what form they should sell games""
Also EU: Imposes a lot of regulations down to the point that too big a cucumber doesn't qualify as a cucumber.

Bollock, I say, just bollocks and demonstration they are already in Sony's pocket."
