source,text,sentiment,confidence
news,Copa Independent | The best World Cup semi-finals… ever?,neutral,0.7738
news,This app gives your Mac a music player you'll actually enjoy using,neutral,0.7787
news,"Future Fans Debate First Day Spotify Streams For ""The Real Me""",neutral,0.8874
news,"Your next song could soon carry an AI warning label, and the music industry is all for it",neutral,0.8083
news,What are the lyrics to the Erling Haaland song? World Cup star goes viral on Spotify,neutral,0.9301
news,"Erling Haaland makes unexpected Norway history during World Cup run, but not related to football",neutral,0.9176
news,Karol G Creates Tropicoqueta-Themed Cocktail for her Tour,neutral,0.9124
news,Spotify Release Radar's New Personalization Options Improve Your Music Recommendations,positive,0.5074
news,Spotify’s Release Radar gets new customisation filters for listeners,neutral,0.5845
youtube_video,Sportify account kaise banaye || How to Create Sportify Account #india,neutral,0.9426
youtube_video,Spotify Trending Song 2026 | New Trending Song 2026 | Best Hindi Songs 2026 | Love Song 2026,neutral,0.9029
youtube_video,How to Create Spotify Account | Spotify account kaise banaye | Spotify id kaise banaye,neutral,0.934
youtube_video,Behind the Beats | Lagaan | Spotify India,neutral,0.9282
youtube_video,BABYMONSTER에 취해보자 Let’s CHOOM 🩰ㅣ스포티파이 K-Pop ON! RECORD,neutral,0.9118
youtube_video,&quot;அதான் நா இருக்கேன்-ல...!&quot;😎 Spotube 🎼 Alternative App for Spotify...#shorts,neutral,0.9252
youtube_video,സ്വപ്നങ്ങളിലെ Spotify ! How to Play Spotify Music without ads #shorts #spotify,neutral,0.9438
youtube_video,🌿Best 100 Trending Music Spotify 2026 || Top Healing English Songs ~ Chill Vibes Music Playlist 2026,neutral,0.8937
youtube_video,"Top 20 Pop Spotify 2026 🔥Rihanna, Bruno Mars, Lady Gaga,Ed Sheeran, Dua Lipa, Selena Gomez, Maroon 5",neutral,0.8635
youtube_video,"Spotify Trending Hits 2026🍇🎧Best Pop Songs🔥Taylor Swift, Justin Bieber, Shakira | Billboard Hits",neutral,0.9199
youtube_comment,"his India 😂😂 not pilipinas
👇",neutral,0.9175
youtube_comment,#&6448+,neutral,0.923
youtube_comment,Han nahin pata Hai meow ko,neutral,0.9188
youtube_comment,🎉,neutral,0.9052
youtube_comment,Khud aata hai nahin humko bata raha hai,neutral,0.9042
youtube_comment,Suru hone se phele khatam,neutral,0.9245
youtube_comment,BSD,neutral,0.9196
youtube_comment,Abe poora bata to deta,neutral,0.9203
youtube_comment,😂😂😂😂😂😂😂😂,neutral,0.9052
youtube_comment,Jaldi banaa batana,neutral,0.9327
youtube_comment,suair 😂😂😂,neutral,0.938
youtube_comment,Main nahin jaanta,neutral,0.9307
youtube_comment,Gajab topi baaj adami hai sala,neutral,0.9135
youtube_comment,😂😂,neutral,0.9052
youtube_comment,What's is this😂😂😂 gajab bajti ha bhai,neutral,0.9134
youtube_comment,Pura to dikha de,neutral,0.9207
youtube_comment,Thank you❤,neutral,0.8197
youtube_comment,Thanks 👍🏻👍🏻👍🏻😊😊,neutral,0.8059
youtube_comment,Abe Kitna bakbak bakbak kar raha hai kuchh to Bata samne ka,neutral,0.9115
youtube_comment,Your thumbnail attracted me to play this masterpiece ❤,neutral,0.8583
youtube_comment,❤❤,neutral,0.9052
youtube_comment,Mmm...gud stuf  👍🏻,neutral,0.8781
youtube_comment,Thumbnails,neutral,0.8446
youtube_comment,The thumbnail 🫠,neutral,0.8167
youtube_comment,What an thumbnail bro ❤,neutral,0.584
youtube_comment,"Great selection of songs bro...
Keep it up..",neutral,0.8139
youtube_comment,AI music ha,neutral,0.939
youtube_comment,Kindly add timestamps with the name of the songs when it's about to start,neutral,0.9415
youtube_comment,Is it AI generator song ❤,neutral,0.9183
youtube_comment,🎧💆‍♂️😭,neutral,0.9052
youtube_comment,Ho🎉,neutral,0.9052
youtube_comment,What is the name of that 1st song,neutral,0.9208
youtube_comment,😅😊,neutral,0.9052
youtube_comment,Thumbnail ❤,neutral,0.8688
youtube_comment,"Wonderfull Collection 🤩✌🏻
Beautiful Thumbnail ❤️",neutral,0.8965
youtube_comment,What a attractive thumbnail ❤❤😊,neutral,0.6972
youtube_comment,The thumbnail is very beautiful. 🌸❇️,neutral,0.8623
