source,text
news,Tesla Crash Into Home Kills Woman - Driver-Assist At Fault? Elon Musk Refutes Claim
news,OPEN CEO Takes $1 Salary As $741 Million Tesla-Style Pay Package Bets On A Housing Market Turnaround
news,"India's Tata Electronics hit by cyber breach claiming to expose Apple, Tesla trade secrets"
news,"Why is Elon Musk calling Ro Khanna 'Ro the Robber', and how the US congressman hit back"
news,"Apple cyber team probes Tata Electronics data breach incident, may recommend security changes"
news,"NatPower, Tesla reach deal on first phase of $5 billion battery storage plan"
news,Why Tata Electronics' cyber breach could be a concern for Apple and Tesla
news,Tata Electronics Confirms Cyber Breach; Apple & Tesla Sensitive Trade Data Allegedly Exposed
news,Elon Musk And Tesla AI Chief Fire Back At Reports Linking FSD To Fatal Texas Crash
youtube_video,Tödlicher Unfall: Tesla Autopilot unter Verdacht – aber die Daten erzählen etwas anderes
youtube_video,"Tesla Optimus, Model Y L, and MegaPod Details You Need to Know"
youtube_video,This Tesla Crash Just Changed the FSD Debate
youtube_video,TESLA DETECTA ESPÍRITOS? O TESTE MAIS ASSUSTADOR DO TCAR!
youtube_video,Fatal crash involving Tesla allegedly using driver assist now under federal investigation
youtube_video,Tesla Just Quietly Won the Quarter - Something Big Is Happening - Model Y Review You Didn&#39;t Expect!
youtube_video,ESSAI TESLA MODEL 3 PROPULSION 2026 : la référence au juste prix
youtube_video,Tesla Autopilot Takes the Hit to Avoid Pedestrian
youtube_video,"Tesla Model Y L Specs, Range &amp; Pricing Leaked for the United States"
youtube_video,Why Is Tesla Stock DROPPING Today?
youtube_comment,"In Wirklichkeit war es noch viel schlimmer, was der Tesla gemacht hat. https://youtu.be/CaV8hmrffqw"
youtube_comment,"Wie wäre es dann mal mit dieser Schlagzeile: ""Jährlich fast 3000 Tote durch Autounfälle ohne TESLA-Beteiligung"""
youtube_comment,Wie komt tesla so snell an die daten? Hallo data shutz .. 😂 oder kann tesla jede schrit folgn wie VW da mals 😂
youtube_comment,"die Schwurbel-News-Leute wissen genau was sie Anrichten,.. in der EU ja gerade alles auf krankhafter Maximal-FSD-Beobachtung,.."
youtube_comment,Macht doch ein gegen-fake-video . . . Wurde der Fahrer von den rückständigen deutschen Autoherstellern bezahlt ?
youtube_comment,"Tesla kann mit Klagen gegen Fake-News bestimmt viel Geld verdienen,.."
youtube_comment,"Also beim Autopilot wäre es meiner Erfahrung möglich wenn er falsche Daten über die Google Map bekommt so wie bei mir wo er die Geschwindigkeit nach wie vor  sobald ich durch ein Bestimmtes Dorf in Niederösterreich fahre der AP die Geschwindigkeit auf 100kmh beschleunigen würde wenn ich in nicht deaktivieren würde,  deshalb deaktiviere ich immer den AP in diesem Dorf oder reduziere die max  Geschw. manuel  auf 50kmH . Leider noch immer falsche Daten in der Navigation."
youtube_comment,Danke für die Veröffentlichung und Aufklärung. Das die deutsche Presse unrichtige  Informationen verbreitet gehört zur Lobby Arbeit der Autoindustrie. Es ist unfassbar.
youtube_comment,"Ich glaube auch nicht, dass die berichten wenn neue Erkenntnisse auftauchen."
youtube_comment,"Übel mit der unschuldigen Frau, aber krass wie wenig dem Fahrer passiert ist. Unfassbar wie sicher diese Autos sind... Aber der wird sich jetzt wegen Totschlags zu verantworten haben und das weiß er, drum versucht er es ja auch dem Auto in die Schuhe zu schieben"
youtube_comment,Besser über statt unter Belichtet
