source,text
news,Viral NeeDoh microwave trend leaves teen with third-degree burns
news,TikTok and Madonna set in-app livestream record
news,Justin Trudeau bounces into girlfriend Katy Perry’s new music video
news,NYC's viral TikTok subway series shows off hidden city gems
news,"Europe to social media platforms: make yourself safe for kids under 13, somehow"
news,Mom shares unhinged parenting hacks to keep household in tact
news,Australia banned vape ads more than two years ago - so why are they still all over social media?
news,Model Fiona Fussi claims Grab driver locked her in car until she paid for wet tissue he gave her
news,Madonna Live Video Event For 'Confessions II' Sets TikTok Record With 2.1M Global Viewers
news,Former Canadian PM Justin Trudeau bounces into girlfriend Katy Perry’s new music video
youtube_video,New Tiktok Mashup 2026 Philippines Party Music Viral Dance Trends July 14th
youtube_video,New Funny Shorts 🤣 #shorts #funny #comedy #tiktok #reels
youtube_video,Her Friend&#39;s Jealousy Went Too Far 😢#ytshorts#tiktok
youtube_video,Dance se souber Tik Tok (2026) ❤️
youtube_video,Is this really a good friend ? 😌 #shorts #tradang #bestfriend #bff #tiktok
youtube_video,Tiktok Viral Trend | Copines Dance #tiktok #trending #editlyrics #lyrics #dance #viralvideo #trend
youtube_video,CHALLENGE TIK TOK &quot;SORT DE CE CORPS&quot; 🇨🇮🔥💯@loisariel1 #cotedivoire #dance #attitude
youtube_video,#harleyquinn #dc #tiktok #shorts
youtube_video,CUTE LOVE STORY😘 LOVELY SONG🥰 4K STATUS VIDEO ✨ #viralvideo #love #bts #tiktok
youtube_video,suraj actor and priti love story #shortsfeed #viralvideo #tiktok #song #love #bhojpuri #trending
youtube_comment,Boring tong tiktok nato
youtube_comment,Its boring. Im not a fricken kid. My little sister is the one watching.
youtube_comment,b 😊
youtube_comment,COO😂😂😂😂😂😂😂l😂l😂l😂😂😂
youtube_comment,🤣🤣🤣🤣🤣🤣🤣😂😂😂😂
youtube_comment,==[::::::::::::::>
youtube_comment,😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂 और पुलिस वाले आपका ध्यान कहां है यह बच्चे आपका फोन चुरा रहाहै
youtube_comment,Happypanda😮😮😮😮😮😮😮😮
youtube_comment,😮😮😮😢😢😢
youtube_comment,😮😮😮😮😮😮😮
youtube_comment,I
youtube_comment,😢
youtube_comment,Aajkal to malai ka samana in
youtube_comment,😅😮😮
youtube_comment,❤❤❤❤❤😮😮😮😮
youtube_comment,J
youtube_comment,Astagfirullah
youtube_comment,🤣🤣🤣🤣🤣🤣
youtube_comment,Hii
youtube_comment,সাপোর্ট চাই ❤❤❤
youtube_comment,"Arokomi hoi
😊😊😊"
youtube_comment,😗
youtube_comment,😂😂😂😢
youtube_comment,🎉🎉🎉❤❤❤❤❤😅😅😅😅😅😅🎉🎉❤❤❤😂😂😂😊😊😊😊😊😊😊😊😊😊😊😊😊😊🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉😅😅😅😅😅😅😅😅😅😅😅😅❤❤❤❤❤❤❤❤❤❤❤❤😂😂😂😂😂😂😂😂😂😂😂😂😂😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮
youtube_comment,So bad best friend 😔😭😔😭😔😭
youtube_comment,Jote Ha
youtube_comment,❤❤❤
youtube_comment,😮😮😮
youtube_comment,6:31 qual o nome da música?
youtube_comment,😂😂😂😂😂
youtube_comment,Muito bom
youtube_comment,Eu amei é sa  música ❤🎉
youtube_comment,Muito bom ❤❤
youtube_comment,Io👍👍👍👍
youtube_comment,🎧trilha sonora perfeita
youtube_comment,Segunda❤
youtube_comment,Hhhcjsuf63u7382oq8d7f😂😂😂
youtube_comment,7urhsv5hfh❤😂🎉😢😮😅😊
youtube_comment,Alguém pode me falar o nome de todas as músicas????? Plisssssssss😢😢😢😢
youtube_comment,Bxxbcnnbccbfcbccjccjfjjj❤😮😮🎉🎉😮😮😮😮🎉
youtube_comment,Oloko
youtube_comment,Coloca eu sou prostitut*
youtube_comment,Nb😊😊🎉❤jkl
youtube_comment,Primeira ❤
youtube_comment,❤
youtube_comment,Banda boladão minha amiga tudo de bom pode mandar bastante vídeo
youtube_comment,Io 👍👍👍👍
youtube_comment,Terceira 🎉
youtube_comment,দারুন হয়েছে
youtube_comment,XmkMnNsgmkl❤❤❤❤
youtube_comment,MNagmlzvml❤❤❤
youtube_comment,❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤😂😂😂😂🎉🎉😢😢😢😮😅
youtube_comment,❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤
youtube_comment,Good❤❤❤❤❤❤❤
youtube_comment,❤❤❤❤❤❤❤😊😊😊😊😊
youtube_comment,😡
youtube_comment,কে
youtube_comment,I haet you😅
youtube_comment,Rgfbfjb❤❤❤❤utu
youtube_comment,Nice 🎉
youtube_comment,Xv🎉🎉🎉😢😢😅😅😅😂😂😂❤
youtube_comment,LANAAT LANAAT
youtube_comment,Badgale
youtube_comment,Halo
youtube_comment,🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉
youtube_comment,😅😅😅😅😅
youtube_comment,Ku Ti
youtube_comment,que falsa es lare a sion
youtube_comment,Hola cómo estás soy mariana ito Alhana Juan David Alhana 💟🥀🌼🥀🌼💌🚸💌💟🌼🥀💌💟🌊🌹🌼💍🌼🚸💟
youtube_comment,Bro lts so awesome
youtube_comment,i like<3
youtube_comment,Bro ITS SO. COOL!
youtube_comment,cool
youtube_comment,Sais le moob
youtube_comment,Au chaud 😊😊😊😊
youtube_comment,We
youtube_comment,াকগ
youtube_comment,❤❤❤❤h
youtube_comment,😂😂😂
youtube_comment,I❤u🎉
youtube_comment,বেশি সুন্দর❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤
youtube_comment,Subscribe koro plise dada ❤❤❤❤
youtube_comment,❤❤
youtube_comment,❤❤❤❤❤❤❤❤❤
youtube_comment,👩‍❤️‍👨
youtube_comment,BTS💚💚💫⚡✨🥰
youtube_comment,","
youtube_comment,😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊
youtube_comment,"😂❤,"
youtube_comment,I❤U.I❤U.I❤U.I❤U.I❤U.I❤U.I❤U.I❤U.
youtube_comment,hiii
youtube_comment,Socdy ay ❤❤❤❤❤❤❤❤❤
youtube_comment,So beautiful ❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤😊😊😊😊😊😊😊😊
youtube_comment,❤❤❤❤❤❤❤❤❤❤❤😊
youtube_comment,❤❤❤❤❤❤
youtube_comment,❤❤❤❤❤❤❤❤❤❤❤🎉🎉🎉🎉🎉🎉🎉🎉😊😊😊😊😊😊😊😊😊😊😊😂❤❤❤😂😂🎉
youtube_comment,"❤❤❤❤❤❤😂😂😂😂😂😂😮😮😮





❤❤❤❤🎉🎉😊😊😊😊😊😊"
youtube_comment,कोमल
youtube_comment,❤🎉
youtube_comment,❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊
youtube_comment,❤❤❤❤❤❤❤❤❤❤❤❤
youtube_comment,5tui😅😢😢😮😂😢😅😅vbbmgjgkihhy
youtube_comment,🎉🎉🎉🎉🎉
youtube_comment,🎉🎉🎉🎉🎉🎉😢😢
youtube_comment,Ham tumko bahut like karte hain kya humko 10000 rupaye mil sakte hain 10000 rupaye
youtube_comment,❤❤❤❤❤
youtube_comment,Chhachhoonder Jaise 😀😀😀😀
youtube_comment,Kaun sa game khel rahe ho
youtube_comment,Ehiwkqejjakfhjslsjkq❤❤🌺🌹❤️💐🤩🥳❤️🥳🤩💐❤️🌹🌺🌷🎇bdndmsodfj😍🇨🇮💝🦚
youtube_comment,🎉🎉🎉🎉🎉🎉🎉
youtube_comment,🥰🫅🏍️🏎️
