source,text,sentiment,confidence
news,Viral NeeDoh microwave trend leaves teen with third-degree burns,negative,0.8302
news,TikTok and Madonna set in-app livestream record,neutral,0.9017
news,Justin Trudeau bounces into girlfriend Katy Perry’s new music video,neutral,0.7707
news,NYC's viral TikTok subway series shows off hidden city gems,neutral,0.8342
news,"Europe to social media platforms: make yourself safe for kids under 13, somehow",neutral,0.8941
news,Mom shares unhinged parenting hacks to keep household in tact,negative,0.6265
news,Australia banned vape ads more than two years ago - so why are they still all over social media?,neutral,0.4924
news,Model Fiona Fussi claims Grab driver locked her in car until she paid for wet tissue he gave her,negative,0.7465
news,Madonna Live Video Event For 'Confessions II' Sets TikTok Record With 2.1M Global Viewers,positive,0.6155
news,Former Canadian PM Justin Trudeau bounces into girlfriend Katy Perry’s new music video,neutral,0.7536
youtube_video,New Tiktok Mashup 2026 Philippines Party Music Viral Dance Trends July 14th,neutral,0.9229
youtube_video,New Funny Shorts 🤣 #shorts #funny #comedy #tiktok #reels,neutral,0.9284
youtube_video,Her Friend&#39;s Jealousy Went Too Far 😢#ytshorts#tiktok,negative,0.5569
youtube_video,Dance se souber Tik Tok (2026) ❤️,neutral,0.8893
youtube_video,Is this really a good friend ? 😌 #shorts #tradang #bestfriend #bff #tiktok,neutral,0.9145
youtube_video,Tiktok Viral Trend | Copines Dance #tiktok #trending #editlyrics #lyrics #dance #viralvideo #trend,neutral,0.9258
youtube_video,CHALLENGE TIK TOK &quot;SORT DE CE CORPS&quot; 🇨🇮🔥💯@loisariel1 #cotedivoire #dance #attitude,neutral,0.9265
youtube_video,#harleyquinn #dc #tiktok #shorts,neutral,0.9139
youtube_video,CUTE LOVE STORY😘 LOVELY SONG🥰 4K STATUS VIDEO ✨ #viralvideo #love #bts #tiktok,neutral,0.9215
youtube_video,suraj actor and priti love story #shortsfeed #viralvideo #tiktok #song #love #bhojpuri #trending,neutral,0.9252
youtube_comment,Boring tong tiktok nato,neutral,0.9071
youtube_comment,Its boring. Im not a fricken kid. My little sister is the one watching.,neutral,0.8081
youtube_comment,b 😊,neutral,0.9192
