text,source_type,data_category
Who is Elon Musk and what is his net worth?,RSS,news
Exams watchdog warns of rise in high-tech cheating,RSS,news
"Phone signal on trains not good enough most of the time, research says",RSS,news
"Lloyds, Halifax and Bank of Scotland back after online banking outage",RSS,news
Meta workers can opt out of being tracked at work - but only for half an hour at a time,RSS,news
Publishers in UK can opt out of Google AI search results,RSS,news
Do you find yourself aimlessly scrolling? You're not alone,RSS,news
Microsoft testing wearable AI gadget aimed at office workers,RSS,news
"Microsoft says new quantum chip 1,000 times more reliable than predecessor",RSS,news
Instagram AI chatbot tricked by hackers to give access to others' accounts,RSS,news
How 'confused' AI rollout hurts firms and baffles staff,RSS,news
"OpenAI let ChatGPT aid and abet mass shooters, Florida lawsuit claims",RSS,news
UK banks blocked from cyber AI tool Mythos get offer from rival OpenAI,RSS,news
Tech Life,RSS,news
Tech Now,RSS,news
Google Drive updates document scanner with multi-page AI feature,GNews,news
"Google CEO Sundar Pichai to entry-level graduates: Some people are painting a very troubled scenario due to AI, and I don;t agree with it because ...",GNews,news
"What to expect from Apple’s AI, Siri and iOS 27 launch at WWDC",GNews,news
Will this country slip into AI control? Digital minister’s warning raises concerns,GNews,news
"AI cyber risks, China concerns dominate US hearing",GNews,news
White House AI adviser to leave position as Trump weighs stakes in AI firms,GNews,news
"HC cautions Judicial Officers against blind reliance on AI, unverified citations",GNews,news
Who Is Sriram Krishnan? Donald Trump’s AI Advisor To Quit Key White House Post,GNews,news
"'This is herculean:' How Alberta, B.C. Mounties are using AI to write reports",GNews,news
Researchers develop world's first AI for objective pain assessment,GNews,news
OpenAI's ChatGPT Set for Supercharged Revamp,GNews,news
Why isn’t Durham University taking AI cheating seriously?,GNews,news
"OpenAI plans ChatGPT 'superapp' overhaul ahead of listing, FT reports",GNews,news
Retire at 40 or keep working? ChatGPT's take on the FIRE movement in India,GNews,news
"'I can't give you the answer, but...': Student asks ChatGPT for help during exam, here's what happens next",GNews,news
OpenAI plans ChatGPT 'superapp' overhaul ahead of listing: Report,GNews,news
