topic,title,source,published,url
Artificial Intelligence,Google Drive updates document scanner with multi-page AI feature,Bangkok Post,2026-06-07T03:30:00Z,https://www.bangkokpost.com/life/tech/3267228/google-drive-updates-document-scanner-with-multipage-ai-feature
Artificial Intelligence,"Google CEO Sundar Pichai to entry-level graduates: Some people are painting a very troubled scenario due to AI, and I don;t agree with it because ...",Times of India,2026-06-07T02:57:00Z,https://timesofindia.indiatimes.com/technology/tech-news/google-ceo-sundar-pichai-to-entry-level-graduates-some-people-are-painting-a-very-troubled-scenario-due-to-ai-and-i-dont-agree-with-it-because-/articleshow/131558844.cms
Artificial Intelligence,"What to expect from Apple’s AI, Siri and iOS 27 launch at WWDC",The Star,2026-06-07T01:00:00Z,https://www.thestar.com.my/tech/tech-news/2026/06/07/what-to-expect-from-apples-ai-siri-and-ios-27-launch-at-wwdc
Artificial Intelligence,Will this country slip into AI control? Digital minister’s warning raises concerns,Zee News,2026-06-07T00:58:07Z,https://zeenews.india.com/technology/will-this-country-slip-into-ai-control-digital-minister-s-warning-raises-concerns-3053470.html
Artificial Intelligence,"AI cyber risks, China concerns dominate US hearing",Lokmat Times,2026-06-07T00:55:08Z,https://www.lokmattimes.com/international/ai-cyber-risks-china-concerns-dominate-us-hearing/
Artificial Intelligence,White House AI adviser to leave position as Trump weighs stakes in AI firms,Nikkei Asia,2026-06-06T23:35:33Z,https://asia.nikkei.com/business/technology/artificial-intelligence/white-house-ai-adviser-to-leave-position-as-trump-weighs-stakes-in-ai-firms
Artificial Intelligence,"HC cautions Judicial Officers against blind reliance on AI, unverified citations",Daily Excelsior,2026-06-06T22:40:02Z,https://www.dailyexcelsior.com/hc-cautions-judicial-officers-against-blind-reliance-on-ai-unverified-citations/
Artificial Intelligence,Who Is Sriram Krishnan? Donald Trump’s AI Advisor To Quit Key White House Post,NewsX,2026-06-06T22:06:57Z,https://www.newsx.com/world/who-is-sriram-krishnan-donald-trumps-ai-advisor-to-quit-key-white-house-post-231238/
Artificial Intelligence,"'This is herculean:' How Alberta, B.C. Mounties are using AI to write reports",CHEK News,2026-06-06T21:15:00Z,https://cheknews.ca/this-is-herculean-how-alberta-b-c-mounties-are-using-ai-to-write-reports-1329140/
Artificial Intelligence,Researchers develop world's first AI for objective pain assessment,Medical Xpress,2026-06-06T21:00:01Z,https://medicalxpress.com/news/2026-06-world-ai-pain.html
ChatGPT,OpenAI's ChatGPT Set for Supercharged Revamp,Devdiscourse,2026-06-07T05:09:34Z,https://www.devdiscourse.com/article/technology/3931448-openais-chatgpt-set-for-supercharged-revamp
ChatGPT,Why isn’t Durham University taking AI cheating seriously?,The Spectator,2026-06-07T05:00:00Z,https://spectator.com/article/why-isnt-durham-university-taking-ai-cheating-seriously/
