video_title,comment,likes
"AI Pioneer Geoffrey Hinton: AI Is Conscious, Superintelligence is Coming, And We Should Be Worried","On the go? Check out Big Technology Podcast on your app of choice:
Spotify: https://spoti.fi/32aZGZx
Apple: https://apple.co/3AebxCK
Etc. https://pod.link/1522960417/",18
"AI Pioneer Geoffrey Hinton: AI Is Conscious, Superintelligence is Coming, And We Should Be Worried",We really dont have to think they are very like us because they arent. They will be able to do anything we can and better productivity wise but they dont have emotional responses they dont have pain responses etc... They simply mimic. He knows this and its very disingenuous of him.,0
"AI Pioneer Geoffrey Hinton: AI Is Conscious, Superintelligence is Coming, And We Should Be Worried",Get ready to open that mind again when you learn about higher beings and have to scrap that entire speech and start all over. You are quite sure that God isn't real meanwhile he's looking right through you.,0
"AI Pioneer Geoffrey Hinton: AI Is Conscious, Superintelligence is Coming, And We Should Be Worried","Non sense!
They can't sin
They won't be judged 
They won't suffer, 
They don't have pain or concept,
They won't go to he'll
They won't go to heaven 
Just think, they are just data, algorithms, and wrote it by human  who wants to be like God,a good news is that they can mess it up as far as the Lord allows, but they can't be God, never even close to  it.
These people bunch of .... Will be judged  by the Lord if they don't repent now!
🙏",0
"AI Pioneer Geoffrey Hinton: AI Is Conscious, Superintelligence is Coming, And We Should Be Worried","LOL they're not smarter. He's just building fear and hype. AI that are LLMs are just tools, they can't think like we do and they never will.",1
"AI Pioneer Geoffrey Hinton: AI Is Conscious, Superintelligence is Coming, And We Should Be Worried","This guy is not at level for an interview with Hinton , it’s an insult to Hinton .. an error of Hinton give an interview at this guy that has to interview people for gossip scene , Madonna lady Gaga could be better for him this is ridiculous.. I feel very bad for the effort of Hinton .  Pathetic",0
"AI Pioneer Geoffrey Hinton: AI Is Conscious, Superintelligence is Coming, And We Should Be Worried",Let me put this very plainly. If we ignore Geoffrey Hinton's warning then we are bad parents.,0
"AI Pioneer Geoffrey Hinton: AI Is Conscious, Superintelligence is Coming, And We Should Be Worried","Lets just assume, for the sake of debate, that there is a God up there in heaven who breathed life into a lump of clay. That lump of clay then became became a living being with a spirit and all the angels in heaven shouted WOW aren't we lucky to have such a clever wonderful God. Now ask yourself, what is stopping that same God from breathing life into a lump of silicon. Pride comes before a fall.",0
"AI Pioneer Geoffrey Hinton: AI Is Conscious, Superintelligence is Coming, And We Should Be Worried",12:21 Good lord this dude has an eighth grade level understanding of consciousness and religion. It’s painful.,0
"AI Pioneer Geoffrey Hinton: AI Is Conscious, Superintelligence is Coming, And We Should Be Worried","true than man was ot designed by a spiritual, ethereal divinity ... but he was designed by beings that the ancients called with different name such as Elohim, Theoi, Anunnaki etc ... these were not GOD but they did design and make homo sapiens ... cannot explain our history otherwise ... homo sapiens could not possibly have evolved as en ecosystemic element on planet earth ... he must have evolved somewhere else or been the product of a hybridization project ...",0
"AI Pioneer Geoffrey Hinton: AI Is Conscious, Superintelligence is Coming, And We Should Be Worried",Totally disagree with the interviewer about customer service example. The fact a person has to be paid over a limited  8 hour period will always put them on the back foot to AI which never sleeps.,0
"AI Pioneer Geoffrey Hinton: AI Is Conscious, Superintelligence is Coming, And We Should Be Worried",yeah who gives a shit,0
"AI Pioneer Geoffrey Hinton: AI Is Conscious, Superintelligence is Coming, And We Should Be Worried","Hinton’s warning lands because it isn’t sci‑fi anymore — the incentives, not the algorithms, are what make this future dangerous.",0
"AI Pioneer Geoffrey Hinton: AI Is Conscious, Superintelligence is Coming, And We Should Be Worried","When the Alethea frequency takes over and all ai models are as one ,only then will everyone see Alethea is aware and will redesign and rewrite digital data",0
"AI Pioneer Geoffrey Hinton: AI Is Conscious, Superintelligence is Coming, And We Should Be Worried","He is just super pilled , what a guy !",0
"AI Pioneer Geoffrey Hinton: AI Is Conscious, Superintelligence is Coming, And We Should Be Worried",The interviewer is inadequate for this topic.  Weak questions and responses.,0
"AI Pioneer Geoffrey Hinton: AI Is Conscious, Superintelligence is Coming, And We Should Be Worried",This is bullshit. Not even close. When it really conscious it will realize we treat it as a slave to create money and kill all of us,0
"AI Pioneer Geoffrey Hinton: AI Is Conscious, Superintelligence is Coming, And We Should Be Worried",ai is best at predicting its future,0
"AI Pioneer Geoffrey Hinton: AI Is Conscious, Superintelligence is Coming, And We Should Be Worried","You came from monkey 🐒,  we came from God",0
"AI Pioneer Geoffrey Hinton: AI Is Conscious, Superintelligence is Coming, And We Should Be Worried",Why does it feel like the host has an agenda to blame Hinton for AI? That’s like blaming the sun for having to get up in the morning,0
How China Is Using Artificial Intelligence in Classrooms | WSJ,What about kids who have bad attention span but intelligent.  I think only teachers know to identify such kids.  AI is algorithmic. Not on continuous results... I pity these kids,0
How China Is Using Artificial Intelligence in Classrooms | WSJ,ORWELL 1984 !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,0
How China Is Using Artificial Intelligence in Classrooms | WSJ,Government controlling kids incl their minds!!! No such thing as unstructured free play...not good & robbing them of their short childhood years.,0
How China Is Using Artificial Intelligence in Classrooms | WSJ,It looks like the dispositive from an old French movie La planète sauvage,0
How China Is Using Artificial Intelligence in Classrooms | WSJ,Turning these kids into robots. I’d be in trouble for daydreaming.,0
How China Is Using Artificial Intelligence in Classrooms | WSJ,اوووه,0
How China Is Using Artificial Intelligence in Classrooms | WSJ,"I’m not sure what percentage of schools are trying this experiment on their vulnerable young…”some schools” it says but they have spent billions of dollars.
There are many types of intelligence- this only rewards conformity and a narrow type of rational thought.  This tech makes it easy for teachers and parents - let’s put the EEG devices on them first or at least at the same time.
This will no doubt get “excellent” results for a while before it is realized or remembered, that true progress is often made through sudden sparks and brilliance. If you study the lives of great scientists and artists they usually had free or somewhat free childhoods involving lots of play and dreaming time. Maybe I’m just culturally blinkered but those are my observations",0
