title,description,source,published,sentiment,confidence,topic
G.M. Plans to Sell Energy Storage Batteries as E.V. Sales Flag,"The carmaker will follow Tesla in making large batteries used by electric utilities, data centers and other businesses to handle fluctuations in power supply and demand.",The New York Times,2026-06-09T21:00:06Z,NEGATIVE,0.9952,Finance
Tesla cofounder: ‘We should be really worried’ about the U.S. grid as China leads the power race,"The U.S. must build much more power, storage, and better utilize the existing grid in order to keep the AI boom moving at pace said Tesla cofounder and Redwood Materials boss JB Staubel at the Fortune Brainstorm Tech conference.,",Fortune,2026-06-09T20:47:35Z,NEGATIVE,0.9949,Innovation
"Tesla wants to add 5,000 robotaxis to Las Vegas streets","The permit requests approval to operate up to 5,000 robotaxis during the first 12 months",The Independent,2026-06-09T20:38:31Z,POSITIVE,0.927,Innovation
Tesla Stock Is Under Pressure Today: What's Going On?,Tesla Inc (NASDAQ:TSLA) shares are facing heavy selling pressure on Tuesday. Here's a look at what's going on.,Benzinga,2026-06-09T16:59:32Z,NEGATIVE,0.9987,Finance
Tesla Stock Wobbles As Elon Musk Lines Up The SpaceX IPO,"Tesla stock wobbles as investors await SpaceX IPO, raising questions about Tesla's AI tech and Musk's dual role as CEO of two trillion-dollar companies.",Benzinga,2026-06-09T15:49:10Z,NEGATIVE,0.9996,Innovation
Yikes! Elon Musk's Robotaxi Fleet Is Smaller Than Pepsi's Doritos Truck Fleet,"Tesla's unsupervised robotaxi fleet is shrinking, while PepsiCo successfully operates 41 fully driverless delivery trucks.",Benzinga,2026-06-09T15:36:42Z,NEGATIVE,0.9973,Innovation
SpaceX's lofty valuation set to put 'Elon premium' to test,"SpaceX's landmark listing this week is set to test the ""Elon premium"" that has made Tesla one of the most highly valued U.S. companies and a ​must-have among retail investors.",Reuters,2026-06-09T14:39:52Z,POSITIVE,0.9166,Innovation
SpaceX's lofty valuation set to put 'Elon premium' to test,"SpaceX's landmark listing this week is set to test the Elon premium that has made Tesla one of the most highly valued U.S. companies and a must-have among retail investors.
The rocket...",MarketScreener,2026-06-09T14:38:33Z,POSITIVE,0.9166,Innovation
SpaceX's IPO: Testing the 'Elon Premium',"SpaceX, led by Elon Musk, is set for a landmark IPO, aiming for a $1.77 trillion valuation. Despite Musk's success with Tesla, investors question SpaceX's lofty valuation amid unproven AI technologies. A potential merger with Tesla adds intrigue, but many investors remain cautious.",Devdiscourse,2026-06-09T14:37:16Z,NEGATIVE,0.8658,Innovation
"With The SpaceX IPO Imminent, Nvidia, Tesla, Unitree And The Global Race For Physical AI","Nvidia and Tesla lead contrasting strategies in a global race for physical AI and humanoid robotics, addressing severe labor shortages across China and the US.",Forbes,2026-06-09T14:11:24Z,NEGATIVE,0.9592,Innovation
